0,1,Males,Ethnicity
36 Hours,"['James Garner', ' Rod Taylor', ' Eva Marie Saint']",['James Garner'],"['English', 'Irish', 'German', 'Welsh', 'SwissGerman']"
The Agony and the Ecstasy,"['Rex Harrison', ' Charlton Heston', ' Diane Cilento']",['Rex Harrison'],"['English', 'Scottish']"
Andy,"['Norman Alden', ' Ann Wedgeworth']",['Norman Alden'],
Apache Uprising,"['Rory Calhoun', ' Corinne Calvet', ' John Russell']",['John Russell'],
Arizona Raiders,"['Audie Murphy', ' Michael Dante', ' Gloria Talbott']",['Michael Dante'],
The Art of Love,"['Dick Van Dyke', ' James Garner', ' Elke Sommer', ' Angie Dickinson']",['Dick Van Dyke'],"['English', 'Scottish', 'German', 'SwissGerman', 'Dutch']"
Baby the Rain Must Fall,"['Steve McQueen', ' Lee Remick', ' Don Murray']",['Steve McQueen'],"['Scottish', 'English', 'ScotsIrishNorthern', 'Irish', 'German', 'Cornish', 'Dutch', 'Welsh']"
Bad Girls Go to Hell,"['Gigi Darlene', ' George La Rocque']",['George La Rocque'],
Battle of the Bulge,"['Henry Fonda', ' Dana Andrews', ' Robert Shaw', ' Robert Ryan', ' Ty Hardin', ' Pier Angeli', ' Telly Savalas', ' Charles Bronson']",['Henry Fonda'],"['Dutch', 'English', 'Scottish', 'Norwegian', 'German', 'Italian']"
Beach Ball,"['Edd Byrnes', ' Chris Noel', ' Gail Gilmore']",['Edd Byrnes'],
Beach Blanket Bingo,"['Frankie Avalon', ' Annette Funicello', ' Paul Lynde', ' Don Rickles']",['Paul Lynde'],
The Bedford Incident,"['Richard Widmark', ' Sidney Poitier', ' Martin Balsam', ' Wally Cox']",['Richard Widmark'],"['Swedish25', 'Norwegian25', 'English25', 'Irish']"
Billie,"['Patty Duke', ' Jim Backus', ' Jane Greer']",['Jim Backus'],
Black Spurs,"['Rory Calhoun', ' Terry Moore', ' Linda Darnell']",[],
Bloody Pit of Horror,"['Mickey Hargitay', ' Walter Bigari', ' Luisa Baratto']",['Walter Bigari'],
Boeing Boeing,"['Tony Curtis', ' Jerry Lewis', ' Dany Saval']",['Tony Curtis'],"['Ashkenazi', 'Jewish']"
The Bounty Killer,"['Dan Duryea', ' Audrey Dalton', ' Richard Arlen']",['Dan Duryea'],
Brainstorm,"['Anne Francis', ' Dana Andrews', ' Jeffrey Hunter']",['Jeffrey Hunter'],
Bus Riley's Back in Town,"['Ann-Margret', ' Michael Parks', ' Kim Darby', ' Janet Margolin']",['Michael Parks'],"['English', 'Irish', 'Scottish', 'German', 'Dutch', 'French']"
Cat Ballou,"['Jane Fonda', ' Lee Marvin', ' Dwayne Hickman', ' Michael Callan', ' Nat King Cole', ' Stubby Kaye']",['Dwayne Hickman'],
The Cincinnati Kid,"['Steve McQueen', ' Ann-Margret', ' Edward G. Robinson', ' Karl Malden', ' Tuesday Weld', ' Rip Torn', ' Cab Calloway', ' Joan Blondell']",['Steve McQueen'],"['Scottish', 'English', 'ScotsIrishNorthern', 'Irish', 'German', 'Cornish', 'Dutch', 'Welsh']"
City Under the Sea,"['Vincent Price', ' Tab Hunter', ' Susan Hart']",['Vincent Price'],"['English', 'German', 'French', 'Dutch']"
"Clarence, the Cross-Eyed Lion","['Marshall Thompson', ' Betsy Drake', ' Richard Haydn']",['Marshall Thompson'],
The Collector,"['Terence Stamp', ' Samantha Eggar', ' Mona Washbourne']",['Terence Stamp'],"['English', 'French', 'German']"
Convict Stage,"['Harry Lauter', ' Don ""Red"" Barr', ' Hanna Landy']",['Harry Lauter'],
Crack in the World,"['Dana Andrews', ' Janette Scott', ' Kieron Moore']",['Kieron Moore'],
Dark Intruder,"['Leslie Nielsen', ' Mark Richman', ' Judi Meredith']",['Mark Richman'],
Dear Brigitte,"['James Stewart', ' Fabian', ' Ed Wynn', ' Bill Mumy', ' Brigitte Bardot']",['James Stewart'],"['ScotsIrishNorthern', 'Irish', 'Scottish', 'Irish', 'English']"
"Die, Monster, Die!","['Boris Karloff', ' Nick Adams', ' Suzan Farmer']",['Boris Karloff'],"['English', 'Indian']"
