0,1,Males,Ethnicity
3 Women,"['Shelley Duvall', ' Sissy Spacek', ' Janice Rule']",[],
Airport '77,"['Jack Lemmon', ' Brenda Vaccaro', ' James Stewart', ' Lee Grant', ' George Kennedy', ' Joseph Cotten', ' Olivia de Havilland', ' Christopher Lee', ' Darren McGavin']",['Jack Lemmon'],"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
Andy Warhol's Bad,"['Susan Tyrrell', ' Carroll Baker']",[],
Annie Hall,"['Woody Allen', ' Diane Keaton']",['Woody Allen'],"['Ashkenazi', 'Jewish']"
Audrey Rose,"['Marsha Mason', ' Anthony Hopkins', ' John Beck']",['Anthony Hopkins'],"['Welsh', 'English']"
The Bad News Bears in Breaking Training,"['William Devane', ' Jackie Earle Haley']",['William Devane'],
Barbara Broadcast,"['Annette Haven', ' C. J. Laing', ' Jamie Gillis']",[],
Bare Knuckles,"['Robert Viharo', ' Sherry Jackson', ' Gloria Hendry']",['Robert Viharo'],
Between the Lines,"['John Heard', ' Lindsay Crouse']",['John Heard'],"['Irish', 'English', 'Ashkenazi', 'Jewish']"
Beyond Reason,"['Telly Savalas', ' Diana Muldaur']",['Telly Savalas'],['Greek']
The Billion Dollar Hobo,"['Tim Conway', ' Will Geer']",['Tim Conway'],['Romanian']
Billy Jack Goes to Washington,"['Tom Laughlin', ' Lucie Arnaz', ' E. G. Marshall']",['Tom Laughlin'],"['Irish', 'Scottish', 'English', 'German']"
Black Sunday,"['Robert Shaw', ' Bruce Dern', ' Marthe Keller']",['Robert Shaw'],
Bobby Deerfield,"['Al Pacino', ' Marthe Keller']",['Al Pacino'],"['Italian', 'Sicilian', 'Neapolitan']"
Breaker! Breaker!,"['Chuck Norris', ' George Murdock']",['Chuck Norris'],"['English', 'Scottish', 'Welsh', 'German', 'French', 'Swedish', 'Dutch']"
A Bridge Too Far,"['Dirk Bogarde', ' James Caan', ' Michael Caine', ' Sean Connery', ' Edward Fox', ' Elliott Gould', ' Gene Hackman', ' Anthony Hopkins', ' Hardy Krüger', ' Laurence Olivier', ' Robert Redford', ' Maximilian Schell']",['Dirk Bogarde'],
Candleshoe,"['David Niven', ' Helen Hayes', ' Jodie Foster']",['David Niven'],"['English', 'Scottish', 'French']"
The Car,"['James Brolin', ' Kathleen Lloyd', ' John Marley', ' Ronny Cox']",['James Brolin'],"['English', 'SwissGerman', 'German', 'Scottish', 'Irish']"
The Choirboys,"['Charles Durning', ' Louis Gossett Jr.', ' Perry King', ' Don Stroud', ' Burt Young', ' Barbara Rhoades', ' Phyllis Davis']",['Charles Durning'],['Irish']
Cinderella,"['Cheryl Smith', ' Sy Richardson']",['Sy Richardson'],
Citizen's Band,"['Paul Le Mat', ' Candy Clark', ' Roberts Blossom']",['Paul Le Mat'],
Close Encounters of the Third Kind,"['Richard Dreyfuss', ' Teri Garr', ' Melinda Dillon', ' Francois Truffaut', ' Bob Balaban']",['Richard Dreyfuss'],"['Ashkenazi', 'Jewish']"
The Confessions of Amans,['William Bryan'],['William Bryan'],
Contract on Cherry Street,"['Frank Sinatra', ' Martin Balsam']",['Frank Sinatra'],"['Italian', 'Sicilian']"
Cross of Iron,"['James Coburn', ' James Mason', ' Maximilian Schell']",['James Coburn'],"['German', 'Swedish']"
Crossed Swords,"['Oliver Reed', ' Raquel Welch', ' Mark Lester']",['Oliver Reed'],"['English', 'German', 'Lithuanian', 'Dutch']"
Damnation Alley,"['George Peppard', ' Jan-Michael Vincent']",['George Peppard'],
The Day of the Animals,"['Leslie Nielsen', ' Lynda Day George']",[],
Death Bed: The Bed That Eats,['William Russ'],['William Russ'],
The Deep,"['Jacqueline Bisset', ' Robert Shaw', ' Nick Nolte']",['Robert Shaw'],
Demon Seed,"['Julie Christie', ' Fritz Weaver', ' Robert Vaughn']",['Fritz Weaver'],
Desperate Living,"['Liz Renay', ' Mink Stole']",[],
The Domino Principle,"['Gene Hackman', ' Candice Bergen', ' Richard Widmark', ' Eli Wallach', ' Mickey Rooney', ' Edward Albert']",['Gene Hackman'],"['English', 'German', 'Scottish', 'Dutch']"
Drive-In Massacre,[''],[],
Eaten Alive,"['Carolyn Jones', ' Michael Berryman']",['Michael Berryman'],"['Swedish', 'English', 'Cornish', 'ScotsIrishNorthern', 'Irish', 'German', 'BohemianCzech']"
Empire of the Ants,"['Joan Collins', ' Albert Salmi']",['Albert Salmi'],
Equus,"['Richard Burton', ' Peter Firth', ' Joan Plowright']",['Richard Burton'],['Welsh']
Eraserhead,"['Jack Nance', ' Charlotte Stewart']",['Jack Nance'],"['Dutch', 'Irish', 'German', 'Belgian', 'Flemish', 'Walloon', 'French', 'WelshIrish']"
Exorcist II: The Heretic,"['Linda Blair', ' Richard Burton']",['Richard Burton'],['Welsh']
Fight for Your Life,"['Robert Judd', ' William Sanderson']",['Robert Judd'],
First Love,"['William Katt', ' Susan Dey', "" Beverly D'Angelo""]",['William Katt'],"['English', 'ScotsIrishNorthern', 'Irish']"
For the Love of Benji,"['Patsy Garrett', ' Ed Nelson']",['Ed Nelson'],"['Scottish', 'FrenchCajun', 'Spanish', 'Portuguese', 'German']"
Fun with Dick and Jane,"['George Segal', ' Jane Fonda', ' Ed McMahon']",['George Segal'],"['Ashkenazi', 'Jewish']"
The Gauntlet,"['Clint Eastwood', ' Pat Hingle', ' Sondra Locke']",['Clint Eastwood'],"['English', 'Scottish', 'Irish', 'German', 'Dutch', 'Welsh']"
The Goodbye Girl,"['Richard Dreyfuss', ' Marsha Mason', ' Quinn Cummings']",['Richard Dreyfuss'],"['Ashkenazi', 'Jewish']"
Grand Theft Auto,"['Ron Howard', ' Marion Ross']",['Ron Howard'],"['German', 'English', 'Scottish', 'Irish', 'Dutch']"
The Grateful Dead Movie,"['Bob Weir', ' Jerry Garcia']",['Bob Weir'],"['German', 'English', 'Welsh', 'Irish']"
Grayeagle,"['Ben Johnson', ' Lana Wood']",['Ben Johnson'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Irish']"
Greased Lightning,"['Richard Pryor', ' Pam Grier', ' Cleavon Little']",['Richard Pryor'],"['AfricanAmerican', 'Native', 'American']"
The Greatest,"['Muhammad Ali', ' Ernest Borgnine']",['Muhammad Ali'],"['AfricanAmerican', 'English', 'Scottish', 'Welsh', 'Swedish']"
The Great Smokey Roadblock,"['Henry Fonda', ' Eileen Brennan']",['Henry Fonda'],"['Dutch', 'English', 'Scottish', 'Norwegian', 'German', 'Italian']"
Herbie Goes to Monte Carlo,"['Dean Jones', ' Don Knotts', ' Julie Sommars']",['Dean Jones'],
Heroes,"['Henry Winkler', ' Sally Field', ' Harrison Ford']",['Henry Winkler'],"['Ashkenazi', 'Jewish']"
High Anxiety,"['Mel Brooks', ' Madeline Kahn', ' Cloris Leachman', ' Harvey Korman', ' Howard Morris', ' Ron Carey']",['Mel Brooks'],"['Ashkenazi', 'Jewish']"
The Hills Have Eyes,"['Susan Lanier', ' Michael Berryman', ' Dee Wallace']",['Michael Berryman'],"['Swedish', 'English', 'Cornish', 'ScotsIrishNorthern', 'Irish', 'German', 'BohemianCzech']"
I Never Promised You a Rose Garden,"['Kathleen Quinlan', ' Bibi Andersson']",[],
The Incredible Melting Man,"['Myron Healey', ' Janus Blythe']",['Myron Healey'],
The Island of Dr. Moreau,"['Burt Lancaster', ' Michael York']",['Burt Lancaster'],"['Northern', 'Irish', 'ScotsIrish']"
Islands in the Stream,"['George C. Scott', ' David Hemmings', ' Gilbert Roland']",['George C. Scott'],"['English', 'German', 'Irish', 'Scottish']"
Joyride,"['Desi Arnaz Jr.', ' Melanie Griffith']",[],
Julia,"['Vanessa Redgrave', ' Jane Fonda', ' Jason Robards', ' Meryl Streep', ' Rosemary Murphy', ' John Glover', ' Hal Holbrook']",['Jason Robards'],"['Swedish', 'English', 'Welsh', 'German', 'Irish', 'Scottish']"
The Kentucky Fried Movie,"['Donald Sutherland', ' Henry Gibson', ' Uschi Digard']",['Donald Sutherland'],"['Scottish', 'English', 'German']"
Kingdom of the Spiders,"['William Shatner', ' Woody Strode', ' Tiffany Bolling']",['William Shatner'],"['Ashkenazi', 'Jewish']"
Last House on Dead End Street,"['Roger Watkins', ' Ken Fisher']",['Roger Watkins'],
The Last Remake of Beau Geste,"['Marty Feldman', ' Michael York', ' Ann-Margret']",['Michael York'],
The Late Show,"['Art Carney', ' Lily Tomlin', ' Eugene Roche', ' Bill Macy', ' Joanna Cassidy', ' Ruth Nelson']",['Art Carney'],['Irish']
The Lincoln Conspiracy,"['Bradford Dillman', ' John Anderson']",['Bradford Dillman'],"['English', 'German']"
A Little Night Music,"['Elizabeth Taylor', ' Diana Rigg', ' Len Cariou']",['Len Cariou'],"['French', 'Irish']"
Looking for Mr. Goodbar,"['Diane Keaton', ' Tuesday Weld', ' Richard Gere']",['Richard Gere'],"['English', 'ScotsIrishNorthern', 'Irish', 'Welsh', 'Dutch', 'Scottish', 'German', 'French']"
MacArthur,"['Gregory Peck', ' G. D. Spradlin']",['Gregory Peck'],"['Irish', 'English', 'German', 'Welsh']"
The Many Adventures of Winnie the Pooh,"['Sterling Holloway', ' John Fiedler', ' Paul Winchell']",['Sterling Holloway'],
March or Die,"['Gene Hackman', ' Catherine Deneuve']",['Gene Hackman'],"['English', 'German', 'Scottish', 'Dutch']"
Martin,"['John Amplas', ' Christine Forrest', ' Tom Savini']",['John Amplas'],
The Mouse and His Child,"['Voices of Cloris Leachman', ' Peter Ustinov', ' Andy Devine']",['Peter Ustinov'],"['Russian125', 'Ashkenazi', 'Jewish125', 'German125', 'Italian625', 'Ethiopian', 'SubSaharan', 'African', 'Portuguese625', 'French']"
Mr. Billion,"['Terence Hill', ' Valerie Perrine', ' Jackie Gleason']",['Terence Hill'],
"New York, New York","['Liza Minnelli', ' Robert De Niro']",['Robert De Niro'],"['Italian', 'Irish', 'German', 'Dutch', 'English', 'French', 'Huguenot', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
"Oh, God!","['George Burns', ' John Denver', ' Paul Sorvino', ' Teri Garr']",['George Burns'],"['Ashkenazi', 'Jewish']"
One on One,"['Robby Benson', "" Annette O'Toole"", ' G. D. Spradlin']",['Robby Benson'],"['Ashkenazi', 'Jewish']"
Opening Night,"['Gena Rowlands', ' Ben Gazzara', ' John Cassavetes']",['Ben Gazzara'],"['Italian', 'Sicilian']"
