0,1,Males,Ethnicity
Abroad with Two Yanks,"['William Bendix', ' Helen Walker', "" Dennis O'Keefe""]",['William Bendix'],
Accent on Crime,"['June Carlson', "" Fifi D'Orsay"", ' Teala Loring']",[],
Action in Arabia,"['George Sanders', ' Virginia Bruce', ' Lenore Aubert']",['George Sanders'],"['English', 'Scottish', 'European', 'Royal', 'Russian']"
Address Unknown,"['Mady Christians', ' Morris Carnovsky', ' Paul Lukas', ' Peter van Eyck', ' K. T. Stevens']",['Morris Carnovsky'],
The Adventures of Mark Twain,"['Fredric March', ' Alexis Smith']",['Fredric March'],"['English', 'Scottish', 'Dutch', 'German', 'Belgian', 'Flemish', 'Norwegian']"
Alaska,"['Kent Taylor', ' Margaret Lindsay', ' John Carradine']",['Kent Taylor'],
Ali Baba and the Forty Thieves,"['Maria Montez', ' Jon Hall', ' Turhan Bey']",['Jon Hall'],
Allergic to Love,"[""Martha O'Driscoll"", ' Noah Beery Jr.', ' David Bruce']",['Noah Beery Jr.'],
An American Romance,"['Brian Donlevy', ' Ann Richards', ' Walter Abel']",['Brian Donlevy'],"['Northern', 'Irish']"
And the Angels Sing,"['Fred MacMurray', ' Betty Hutton', ' Dorothy Lamour']",['Fred MacMurray'],['German']
And Now Tomorrow,"['Alan Ladd', ' Loretta Young', ' Susan Hayward']",['Alan Ladd'],"['English', 'Irish']"
Andy Hardy's Blonde Trouble,"['Lewis Stone', ' Mickey Rooney', ' Fay Holden']",['Lewis Stone'],
Are These Our Parents?,"['Helen Vinson', ' Lyle Talbot', ' Ivan Lebedeff']",['Lyle Talbot'],
Arizona Whirlwind,"['Ken Maynard', ' Hoot Gibson', ' Bob Steele']",['Ken Maynard'],
Army Wives,"['Elyse Knox', ' Marjorie Rambeau', ' Rick Vallin']",['Rick Vallin'],
Arsenic and Old Lace ,"['Cary Grant', ' Raymond Massey', ' Josephine Hull', ' Peter Lorre', ' Jack Carson']",['Raymond Massey'],
Atlantic City,"['Constance Moore', ' Stanley Brown', ' Charley Grapewin']",['Stanley Brown'],
Babes on Swing Street,"['Ann Blyth', ' Peggy Ryan', ' Andy Devine']",['Andy Devine'],
Barbary Coast Gent,"['Wallace Beery', ' Binnie Barnes', ' John Carradine', ' Chill Wills']",['Wallace Beery'],"['GermanEnglish', 'Irish', 'Scottish', 'SwissGerman']"
Bathing Beauty,"['Esther Williams', ' Red Skelton']",['Red Skelton'],
