0,1,Males,Ethnicity
3:15,"['Adam Baldwin', ' Jesse Aragon', ' René Auberjonois']",['Adam Baldwin'],
8 Million Ways to Die,"['Jeff Bridges', ' Rosanna Arquette', ' Andy García']",['Jeff Bridges'],"['English', 'ScotsIrishNorthern', 'Irish', 'Irish', 'SwissGerman', 'German']"
9½ Weeks,"['Mickey Rourke', ' Kim Basinger']",[],
52 Pick-Up,"['Roy Scheider', ' Ann-Margret', ' John Glover']",['Roy Scheider'],"['German', 'Irish']"
About Last Night...,"['Rob Lowe', ' Demi Moore', ' James Belushi', ' Elizabeth Perkins']",['Rob Lowe'],"['German', 'English', 'Irish', 'Welsh', 'Scottish']"
The Adventures of the American Rabbit,['Barry Gordon'],['Barry Gordon'],
Aliens,"['Sigourney Weaver', ' Michael Biehn', ' Lance Henriksen', ' Carrie Henn', ' Bill Paxton', ' Paul Reiser', ' Jenette Goldstein']",['Michael Biehn'],"['German', 'English', 'Irish', 'Scottish', 'Bohemian', 'Czech', 'Welsh']"
Amazons,"['Penelope Reed', ' Joseph Whipp']",['Joseph Whipp'],
American Anthem,"['Mitchell Gaylord', ' Janet Jones']",['Mitchell Gaylord'],
April Fool's Day,"['Deborah Foreman', ' Jay Baker']",['Jay Baker'],
Armed and Dangerous,"['John Candy', ' Eugene Levy', ' Meg Ryan']",['John Candy'],"['Ukrainian', 'English', 'Scottish']"
Armed Response,"['David Carradine', ' Lee Van Cleef', ' Mako']",['David Carradine'],"['English', 'German', 'Scottish', 'Irish', 'Welsh', 'Dutch']"
Artie Shaw: Time Is All You've Got,"['Archive footage of Artie Shaw', ' Billie Holiday']",[],
As Is,"['Colleen Dewhurst', ' Robert Carradine']",['Robert Carradine'],"['English', 'Irish', 'Dutch', 'Ashkenazi', 'Jewish', 'Danish', 'German', 'SwissGerman']"
At Close Range,"['Christopher Walken', ' Sean Penn', ' Chris Penn', ' Mary Stuart Masterson']",['Christopher Walken'],"['Scottish', 'Irish']"
Avenging Force,"['Michael Dudikoff', ' Steve James']",['Michael Dudikoff'],['FrenchCanadian']
Back to School,"['Rodney Dangerfield', ' Sally Kellerman', ' Keith Gordon', ' Ned Beatty', ' Adrienne Barbeau', ' Burt Young', ' Robert Downey Jr.']",['Rodney Dangerfield'],"['Ashkenazi', 'Jewish']"
Band of the Hand,"['Stephen Lang', ' Lauren Holly', ' Leon']",['Stephen Lang'],"['Jewish', 'Irish', 'German']"
Behind Enemy Lines,"['David Carradine', ' Mako Iwamatsu', ' Steve James']",['David Carradine'],"['English', 'German', 'Scottish', 'Irish', 'Welsh', 'Dutch']"
The Best of Times,"['Robin Williams', ' Kurt Russell', ' Pamela Reed']",['Kurt Russell'],"['English', 'German', 'Scottish', 'Irish']"
Big Trouble,"['Peter Falk', ' Alan Arkin', "" Beverly D'Angelo"", ' Valerie Curtin']",['Peter Falk'],"['Ashkenazi', 'Jewish']"
Big Trouble in Little China,"['Kurt Russell', ' Kim Cattrall', ' Victor Wong']",['Kurt Russell'],"['English', 'German', 'Scottish', 'Irish']"
Black Moon Rising,"['Tommy Lee Jones', ' Linda Hamilton', ' Robert Vaughn']",['Tommy Lee Jones'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Dutch']"
Blue City,"['Judd Nelson', ' Ally Sheedy', ' Scott Wilson', ' David Caruso']",['Judd Nelson'],"['Ashkenazi', 'Jewish']"
Blue Velvet,"['Isabella Rossellini', ' Kyle MacLachlan', ' Laura Dern', ' Dennis Hopper', ' Hope Lange']",['Kyle MacLachlan'],"['Scottish', 'English', 'Cornish', 'German']"
The Boy Who Could Fly,"['Bonnie Bedelia', ' Lucy Deakins', ' Jay Underwood', ' Fred Savage', ' Fred Gwynne', ' Mindy Cohn', ' Colleen Dewhurst']",['Jay Underwood'],
Brighton Beach Memoirs,"['Jonathan Silverman', ' Blythe Danner', ' Judith Ivey']",['Jonathan Silverman'],
Captain EO,['Michael Jackson'],['Michael Jackson'],['AfricanAmerican']
Children of a Lesser God,"['William Hurt', ' Marlee Matlin', ' Piper Laurie']",['William Hurt'],"['English', 'German', 'Scottish', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Swedish']"
Choke Canyon,"['Stephen Collins', ' Bo Svenson', ' Lance Henriksen']",['Stephen Collins'],"['English', 'Dutch']"
Chopping Mall,"['Kelli Maroney', ' Barbara Crampton', ' Dick Miller']",['Dick Miller'],"['Ashkenazi', 'Jewish']"
The Clan of the Cave Bear,"['Daryl Hannah', ' Pamela Reed', ' James Remar']",['Daryl Hannah'],"['Scottish', 'Norwegian', 'Danish', 'Irish', 'English', 'German']"
Club Paradise,"['Robin Williams', "" Peter O'Toole"", ' Rick Moranis']",['Rick Moranis'],"['Ashkenazi', 'Jewish']"
Cobra,"['Sylvester Stallone', ' Brigitte Nielsen']",['Sylvester Stallone'],"['Italian25', 'French', 'Breton25', 'German', 'Ashkenazi', 'Jewish']"
The Color of Money,"['Paul Newman', ' Tom Cruise', ' Mary Elizabeth Mastrantonio', ' John Turturro', ' Helen Shaver', ' Forest Whitaker']",['Paul Newman'],"['Jewish', 'Slovak']"
Combat Shock,"['Rick Giovinazzo', ' Veronica Stork']",['Rick Giovinazzo'],
Crawlspace,"['Klaus Kinski', ' Talia Balsam']",['Klaus Kinski'],
Crimes of the Heart,"['Diane Keaton', ' Jessica Lange', ' Sissy Spacek', ' Tess Harper']",[],
Critters,"['Dee Wallace', ' M. Emmet Walsh']",[],
Crossroads,"['Ralph Macchio', ' Joe Seneca', ' Jami Gertz']",['Ralph Macchio'],"['Italian25', 'Greek']"
Dangerously Close,"['John Stockwell', ' Carey Lowell']",['John Stockwell'],
Deadly Friend,['Kristy Swanson'],[],
The Delta Force,"['Chuck Norris', ' Lee Marvin']",['Chuck Norris'],"['English', 'Scottish', 'Welsh', 'German', 'French', 'Swedish', 'Dutch']"
Desert Bloom,"['Annabeth Gish', ' Jon Voight', ' Ellen Barkin']",['Jon Voight'],['German']
Down and Out in Beverly Hills,"['Nick Nolte', ' Richard Dreyfuss', ' Bette Midler', ' Elizabeth Peña']",['Nick Nolte'],"['German', 'English', 'Scottish', 'Northern', 'Irish', 'ScotsIrish', 'SwissGerman']"
Down by Law,"['Tom Waits', ' John Lurie', ' Roberto Benigni', ' Ellen Barkin']",['Tom Waits'],"['Norwegian', 'English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'SwissGerman', 'Welsh']"
Dr. Otto and the Riddle of the Gloom Beam,"['Jim Varney', ' Glenn Petach']",['Jim Varney'],"['English', 'Scottish', 'German', 'Dutch']"
Dream Lover,['Kristy McNichol'],[],
Duet for One,"['Julie Andrews', ' Alan Bates']",['Alan Bates'],
Echo Park,"['Susan Dey', ' Tom Hulce', ' Cheech Marin']",['Tom Hulce'],"['English', 'German', 'Irish', 'Dutch']"
Equalizer 2000,"['Richard Norton', ' Robert Patrick']",['Richard Norton'],
Every Time We Say Goodbye,['Tom Hanks'],['Tom Hanks'],"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
Extremities,"['Farrah Fawcett', ' James Russo', ' Alfre Woodard', ' Diana Scarwid']",['James Russo'],['German']
