0,1,Males,Ethnicity
The Adventures of Ford Fairlane,"['Andrew Dice Clay', ' Wayne Newton', ' Priscilla Presley', ' Lauren Holly', ' Maddie Corman', "" Ed O'Neill"", ' Morris Day', ' Tone Loc', ' Gilbert Gottfried', ' Robert Englund']",['Andrew Dice Clay'],"['Ashkenazi', 'Jewish']"
"After Dark, My Sweet","['Jason Patric', ' Rachel Ward', ' Bruce Dern']",['Jason Patric'],"['Irish', 'German', 'English', 'Scottish', 'Dutch', 'Norwegian', 'French', 'Huguenot']"
Air America,"['Mel Gibson', ' Robert Downey', ' Jr.', ' Nancy Travis']",['Mel Gibson'],"['Irish125', 'English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh']"
Alice,"['Mia Farrow', ' Joe Mantegna', ' William Hurt', ' Alec Baldwin']",['Joe Mantegna'],"['Italian', 'Sicilian']"
Almost an Angel,"['Paul Hogan', ' Elias Koteas', ' Charlton Heston']",['Paul Hogan'],
The Ambulance,"['Eric Roberts', ' James Earl Jones', ' Megan Gallagher']",['Eric Roberts'],"['English', 'German', 'Swedish', 'Irish', 'Scottish', 'Welsh', 'French']"
American Dream,['proposed strike at Hormel Foods'],[],
American Ninja 4: The Annihilation,['Michael Dudikoff'],['Michael Dudikoff'],['FrenchCanadian']
Andre's Mother,"['Richard Thomas', ' Sada Thompson']",['Richard Thomas'],
Angel Town,"['Olivier Gruner', ' Theresa Saldana']",['Olivier Gruner'],
Another 48 Hrs.,"['Eddie Murphy', ' Nick Nolte']",['Eddie Murphy'],['AfricanAmerican']
Arachnophobia,"['Jeff Daniels', ' John Goodman', ' Harley Jane Kozak', ' Julian Sands']",['Jeff Daniels'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German']"
Avalon,"['Aidan Quinn', ' Armin Mueller-Stahl', ' Joan Plowright', ' Elizabeth Perkins', ' Kevin Pollak']",['Aidan Quinn'],['Irish']
Awakenings,"['Robert De Niro', ' Robin Williams', ' Penelope Ann Miller', ' John Heard', ' Julie Kavner', ' Ruth Nelson']",['Robert De Niro'],"['Italian', 'Irish', 'German', 'Dutch', 'English', 'French', 'Huguenot', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
Back to the Future Part III,"['Michael J. Fox', ' Christopher Lloyd', ' Mary Steenburgen', ' Thomas F. Wilson']",['Michael J. Fox'],"['Irish', 'English', 'Scottish']"
Bad Influence,"['Rob Lowe', ' James Spader']",['Rob Lowe'],"['German', 'English', 'Irish', 'Welsh', 'Scottish']"
Basket Case 2,['Annie Ross'],[],
Betsy's Wedding,"['Alan Alda', ' Molly Ringwald', ' Ally Sheedy', ' Madeline Kahn', ' Joe Pesci', ' Anthony LaPaglia', "" Catherine O'Hara""]",['Alan Alda'],['Irish']
Bird on a Wire,"['Mel Gibson', ' Goldie Hawn', ' David Carradine', ' Bill Duke', ' Stephen Tobolowsky', ' Joan Severance']",['Mel Gibson'],"['Irish125', 'English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh']"
Blind Faith,"['Robert Urich', ' Joanna Kerns', ' Johnny Galecki', ' William Forsythe', ' Dennis Farina']",['Robert Urich'],
Bloodfist II,['Don Wilson'],['Don Wilson'],
Blue Steel,"['Jamie Lee Curtis', ' Ron Silver', ' Clancy Brown', ' Elizabeth Pena', ' Louise Fletcher']",['Ron Silver'],
The Bonfire of the Vanities,"['Tom Hanks', ' Bruce Willis', ' Melanie Griffith', ' Morgan Freeman', ' Kim Cattrall', ' Saul Rubinek', ' F. Murray Abraham', ' Alan King']",['Tom Hanks'],"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
Bride of Re-Animator,"['Bruce Abbott', ' Fabiana Udenio']",['Bruce Abbott'],
Cadence,"['Charlie Sheen', ' Martin Sheen']",['Martin Sheen'],"['Spanish', 'Irish']"
Cadillac Man,"['Robin Williams', ' Tim Robbins', ' Pamela Reed', ' Lori Petty', ' Fran Drescher']",['Tim Robbins'],"['English', 'Norwegian', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'FrenchFrenchCanadian', 'Dutch']"
Camp Cucamonga,['John Ratzenberger'],['John Ratzenberger'],"['Austrian', 'Polish']"
Captain America,"['Matt Salinger', ' Ronny Cox', ' Scott Paulin']",['Matt Salinger'],
Cartoon All-Stars to the Rescue,[''],[],
