0,1,Males,Ethnicity
The Baltimore Bullet,"['James Coburn', ' Omar Sharif', ' Ronee Blakley']",['James Coburn'],"['German', 'Swedish']"
Battle Beyond the Stars,"['Richard Thomas', ' Robert Vaughn']",['Richard Thomas'],
Below the Belt,"['Regina Baff', ' John C. Becher', ' Mildred Burke (as herself)', ' Firesign Theatre']",['John C. Becher'],
The Big Brawl,['Jackie Chan'],[],
The Big Red One,"['Lee Marvin', ' Mark Hamill', ' Robert Carradine']",['Mark Hamill'],"['Swedish', 'Irish', 'English', 'Scottish', 'Welsh']"
The Black Marble,"['Robert Foxworth', ' Paula Prentiss', ' Harry Dean Stanton']",['Robert Foxworth'],
The Blue Lagoon,"['Christopher Atkins', ' Brooke Shields']",['Christopher Atkins'],
The Blues Brothers,"['Dan Aykroyd', ' John Belushi', ' Carrie Fisher', ' Aretha Franklin', ' Ray Charles', ' James Brown', ' Cab Calloway', '   Kathleen Freeman', ' Steve Lawrence', ' John Candy']",['Dan Aykroyd'],"['English', 'Irish', 'Scottish', 'Dutch', 'French', 'FrenchCanadian']"
"Bon Voyage, Charlie Brown (and Don't Come Back!!)","['Arrin Skelley', ' Daniel Anderson', ' Patricia Patts', ' Casey Carlson', ' Annalisa Bortolin', ' Laura Planting']",['Daniel Anderson'],
The Boogeyman,"['Ron James', ' Suzanna Love', ' Ron Jeremy']",['Ron James'],
Borderline,"['Charles Bronson', ' Ed Harris']",['Charles Bronson'],"['Lithuanian', 'Polish', 'Eastern', 'European']"
Bronco Billy,"['Clint Eastwood', ' Sondra Locke', ' Geoffrey Lewis', ' Scatman Crothers']",['Clint Eastwood'],"['English', 'Scottish', 'Irish', 'German', 'Dutch', 'Welsh']"
Brubaker,"['Robert Redford', ' Jane Alexander', ' Yaphet Kotto']",['Robert Redford'],"['English', 'Irish', 'Scottish', 'Northern', 'IrishScotsIrish', 'Cornish']"
Caboblanco,"['Charles Bronson', ' Jason Robards', ' Dominique Sanda']",['Charles Bronson'],"['Lithuanian', 'Polish', 'Eastern', 'European']"
Caddyshack,"['Chevy Chase', ' Rodney Dangerfield', ' Bill Murray', ' Ted Knight', "" Michael O'Keefe"", ' Cindy Morgan']",['Rodney Dangerfield'],"['Ashkenazi', 'Jewish']"
Can't Stop the Music,"['Valerie Perrine', ' Caitlyn Jenner (credited as Bruce Jenner)', '[a] Village People']",['a Village People'],
Cardiac Arrest,['Garry Goodrow'],['Garry Goodrow'],
Carny,"['Gary Busey', ' Jodie Foster', ' Robbie Robertson']",['Gary Busey'],
A Change of Seasons,"['Shirley MacLaine', ' Anthony Hopkins', ' Bo Derek']",['Anthony Hopkins'],"['Welsh', 'English']"
The Changeling,"['George C. Scott', ' Trish Van Devere']",['George C. Scott'],"['English', 'German', 'Irish', 'Scottish']"
Cheech & Chong's Next Movie,"['Tommy Chong', ' Cheech Marin', ' Paul Reubens', ' Evelyn Guerrero']",['Tommy Chong'],"['Scottish', 'English']"
The Children,['Gil Rogers'],['Gil Rogers'],
Christmas Evil,['Brandon Maggart'],['Brandon Maggart'],
Circle of Two,"['Richard Burton', "" Tatum O'Neal""]",['Richard Burton'],['Welsh']
Coal Miner's Daughter,"['Sissy Spacek', ' Tommy Lee Jones', "" Beverly D'Angelo"", ' Levon Helm']",['Tommy Lee Jones'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Dutch']"
Coast to Coast,"['Robert Blake', ' Dyan Cannon']",['Robert Blake'],['Italian']
The Competition,"['Richard Dreyfuss', ' Amy Irving', ' Lee Remick']",['Richard Dreyfuss'],"['Ashkenazi', 'Jewish']"
Cruising,"['Al Pacino', ' Paul Sorvino']",['Al Pacino'],"['Italian', 'Sicilian', 'Neapolitan']"
Death Watch,"['Harvey Keitel', ' Romy Schneider', ' Harry Dean Stanton']",['Harvey Keitel'],"['Ashkenazi', 'Jewish']"
