0,1,Males,Ethnicity
The 49th Man,"['Richard Denning', ' John Ireland', ' Suzanne Dalbert']",['Richard Denning'],
99 River Street,"['John Payne', ' Evelyn Keyes']",['John Payne'],
"The 5,000 Fingers of Dr. T","['Tommy Rettig', ' Mary Healy']",['Tommy Rettig'],
Abbott and Costello Go to Mars,"['Abbott and Costello', ' Horace McMahon', ' Martha Hyer', ' Mari Blanchard']",['Abbott and Costello'],
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,"['Abbott and Costello', ' Boris Karloff']",['Abbott and Costello'],
Act of Love,"['Kirk Douglas', ' Dany Robin']",['Kirk Douglas'],"['Ashkenazi', 'Jewish']"
The Actress,"['Jean Simmons', ' Spencer Tracy', ' Teresa Wright']",['Spencer Tracy'],['English']
The Affairs of Dobie Gillis,"['Debbie Reynolds', ' Bob Fosse']",['Bob Fosse'],
Affair with a Stranger,"['Jean Simmons', ' Victor Mature', ' Monica Lewis']",['Victor Mature'],"['SwissGerman', 'German']"
The All American,"['Tony Curtis', ' Lori Nelson', ' Mamie Van Doren']",['Tony Curtis'],"['Ashkenazi', 'Jewish']"
All Ashore,"['Mickey Rooney', ' Dick Haymes']",['Dick Haymes'],
All I Desire,"['Barbara Stanwyck', ' Richard Carlson', ' Lyle Bettger', ' Lori Nelson']",['Richard Carlson'],
All the Brothers Were Valiant,"['Robert Taylor', ' Stewart Granger', ' Ann Blyth']",['Robert Taylor'],
Ambush at Tomahawk Gap,"['John Hodiak', ' John Derek']",['John Hodiak'],['Polish']
Angel Face,"['Robert Mitchum', ' Jean Simmons']",['Robert Mitchum'],"['Welsh', 'Norwegian']"
Appointment in Honduras,"['Glenn Ford', ' Ann Sheridan', ' Zachary Scott']",['Glenn Ford'],"['English', 'Scottish', 'Irish', 'Dutch']"
Arena,"['Gig Young', ' Jean Hagen', ' Polly Bergen']",['Gig Young'],"['FrenchCanadian', 'Dutch', 'English', 'Scottish', 'Huron', 'Native', 'Canadian']"
Arrowhead,"['Charlton Heston', ' Jack Palance', ' Katy Jurado']",['Charlton Heston'],"['English', 'Scottish', 'Cornish', 'German']"
Back to God's Country,"['Rock Hudson', ' Marcia Henderson', ' Steve Cochran']",['Rock Hudson'],"['German', 'SwissGerman25', 'English25', 'Irish']"
Bad for Each Other,"['Charlton Heston', ' Lizabeth Scott']",['Charlton Heston'],"['English', 'Scottish', 'Cornish', 'German']"
The Bandits of Corsica,"['Paula Raymond', ' Richard Greene', ' Raymond Burr']",['Richard Greene'],
Bandits of the West,"['Allan Lane', ' Cathy Downs']",['Allan Lane'],
The Band Wagon,"['Fred Astaire', ' Cyd Charisse', ' Oscar Levant', ' Jack Buchanan', ' Nanette Fabray']",['Fred Astaire'],"['Ashkenazi', 'Jewish', 'Catholic', 'German', 'Alsatian']"
Battle Circus,"['Humphrey Bogart', ' June Allyson', ' Robert Keith', ' Keenan Wynn']",['Humphrey Bogart'],"['English', 'Dutch', 'German', 'French', 'Belgian', 'Walloon', 'Welsh']"
"The Beast from 20,000 Fathoms","['Paula Raymond', ' Cecil Kellaway']",['Cecil Kellaway'],
Beat the Devil,"['Humphrey Bogart', ' Jennifer Jones', ' Gina Lollobrigida', ' Peter Lorre']",['Humphrey Bogart'],"['English', 'Dutch', 'German', 'French', 'Belgian', 'Walloon', 'Welsh']"
Beneath the 12-Mile Reef,"['Robert Wagner', ' Terry Moore', ' Gilbert Roland']",['Robert Wagner'],['Norwegian']
The Bigamist,"['Joan Fontaine', ' Ida Lupino', "" Edmond O'Brien""]",[],
The Big Heat,"['Glenn Ford', ' Gloria Grahame Jocelyn Brando']",['Glenn Ford'],"['English', 'Scottish', 'Irish', 'Dutch']"
Big Leaguer,"['Edward G. Robinson', ' Vera-Ellen']",['Edward G. Robinson'],"['Ashkenazi', 'Jewish']"
Blowing Wild,"['Gary Cooper', ' Barbara Stanwyck', ' Ruth Roman']",['Gary Cooper'],['English']
The Blue Gardenia,"['Anne Baxter', ' Richard Conte', ' Ann Sothern', ' Raymond Burr']",['Richard Conte'],['Italian']
A Blueprint for Murder,"['Joseph Cotten', ' Jean Peters', ' Gary Merrill']",['Joseph Cotten'],"['English', 'Northern', 'Irish', 'ScotsIrish']"
Born to the Saddle,"['Chuck Courtney', ' Donald Woods']",['Chuck Courtney'],
Botany Bay,"['Alan Ladd', ' James Mason', ' Patricia Medina']",['Alan Ladd'],"['English', 'Irish']"
Bright Road,"['Dorothy Dandridge', ' Harry Belafonte']",['Harry Belafonte'],"['Sephardi', 'Jewish', 'AfricanJamaican', 'AfricanJamaican', 'IrishScottish']"
By the Light of the Silvery Moon,"['Doris Day', ' Gordon MacRae']",['Gordon MacRae'],
The Caddy,"['Dean Martin', ' Jerry Lewis', ' Donna Reed']",['Dean Martin'],"['Italian', 'Sicilian']"
