0,1,Males,Ethnicity
Above Suspicion,"['Joan Crawford', ' Fred MacMurray', ' Conrad Veidt']",['Fred MacMurray'],['German']
Action in the North Atlantic,"['Humphrey Bogart', ' Raymond Massey', ' Alan Hale Sr.']",['Humphrey Bogart'],"['English', 'Dutch', 'German', 'French', 'Belgian', 'Walloon', 'Welsh']"
Adventure in Iraq,"['Ruth Ford', ' John Loder']",['John Loder'],
The Adventures of a Rookie,"['Wally Brown', ' Alan Carney']",['Wally Brown'],
Aerial Gunner,"['Chester Morris', ' Richard Arlen']",['Chester Morris'],
After Midnight with Boston Blackie,"['Chester Morris', ' Ann Savage']",['Chester Morris'],
Air Force,"['John Garfield', ' John Ridgely', ' Gig Young']",['John Garfield'],"['Ashkenazi', 'Jewish']"
Air Raid Wardens,"['Laurel and Hardy', ' Edgar Kennedy', ' Jacqueline White']",['Edgar Kennedy'],
Alaska Highway,"['Jean Parker', ' Richard Arlen']",['Richard Arlen'],
All by Myself,"['Rosemary Lane', ' Evelyn Ankers', ' Patric Knowles']",['Patric Knowles'],
Always a Bridesmaid,"['The Andrews Sisters', ' Patric Knowles', ' Grace McDonald']",['The Andrews Sisters'],
The Amazing Mrs. Holliday,"['Deanna Durbin', "" Edmond O'Brien"", ' Barry Fitzgerald']",['Barry Fitzgerald'],['German']
The Ape Man,"['Bela Lugosi', ' Louise Currie', ' Wallace Ford', ' Henry Hall']",['Wallace Ford'],
Appointment in Berlin,"['George Sanders', ' Marguerite Chapman']",['George Sanders'],"['English', 'Scottish', 'European', 'Royal', 'Russian']"
Arizona Trail,"['Tex Ritter', ' Fuzzy Knight']",['Tex Ritter'],
Around the World,"['Kay Kyser', ' Mischa Auer', ' Joan Davis']",[],
Assignment in Brittany,"['Jean-Pierre Aumont', ' Susan Peters', ' Signe Hasso']",['Jean-Pierre Aumont'],"['Ashkenazi', 'Jewish', 'Sephardi', 'Jewish']"
The Avenging Rider,"['Tim Holt', ' Cliff Edwards']",['Tim Holt'],
Background to Danger,"['George Raft', ' Brenda Marshall', ' Sydney Greenstreet', ' Peter Lorre']",['George Raft'],['German']
Bad Men of Thunder Gap,"[""Dave O'Brien"", ' Guy Wilkerson']",['Guy Wilkerson'],
Bar 20,"['William Boyd', ' Andy Clyde', ' George Reeves', ' Robert Mitchum']",['William Boyd'],
Bataan,"['Robert Taylor', ' George Murphy', ' Lloyd Nolan']",['Robert Taylor'],
Behind the Rising Sun,"['Margo Albert', ' Tom Neal']",['Tom Neal'],
Best Foot Forward,"['Lucille Ball', ' June Allyson', ' Gloria DeHaven', ' Nancy Walker']",[],
Beyond the Last Frontier,"['Eddie Dew', ' Smiley Burnette', ' Robert Mitchum']",['Eddie Dew'],
The Black Hills Express,"['Don ""Red"" Barry', ' Wally Vernon']","['Don ""Red"" Barry']",
Black Market Rustlers,"['Ray Corrigan', ' Max Terhune', ' Evelyn Finley']",['Ray Corrigan'],
The Black Raven,"['Wanda McKay', ' George Zucco']",['George Zucco'],
Blazing Frontier,"['Buster Crabbe', ' Al St. John']",['Buster Crabbe'],
Blazing Guns,"['Ken Maynard', ' Hoot Gibson']",['Ken Maynard'],
The Blocked Trail,"['Bob Steele', ' Tom Tyler']",['Bob Steele'],
Bombardier,"[""Pat O'Brien"", ' Randolph Scott', ' Anne Shirley', ' Eddie Albert']",['Randolph Scott'],
Bomber's Moon,"['George Montgomery', ' Annabella']",['George Montgomery'],['Ukrainian']
Border Buckaroos,"[""Dave O'Brien"", ' Christine McIntyre']",[],
Border Patrol,"['William Boyd', ' Andy Clyde', ' George Reeves', ' Robert Mitchum']",['William Boyd'],
Bordertown Gun Fighters,"['Wild Bill Elliott', ' Anne Jeffreys']",['Wild Bill Elliott'],
Boss of Rawhide,"[""Dave O'Brien"", "" Nell O'Day""]",[],
The Boy from Stalingrad,"['Scotty Beckett', ' John Wengraf']",['Scotty Beckett'],
Buckskin Frontier,"['Richard Dix', ' Jane Wyatt', ' Lee J. Cobb']",['Richard Dix'],
Bullets and Saddles,"['Ray ""Crash"" Corrigan', ' Julie Duncan']","['Ray ""Crash"" Corrigan']",
Cabin in the Sky,"['Ethel Waters', ' Eddie ""Rochester"" Anderson', ' Lena Horne', ' Louis Armstrong']","['Eddie ""Rochester"" Anderson']",
Calaboose,"['Mary Brian', ' Jean Porter']",[],
California Joe,"['Don ""Red"" Barry', ' Helen Talbot']","['Don ""Red"" Barry']",
Calling Dr. Death,"['Lon Chaney Jr.', ' Patricia Morison']",['Lon Chaney Jr.'],"['English', 'French', 'German', 'Irish']"
Calling Wild Bill Elliott,"['Wild Bill Elliott', ' Anne Jeffreys']",['Wild Bill Elliott'],
Campus Rhythm,"['Johnny Downs', ' Gale Storm']",['Johnny Downs'],
Canyon City,"['Don ""Red"" Barry', ' Helen Talbot']","['Don ""Red"" Barry']",
Captive Wild Woman,"['John Carradine', ' Milburn Stone', ' Paula Dupree']",['John Carradine'],
Carson City Cyclone,"['Don ""Red"" Barry', ' Lynn Merrick']","['Don ""Red"" Barry']",
Cattle Stampede,"['Buster Crabbe', ' Al St. John']",['Buster Crabbe'],
The Chance of a Lifetime,"['Chester Morris', ' Erik Rolf', ' Jeanne Bates']",['Chester Morris'],
Chatterbox,"['Joe E. Brown', ' Judy Canova']",['Joe E. Brown'],"['Welsh', 'English']"
Chetniks! The Fighting Guerrillas,"['Anna Sten', ' Philip Dorn']",['Philip Dorn'],
Cheyenne Roundup,"['Johnny Mack Brown', ' Jennifer Holt']",['Johnny Mack Brown'],
China,"['Loretta Young', ' Alan Ladd', ' William Bendix']",['Alan Ladd'],"['English', 'Irish']"
Cinderella Swings It,"['Gloria Warren', ' Guy Kibbee', ' Helen Parrish']",['Guy Kibbee'],
City Without Men,"['Linda Darnell', ' Glenda Farrell']",[],
