0,1,Males,Ethnicity
5 Card Stud,"['Dean Martin', ' Robert Mitchum', ' Inger Stevens']",['Dean Martin'],"['Italian', 'Sicilian']"
2001: A Space Odyssey,"['Keir Dullea', ' Gary Lockwood', ' William Sylvester\n']",['Keir Dullea'],
Anzio,"['Robert Mitchum', ' Robert Ryan', ' Peter Falk']",['Robert Mitchum'],"['Welsh', 'Norwegian']"
Arizona Bushwhackers,"['Howard Keel', ' Yvonne De Carlo', ' John Ireland', ' Marilyn Maxwell', ' Scott Brady', ' Brian Donlevy']",['Howard Keel'],
Assignment to Kill,"[""Patrick O'Neal"", ' Joan Hackett', ' John Gielgud']",['John Gielgud'],"['Lithuanian', 'Cornish', 'English']"
The Astro-Zombies,"['John Carradine', ' Wendell Corey', ' Tura Satana']",['John Carradine'],
The Bamboo Saucer,"['Dan Duryea', ' John Ericson', ' Lois Nettleton']",['Dan Duryea'],
Bandolero!,"['James Stewart', ' Dean Martin', ' Raquel Welch']",['James Stewart'],"['ScotsIrishNorthern', 'Irish', 'Scottish', 'Irish', 'English']"
The Biggest Bundle of Them All,"['Raquel Welch', ' Robert Wagner', ' Edward G. Robinson']",['Robert Wagner'],['Norwegian']
Blackbeard's Ghost,"['Peter Ustinov', ' Suzanne Pleshette', ' Dean Jones']",['Peter Ustinov'],"['Russian125', 'Ashkenazi', 'Jewish125', 'German125', 'Italian625', 'Ethiopian', 'SubSaharan', 'African', 'Portuguese625', 'French']"
The Boston Strangler,"['Tony Curtis', ' Henry Fonda', ' George Kennedy']",['Tony Curtis'],"['Ashkenazi', 'Jewish']"
The Brotherhood,"['Kirk Douglas', ' Alex Cord', ' Luther Adler']",['Kirk Douglas'],"['Ashkenazi', 'Jewish']"
Bullitt,"['Steve McQueen', ' Robert Vaughn', ' Jacqueline Bisset']",['Steve McQueen'],"['Scottish', 'English', 'ScotsIrishNorthern', 'Irish', 'German', 'Cornish', 'Dutch', 'Welsh']"
"Buona Sera, Mrs. Campbell","['Gina Lollobrigida', ' Shelley Winters', ' Peter Lawford']",['Peter Lawford'],"['English', 'Scottish']"
Bye Bye Braverman,"['George Segal', ' Jack Warden', ' Alan King']",['George Segal'],"['Ashkenazi', 'Jewish']"
Candy,"['Marlon Brando', ' Richard Burton', ' Charles Aznavour', ' Walter Matthau', ' James Coburn', ' Ringo Starr']",['Marlon Brando'],"['English', 'Irish', 'German', 'Dutch', 'French', 'Huguenot', 'Welsh', 'Scottish']"
Charly,"['Cliff Robertson', ' Claire Bloom', ' Lilia Skala']",['Cliff Robertson'],"['English', 'German']"
Coogan's Bluff,"['Clint Eastwood', ' Lee J. Cobb', ' Susan Clark']",['Clint Eastwood'],"['English', 'Scottish', 'Irish', 'German', 'Dutch', 'Welsh']"
Countdown,"['James Caan', ' Joanna Moore', ' Robert Duvall']",['James Caan'],"['Ashkenazi', 'Jewish']"
Counterpoint,"['Charlton Heston', ' Maximilian Schell', ' Kathryn Hays']",['Charlton Heston'],"['English', 'Scottish', 'Cornish', 'German']"
Daring Game,"['Lloyd Bridges', ' Joan Blackman', ' Nico Minardos']",['Lloyd Bridges'],
Day of the Evil Gun,"['Glenn Ford', ' Arthur Kennedy', ' Dean Jagger']",['Glenn Ford'],"['English', 'Scottish', 'Irish', 'Dutch']"
The Detective,"['Frank Sinatra', ' Lee Remick', ' Jacqueline Bisset']",['Frank Sinatra'],"['Italian', 'Sicilian']"
The Devil's Brigade,"['William Holden', ' Cliff Robertson', ' Vince Edwards']",['William Holden'],"['English', 'Irish', 'French']"
Did You Hear the One About the Traveling Saleslady?,"['Phyllis Diller', ' Bob Denver', ' Jeanette Nolan']",['Bob Denver'],"['Irish', 'English']"
Don't Just Stand There!,"['Robert Wagner', ' Mary Tyler Moore', ' Glynis Johns']",['Robert Wagner'],['Norwegian']
"Don't Raise the Bridge, Lower the River","['Jerry Lewis', ' Terry-Thomas', ' Jacqueline Pearce']",['Jerry Lewis'],"['Ashkenazi', 'Jewish']"
Faces,"['Gena Rowlands', ' John Marley', ' Seymour Cassel']",['John Marley'],
"Finders Keepers, Lovers Weepers!","['Anne Chapman', ' Lavelle Roby']",[],
Finian's Rainbow,"['Fred Astaire', ' Petula Clark', ' Keenan Wynn', ' Tommy Steele', ' Don Francks', ' Al Freeman Jr.']",['Fred Astaire'],"['Ashkenazi', 'Jewish', 'Catholic', 'German', 'Alsatian']"
Firecreek,"['James Stewart', ' Henry Fonda', ' Inger Stevens', ' Jacqueline Scott', ' Gary Lockwood']",['James Stewart'],"['ScotsIrishNorthern', 'Irish', 'Scottish', 'Irish', 'English']"
Flesh,"[""Patti D'Arbanville""]",[],
For Love of Ivy,"['Sidney Poitier', ' Abbey Lincoln', ' Beau Bridges']",['Beau Bridges'],"['English', 'ScotsIrishNorthern', 'Irish', 'Irish', 'SwissGerman', 'German']"
For Singles Only,"['Mary Ann Mobley', ' Lana Wood', ' Milton Berle']",['Milton Berle'],
Funny Girl,"['Barbra Streisand', ' Omar Sharif', ' Walter Pidgeon']",['Omar Sharif'],['Egyptian']
Great Catherine,"[""Peter O'Toole"", ' Jeanne Moreau']",[],
