0,1,Males,Ethnicity
40 Carats,"['Edward Albert', ' Liv Ullmann', ' Binnie Barnes', ' Gene Kelly']",['Edward Albert'],
Ace Eli and Rodger of the Skies,"['Cliff Robertson', ' Pamela Franklin', ' Bernadette Peters']",['Cliff Robertson'],"['English', 'German']"
The Affair,"['Natalie Wood', ' Robert Wagner', ' Bruce Davison', ' Jamie Smith-Jackson']",['Robert Wagner'],['Norwegian']
The All-American Boy,"['Jon Voight', ' Jeanne Cooper']",['Jon Voight'],['German']
American Graffiti,"['Richard Dreyfuss', ' Ron Howard', ' Candy Clark', ' Harrison Ford', ' Cindy Williams', ' Paul Le Mat', ' Mackenzie Phillips', ' Charles Martin Smith']",['Richard Dreyfuss'],"['Ashkenazi', 'Jewish']"
Arnold,"['Stella Stevens', ' Roddy McDowall', ' Elsa Lanchester', ' Shani Wallis']",['Roddy McDowall'],"['English', 'Irish']"
Ash Wednesday,"['Elizabeth Taylor', ' Henry Fonda', ' Helmut Berger']",['Henry Fonda'],"['Dutch', 'English', 'Scottish', 'Norwegian', 'German', 'Italian']"
The Baby,"['Anjanette Comer', ' Ruth Roman', ' Marianna Hill']",[],
Badge 373,"['Robert Duvall', ' Verna Bloom', ' Henry Darrow']",['Robert Duvall'],"['English', 'German', 'SwissGerman', 'French', 'Welsh', 'Scottish']"
Badlands,"['Martin Sheen', ' Sissy Spacek', ' Warren Oates']",['Martin Sheen'],"['Spanish', 'Irish']"
Bang the Drum Slowly,"['Robert De Niro', ' Michael Moriarty', ' Vincent Gardenia', ' Phil Foster']",['Robert De Niro'],"['Italian', 'Irish', 'German', 'Dutch', 'English', 'French', 'Huguenot', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
Battle for the Planet of the Apes,"['Roddy McDowall', ' John Huston', ' Claude Akins']",['Roddy McDowall'],"['English', 'Irish']"
Beyond Atlantis,"['Patrick Wayne', ' John Ashley', ' Leigh Christian']",['Patrick Wayne'],
Black Caesar,"['Fred Williamson', ' Gloria Hendry', "" D'Urville Martin ""]",['Fred Williamson'],['AfricanAmerican']
Black Mama White Mama,"['Pam Grier', ' Margaret Markov', ' Lynn Borden']",[],
Black Snake,"['David Prowse', ' Anouska Hempel', ' Percy Herbert']",['David Prowse'],
Blackenstein,"['John Hart', ' Liz Renay', ' Andrea King']",['John Hart'],
Blume in Love,"['George Segal', ' Susan Anspach', ' Kris Kristofferson', ' Shelley Winters']",['George Segal'],"['Ashkenazi', 'Jewish']"
Book of Numbers,"['Raymond St. Jacques', ' Philip Michael Thomas', ' Freda Payne', ' Hope Clarke']",['Raymond St. Jacques'],
The Boy Who Cried Werewolf,"['Kerwin Mathews', ' Elaine Devry', ' Robert J. Wilke']",['Kerwin Mathews'],
Breezy,"['William Holden', ' Kay Lenz', ' Marj Dusay']",['William Holden'],"['English', 'Irish', 'French']"
Cahill U.S. Marshal,"['John Wayne', ' Gary Grimes', ' George Kennedy', ' Neville Brand']",['John Wayne'],"['English', 'ScotsIrishNorthern', 'Irish', 'Irish']"
The Candy Snatchers,"['Tiffany Bolling', ' Ben Piazza', ' Dolores Dorn']",['Ben Piazza'],
Charley and the Angel,"['Fred MacMurray', ' Cloris Leachman', ' Kurt Russell']",['Fred MacMurray'],['German']
Charley One-Eye,"['Richard Roundtree', ' Roy Thinnes', ' Nigel Davenport']",['Richard Roundtree'],['AfricanAmerican']
Charley Varrick,"['Walter Matthau', ' Joe Don Baker', ' John Vernon', ' Andrew Robinson', ' Felicia Farr', ' Norman Fell', ' Jacqueline Scott', ' Sheree North']",['Walter Matthau'],"['Ashkenazi', 'Jewish']"
Charlotte's Web,"['Voices of Debbie Reynolds', ' Paul Lynde', ' Henry Gibson', ' Pamelyn Ferdin']",['Paul Lynde'],
Cinderella Liberty,"['James Caan', ' Marsha Mason', ' Eli Wallach']",['James Caan'],"['Ashkenazi', 'Jewish']"
Class of '44,"['Gary Grimes', ' Deborah Winters', ' Jerry Houser']",['Gary Grimes'],
