0,1,Males,Ethnicity
The Absent-Minded Professor,"['Fred MacMurray', ' Nancy Olson', ' Keenan Wynn', ' Tommy Kirk']",['Fred MacMurray'],['German']
Ada,"['Susan Hayward', ' Dean Martin']",['Dean Martin'],"['Italian', 'Sicilian']"
All in a Night's Work,"['Dean Martin', ' Shirley MacLaine', ' Cliff Robertson']",['Dean Martin'],"['Italian', 'Sicilian']"
All Hands on Deck,"['Pat Boone', ' Barbara Eden', ' Buddy Hackett']",['Buddy Hackett'],
Angel Baby,"['George Hamilton', ' Mercedes McCambridge', ' Joan Blondell']",['George Hamilton'],
Atlas,"['Michael Forest', ' Barboura Morris']",['Michael Forest'],
Aquamania,[''],[],
Armored Command,"['Howard Keel', ' Tina Louise', ' Earl Holliman']",['Howard Keel'],
"Atlantis, the Lost Continent","['John Dall', ' Edward Platt']",['John Dall'],
Babes in Toyland,"['Tommy Sands', ' Annette Funicello', ' Ray Bolger', ' Ed Wynn']",['Tommy Sands'],
Bachelor Flat,"['Tuesday Weld', ' Richard Beymer', ' Terry-Thomas']",['Richard Beymer'],
Bachelor in Paradise,"['Bob Hope', ' Lana Turner', ' Paula Prentiss', ' Janis Paige']",['Bob Hope'],"['English', 'Welsh']"
Back Street,"['Susan Hayward', ' John Gavin', ' Vera Miles']",['John Gavin'],"['Mexican', 'Chilean', 'Spanish']"
Battle at Bloody Beach,"['Audie Murphy', ' Dolores Michaels']",[],
The Beast of Yucca Flats,['Tor Johnson'],['Tor Johnson'],
Beep Prepared,['voice of Paul Julian'],[],
The Big Bankroll,"['David Janssen', ' Dianne Foster', ' Diana Dors']",['David Janssen'],"['German', 'SwissGerman', 'Irish', 'English']"
The Big Gamble,"['Stephen Boyd', ' Juliette Gréco', ' David Wayne']",['Stephen Boyd'],
The Big Show,"['Esther Williams', ' Cliff Robertson', ' Robert Vaughn']",['Cliff Robertson'],"['English', 'German']"
Blast of Silence,"['Allen Baron', ' Larry Tucker']",['Allen Baron'],
Bloodlust!,"['Robert Reed', ' June Kenney']",['Robert Reed'],
Blue Hawaii,"['Elvis Presley', ' Joan Blackman', ' Angela Lansbury']",['Elvis Presley'],"['English', 'Scottish', 'German', 'French', 'Dutch', 'Danish']"
Blueprint for Robbery,"[""J. Pat O'Malley"", ' Robert Gist']",['Robert Gist'],
Boy Who Caught a Crook,"['Wanda Hendrix', ' Roger Mobley']",['Roger Mobley'],
Boys Beware,[''],[],
Breakfast at Tiffany's,"['Audrey Hepburn', ' George Peppard', ' Buddy Ebsen', ' Patricia Neal', ' Martin Balsam', ' Mickey Rooney']",['George Peppard'],
Bridge to the Sun,"['Carroll Baker', ' James Shigeta']",['James Shigeta'],
Buffalo Gun,"['Webb Pierce', ' Wayne Morris', ' Mary Ellen Kay']",['Webb Pierce'],
By Love Possessed,"['Lana Turner', ' Efrem Zimbalist', ' Jr.', ' Jason Robards']",['Efrem Zimbalist'],"['Ashkenazi', 'Jewish', 'Episcopalian']"
The Cat Burglar,"['Jack Hogan', ' June Kenney']",['Jack Hogan'],
The Children's Hour,"['Audrey Hepburn', ' Shirley MacLaine', ' James Garner']",['James Garner'],"['English', 'Irish', 'German', 'Welsh', 'SwissGerman']"
Claudelle Inglish,"['Diane McBain', ' Arthur Kennedy', ' Chad Everett']",['Arthur Kennedy'],
The Clown and the Kid,"['John Lupton', ' Michael McGreevey', ' Mary Webster']",['John Lupton'],
A Cold Wind in August,"['Lola Albright', ' Scott Marlowe']",['Scott Marlowe'],
The Comancheros,"['John Wayne', ' Stuart Whitman', ' Ina Balin']",['John Wayne'],"['English', 'ScotsIrishNorthern', 'Irish', 'Irish']"
Come September,"['Rock Hudson', ' Gina Lollobrigida', ' Bobby Darin', ' Sandra Dee']",['Rock Hudson'],"['German', 'SwissGerman25', 'English25', 'Irish']"
The Continental Twist,"['Louis Prima', ' June Wilkinson', ' Gertrude Michael']",['Louis Prima'],
Creature from the Haunted Sea,"['Antony Carbone', ' Betsy Jones-Moreland']",['Antony Carbone'],
Cry for Happy,"['Glenn Ford', "" Donald O'Connor"", ' James Shigeta']",['Glenn Ford'],"['English', 'Scottish', 'Irish', 'Dutch']"
