0,1,Males,Ethnicity
365 Nights in Hollywood,"['Alice Faye', ' Grant Mitchell', ' James Dunn']",['Grant Mitchell'],
6 Day Bike Rider,"['Joe E. Brown', ' Maxine Doyle', ' Frank McHugh']",['Joe E. Brown'],"['Welsh', 'English']"
Adventures of Texas Jack,"['Hal Taliaferro', ' Jay Wilsey', ' Victoria Vinton']",['Hal Taliaferro'],
The Affairs of Cellini,"['Constance Bennett', ' Fredric March', ' Fay Wray']",['Fredric March'],"['English', 'Scottish', 'Dutch', 'German', 'Belgian', 'Flemish', 'Norwegian']"
Affairs of a Gentleman,"['Paul Lukas', ' Leila Hyams', ' Patricia Ellis']",['Paul Lukas'],"['Ashkenazi', 'Jewish']"
Against the Law,"['Johnny Mack Brown', ' Sally Blane']",['Johnny Mack Brown'],
The Age of Innocence,"['Irene Dunne', ' John Boles', ' Helen Westley']",['John Boles'],
All Men Are Enemies,"['Helen Twelvetrees', ' Mona Barrie', ' Hugh Williams']",['Hugh Williams'],
All of Me,"['Fredric March', ' George Raft', ' Miriam Hopkins']",['Fredric March'],"['English', 'Scottish', 'Dutch', 'German', 'Belgian', 'Flemish', 'Norwegian']"
Among the Missing,"['Richard Cromwell', ' Billie Seward']",['Richard Cromwell'],
Anne of Green Gables,"['Anne Shirley', ' Helen Westley', ' O. P. Heggie']",[],
Are We Civilized?,"['Frank McGlynn', ' William Farnum', ' Anita Louise']",['Frank McGlynn'],
As Husbands Go,"['Warner Baxter', ' Helen Vinson']",['Warner Baxter'],['English']
As the Earth Turns,"['Donald Woods', ' Jean Muir', ' Dorothy Peterson']",['Donald Woods'],
Babbitt,"['Aline MacMahon', ' Guy Kibbee']",['Guy Kibbee'],
Babes in Toyland,"['Stan Laurel', ' Oliver Hardy', ' Charlotte Henry']",['Stan Laurel'],['English']
Baby Take a Bow,"['Shirley Temple', ' Claire Trevor', ' James Dunn']",['James Dunn'],"['English', 'Irish']"
Bachelor Bait,"['Stuart Erwin', ' Rochelle Hudson', ' Grady Sutton']",['Stuart Erwin'],
Bachelor of Arts,"['Anita Louise', ' Mae Marsh']",[],
The Band Plays On,"['Robert Young', ' Stuart Erwin']",['Robert Young'],
The Barrets of Wimpole Street,"['Norma Shearer', ' Fredric March', ' Charles Laughton']",['Fredric March'],"['English', 'Scottish', 'Dutch', 'German', 'Belgian', 'Flemish', 'Norwegian']"
The Beast of Borneo,"['Eugene Sigaloff', ' Mae Stuart', '']",['Eugene Sigaloff'],
Bedside,"['Warren William', ' Jean Muir', ' Allen Jenkins']",['Warren William'],
Beggars in Ermine,"['Lionel Atwill', ' Jameson Thomas', ' Betty Furness']",['Lionel Atwill'],
Behold My Wife!,"['Sylvia Sidney', ' Ann Sheridan', ' H. B. Warner']",[],
Belle of the Nineties,"['Mae West', ' Johnny Mack Brown', ' Katherine DeMille']",['Johnny Mack Brown'],
Beloved,"['John Boles', ' Gloria Stuart', ' Morgan Farley']",['John Boles'],
Beyond the Law,"['Tim McCoy', ' Shirley Grey']",['Tim McCoy'],
The Big Shakedown,"['Bette Davis', ' Ricardo Cortez', ' Allen Jenkins']",['Ricardo Cortez'],"['Ashkenazi', 'Jewish']"
The Black Cat,"['Boris Karloff', ' Bela Lugosi', ' David Manners']",['Boris Karloff'],"['English', 'Indian']"
Black Moon,"['Fay Wray', ' Dorothy Burgess', ' Jack Holt']",['Jack Holt'],
Blind Date,"['Ann Sothern', ' Neil Hamilton', ' Paul Kelly']",['Neil Hamilton'],
Blue Steel,"['John Wayne', ' Eleanor Hunt']",['John Wayne'],"['English', 'ScotsIrishNorthern', 'Irish', 'Irish']"
Bolero,"['George Raft', ' Carole Lombard', ' Sally Rand']",['George Raft'],['German']
Bombay Mail,"['Edmund Lowe', ' Ralph Forbes', ' Shirley Grey']",['Edmund Lowe'],
The Border Menace,"['Bill Cody', ' George Chesebro']",['Bill Cody'],
Border Guns,"['Bill Cody', ' Blanche Mehaffey']",['Bill Cody'],
Born to be Bad,"['Loretta Young', ' Cary Grant', ' Marion Burns']",[],
Boss Cowboy,"['Buddy Roosevelt', ' Frances Morris']",['Buddy Roosevelt'],
Bottoms Up,"['Spencer Tracy', ' John Boles', ' Pat Paterson']",['Spencer Tracy'],['English']
Bright Eyes,"['Shirley Temple', ' James Dunn', ' Lois Wilson']",['James Dunn'],"['English', 'Irish']"
British Agent,"['Leslie Howard', ' Kay Francis', ' Cesar Romero']",['Cesar Romero'],"['Cuban', 'Venezuelan', 'Spanish']"
Broadway Bill,"['Myrna Loy', ' Warner Baxter', ' Walter Connolly']",['Warner Baxter'],['English']
Bulldog Drummond Strikes Back,"['Ronald Colman', ' Loretta Young', ' Charles Butterworth']",['Ronald Colman'],"['English', 'Scottish']"
By Your Leave,"['Frank Morgan', ' Genevieve Tobin', ' Neil Hamilton']",['Frank Morgan'],
Call It Luck,"['Pat Paterson', ' Herbert Mundin']",['Herbert Mundin'],
The Captain Hates the Sea,"['Victor McLaglen', ' Alison Skipworth', ' John Gilbert']",['Victor McLaglen'],"['Afrikaner', 'Dutch', 'German', 'Irish', 'Scottish', 'English']"
Caravan,"['Charles Boyer', ' Loretta Young', ' Jean Parker']",['Charles Boyer'],['French']
Carolina,"['Janet Gaynor', ' Lionel Barrymore', ' Henrietta Crosman']",['Lionel Barrymore'],"['English', 'Irish']"
The Case of the Howling Dog,"['Warren William', ' Mary Astor']",['Warren William'],
The Cat and the Fiddle,"['Ramon Novarro', ' Jeanette MacDonald']",['Ramon Novarro'],['Mexican']
The Cat's-Paw,"['Harold Lloyd', ' Una Merkel']",['Harold Lloyd'],
Chained,"['Joan Crawford', ' Clark Gable', ' Otto Kruger']",['Clark Gable'],"['German', 'Irish', 'SwissGerman', 'Belgian']"
Change of Heart,"['Janet Gaynor', ' James Dunn', ' Ginger Rogers']",['James Dunn'],"['English', 'Irish']"
Charlie Chan in London,"['Warner Oland', ' Mona Barrie', ' Ray Milland']",['Warner Oland'],
Charlie Chan's Courage,"['Warner Oland', ' Drue Leyton', ' Donald Woods']",['Warner Oland'],
Cheaters,"['William Boyd', ' June Collyer']",['William Boyd'],
Cheating Cheaters,"['Fay Wray', ' Cesar Romero']",['Cesar Romero'],"['Cuban', 'Venezuelan', 'Spanish']"
The Circus Clown,"['Joe E. Brown', ' Patricia Ellis']",['Joe E. Brown'],"['Welsh', 'English']"
City Limits,"['Frank Craven', ' Sally Blane', ' Claude Gillingwater']",['Frank Craven'],
City Park,"['Sally Blane', ' Matty Kemp']",[],
Cleopatra,"['Claudette Colbert', ' Warren William', ' Henry Wilcoxon']",['Warren William'],
Cockeyed Cavaliers,"['Bert Wheeler', ' Robert Woolsey', ' Thelma Todd']",['Bert Wheeler'],
College Rhythm,"['Jack Oakie', ' Joe Penner']",['Jack Oakie'],
Come On Marines!,"['Richard Arlen', ' Ida Lupino']",['Richard Arlen'],
Coming Out Party,"['Frances Dee', ' Gene Raymond', ' Nigel Bruce']",['Gene Raymond'],
The Count of Monte Cristo,"['Robert Donat', ' Elissa Landi', ' Louis Calhern']",['Robert Donat'],"['Polish', 'English', 'French', 'German']"
The Countess of Monte Cristo,"['Fay Wray', ' Paul Lukas']",['Paul Lukas'],"['Ashkenazi', 'Jewish']"
The Crime Doctor,"['Otto Kruger', ' Karen Morley']",['Otto Kruger'],
The Crime of Helen Stanley,"['Ralph Bellamy', ' Shirley Grey', ' Gail Patrick']",['Ralph Bellamy'],['English']
Crime Without Passion,"['Claude Rains', ' Margo']",['Claude Rains'],['English']
Crimson Romance,"['Ben Lyon', ' Sari Maritza', ' Erich von Stroheim']",['Ben Lyon'],"['Ashkenazi', 'Jewish25', 'Austrian25', 'Slovak']"
The Crosby Case,"['Wynne Gibson', ' Onslow Stevens']",['Onslow Stevens'],
Cross Country Cruise,"['Lew Ayres', ' June Knight', ' Alice White']",['Lew Ayres'],
