0,1,Males,Ethnicity
200 Motels,"['Frank Zappa', ' Ringo Starr', ' Theodore Bikel']",['Frank Zappa'],"['Italian', 'Sicilian', 'Neapolitan']"
The Anderson Tapes,"['Sean Connery', ' Dyan Cannon', ' Christopher Walken', ' Martin Balsam', ' Alan King']",['Sean Connery'],"['Scottish', 'Irish']"
The Andromeda Strain,"['Arthur Hill', ' James Olson', ' Kate Reid', ' David Wayne', ' Paula Kelly']",['Arthur Hill'],
Bananas,"['Woody Allen', ' Louise Lasser', ' Carlos Montalbán']",['Woody Allen'],"['Ashkenazi', 'Jewish']"
The Barefoot Executive,"['Kurt Russell', ' Joe Flynn']",['Kurt Russell'],"['English', 'German', 'Scottish', 'Irish']"
The Battle of Love's Return,"['Lloyd Kaufman', ' Lynn Lowry', ' Oliver Stone']",['Lloyd Kaufman'],
Bedknobs and Broomsticks,"['Angela Lansbury', ' David Tomlinson']",['David Tomlinson'],
Been Down So Long It Looks Like Up to Me,"['Barry Primus', ' David Downing', ' Susan Tyrrell']",['Barry Primus'],
The Beguiled,"['Clint Eastwood', ' Geraldine Page', ' Elizabeth Hartman', ' Darlene Carr', ' Jo Ann Harris']",['Clint Eastwood'],"['English', 'Scottish', 'Irish', 'German', 'Dutch', 'Welsh']"
Believe in Me,"['Michael Sarrazin', ' Jacqueline Bisset']",['Michael Sarrazin'],
The Big Doll House,"['Roberta Collins', ' Pam Grier']",[],
Big Jake,"['John Wayne', "" Maureen O'Hara"", ' Richard Boone']",['John Wayne'],"['English', 'ScotsIrishNorthern', 'Irish', 'Irish']"
Billy Jack,"['Tom Laughlin', ' Delores Taylor', ' Kenneth Tobey', ' Howard Hesseman']",['Tom Laughlin'],"['Irish', 'Scottish', 'English', 'German']"
Black Noon,"['Roy Thinnes', ' Yvette Mimieux']",['Roy Thinnes'],
Bless the Beasts and Children,"['Bill Mumy', ' Barry Robins', ' Miles Chapin']",['Bill Mumy'],
Blood and Lace,"['Gloria Grahame', ' Melody Patterson']",[],
Blood Thirst,"['Robert Winston', ' Yvonne Nielson', ' Judy Dennis']",['Robert Winston'],
Born to Win,"['George Segal', ' Paula Prentiss', ' Karen Black']",['George Segal'],"['Ashkenazi', 'Jewish']"
Boys in the Sand,"['Casey Donovan', ' Peter Fisk', ' Danny Di Cioccio']",['Peter Fisk'],
The Boy Friend,"['Twiggy', ' Christopher Gable', ' Max Adrian']",['Christopher Gable'],
Brian's Song,"['James Caan', ' Billy Dee Williams', ' Shelley Fabares', ' Jack Warden']",['James Caan'],"['Ashkenazi', 'Jewish']"
The Bridge in the Jungle,"['John Huston', ' Katy Jurado', ' Charles Robinson']",['John Huston'],"['ScotsIrishNorthern', 'Irish', 'English', 'Scottish', 'German', 'Portuguese']"
Brother John,"['Sidney Poitier', ' Will Geer', ' Bradford Dillman']",['Will Geer'],
B.S. I Love You,"['Peter Kastner', ' Joanna Cameron', ' Louise Sorel']",['Peter Kastner'],
Bunny O'Hare,"['Bette Davis', ' Ernest Borgnine', ' Jack Cassidy']",['Ernest Borgnine'],['Italian']
Cain's Cutthroats,"['John Carradine', ' Scott Brady', ' Don Epperson']",['John Carradine'],
Carnal Knowledge,"['Jack Nicholson', ' Ann-Margret', ' Art Garfunkel', ' Candice Bergen', ' Rita Moreno']",['Jack Nicholson'],"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
Chandler,"['Warren Oates', ' Leslie Caron', ' Alex Dreier']",['Warren Oates'],"['English', 'German', 'ScotsIrish', 'Northern', 'Irish']"
Catlow,"['Yul Brynner', ' Richard Crenna', ' Leonard Nimoy']",['Yul Brynner'],"['Russian25', 'SwissGerman']"
The Christian Licorice Store,"['Beau Bridges', ' Maud Adams', ' Gilbert Roland']",['Beau Bridges'],"['English', 'ScotsIrishNorthern', 'Irish', 'Irish', 'SwissGerman', 'German']"
Chrome and Hot Leather,"['William Smith', ' Kathrine Baumann', ' Marvin Gaye']",['William Smith'],
City Beneath the Sea,"['Stuart Whitman', ' Rosemary Forsyth', ' Robert Colbert']",['Stuart Whitman'],"['Ashkenazi', 'Jewish']"
Clay Pigeon,"['Telly Savalas', ' Robert Vaughn', ' Burgess Meredith']",['Telly Savalas'],['Greek']
Cold Turkey,"['Dick Van Dyke', ' Bob Newhart', ' Pippa Scott']",['Dick Van Dyke'],"['English', 'Scottish', 'German', 'SwissGerman', 'Dutch']"
Cry Uncle!,"['Allen Garfield', ' Marcia Jean Kurtz', ' Debbi Morgan']",['Allen Garfield'],
Day of the Wolves,"['Richard Egan', ' Martha Hyer', ' Jan Murray']",['Richard Egan'],
The Deserter,"['Bekim Fehmiu', ' John Huston', ' Richard Crenna', ' Ricardo Montalbán', ' Chuck Connors']",['Bekim Fehmiu'],
Diamonds Are Forever,"['Sean Connery', ' Charles Gray', ' Jill St. John']",['Sean Connery'],"['Scottish', 'Irish']"
Desperate Characters,"['Shirley MacLaine', ' Kenneth Mars', ' Sada Thompson']",['Kenneth Mars'],
Dirty Harry,"['Clint Eastwood', ' Andrew Robinson', ' Reni Santoni', ' Harry Guardino', ' John Vernon']",['Clint Eastwood'],"['English', 'Scottish', 'Irish', 'German', 'Dutch', 'Welsh']"
Doc,"['Stacy Keach', ' Faye Dunaway', ' Harris Yulin']",['Harris Yulin'],
Doctors' Wives,"['Dyan Cannon', ' Richard Crenna', ' Gene Hackman']",['Richard Crenna'],['Italian']
Dollars,"['Warren Beatty', ' Goldie Hawn', ' Gert Fröbe']",['Warren Beatty'],"['English', 'Scottish', 'Irish', 'French', 'Danish', 'Dutch']"
Dracula vs. Frankenstein,"['Lon Chaney', ' Jr.', ' J. Carrol Naish', ' Regina Carrol']",['Lon Chaney'],"['English', 'French', 'German', 'Irish']"
"Drive, He Said","['William Tepper', ' Karen Black', ' Bruce Dern']",['William Tepper'],
Duel,"['Dennis Weaver', ' Jacqueline Scott', ' Carey Loftin']",['Dennis Weaver'],
Escape from the Planet of the Apes,"['Roddy McDowall', ' Kim Hunter', ' Sal Mineo']",['Roddy McDowall'],"['English', 'Irish']"
Evel Knievel,"['George Hamilton', ' Sue Lyon', ' Bert Freed']",['George Hamilton'],
Fiddler on the Roof,"['Topol', ' Norma Crane', ' Molly Picon', ' Paul Mann', ' Leonard Frey', ' Rosalind Harris', ' Michele Marsh']",['Paul Mann'],
Fools' Parade,"['James Stewart', ' Kurt Russell', ' George Kennedy']",['James Stewart'],"['ScotsIrishNorthern', 'Irish', 'Scottish', 'Irish', 'English']"
Four Rode Out,"['Sue Lyon', ' Leslie Nielsen', ' María Martín']",[],
