0,1,Males,Ethnicity
"The Woman in Black 2: Angel of Death
",['Phoebe Fox\nJeremy Irvine\nHelen McCrory\nAdrian Rawlins\nNed Dennehy\n\n'],[],
"
",['Olivier Megaton\n'],['Olivier Megaton\\n'],
"20th Century Fox
","[""Let's Kill Ward's Wife""]",[],
Comedy,['[12]\n'],[],
Stephen Belber,['Drama'],[],
"16
",['Michael Mann'],['Michael Mann'],"['Ashkenazi', 'Jewish']"
Universal Pictures,['Little Accidents'],[],
Drama,['[15]\n'],[],
"Ben Whishaw
Hugh Bonneville
Sally Hawkins
Madeleine Harris
Samuel Joslin
Julie Walters
Nicole Kidman

",['StudioCanal\n'],[],
Sean McNamara,['Drama'],[],
The Wedding Ringer,['Kevin HartJosh GadOlivia ThirlbyKaley CuocoAlan Ritchson'],['Kevin HartJosh GadOlivia ThirlbyKaley CuocoAlan Ritchson'],
"[17]
",['Brian A. Miller'],['Brian A. Miller'],
Lions Gate Entertainment,['20\n'],[],
Sarah Michelle GellarJonathan TuckerErika ChristensenMelissa Leo,['Entertainment OneBased on the novel of the same name'],[],
The Boy Next Door,['Jennifer LopezRyan GuzmanKristin ChenowethHill Harper'],[],
"[20]
",['Barry Levinson'],['Barry Levinson'],"['Ashkenazi', 'Jewish']"
Millennium FilmsBased on the novel of the same name by Philip Roth,['Mortdecai'],[],
Comedy,['[22]\n'],[],
Anne HathawayMary SteenburgenCrystal LonnebergStefano Villabona,['Cinedigm'],[],
Gary Rydstrom,['AnimationFantasy'],[],
We'll Never Have Paris,['Simon HelbergMelanie LynskeyMaggie GraceZachary Quinto'],['Simon HelbergMelanie LynskeyMaggie GraceZachary Quinto'],
"[25]
",['Black or White'],['Black or White'],
Drama,['[26]\n'],[],
"Karl Urban
Wentworth Miller
James Marsden

",['Open Road Films\n'],[],
Dean Israelite,['Thriller'],[],
Wild Card,['Jason StathamMichael AngaranoStanley TucciSofia Vergara'],['Jason StathamMichael AngaranoStanley TucciSofia Vergara'],
"[28]
",['6\n'],[],
Wes BentleyVincent PiazzaAmber Tamblyn,['Monterey Media'],[],
Victor Teran,['Thriller'],[],
Jupiter Ascending,['Channing TatumMila KunisSean BeanEddie Redmayne'],[],
"[31]
",['Christian Ditter\n'],['Christian Ditter\\n'],
"Lionsgate
",['Seventh Son'],[],
Fantasy,['[32]\n'],[],
Antonio BanderasTom KennyClancy BrownRodger Bumpass,['Paramount Pictures'],[],
Marjane Satrapi,['Comedy'],[],
"10
",['David O. Russell'],['David O. Russell'],"['Jewish', 'Italian']"
Millennium Entertainment,['13\n'],[],
Felicia PearsonZaraah AbrahamsElvis NolascoSteven Hauck,['Gravitas Ventures'],[],
Sam Taylor-Johnson,['RomanceThriller'],[],
Kingsman: The Secret Service,['Samuel L. JacksonColin FirthTaron EgertonMark Strong'],['Samuel L. JacksonColin FirthTaron EgertonMark Strong'],
"[38]
",['Richard LaGravenese'],['Richard LaGravenese'],
The Weinstein CompanyBased on the novel of the same name by Jason Robert Brown,['20\n'],[],
Mae WhitmanRobbie AmellBella ThorneBianca A. Santos,['Lions Gate EntertainmentBased on the novel of the same name by Kody Keplinger'],[],
Steve Pink,['Comedy'],[],
"McFarland, USA",['Kevin CostnerMaria BelloMorgan SaylorCarlos Pratts'],['Kevin CostnerMaria BelloMorgan SaylorCarlos Pratts'],
"[42]
",['Everly'],[],
Thriller,['[43]\n'],[],
Will SmithMargot RobbieRodrigo Santoro,['Warner Bros.'],['Warner Bros.'],
David Gelb,['Thriller'],[],
Maps to the Stars,['Julianne MooreMia WasikowskaJohn CusackRobert Pattinson'],[],
"[46]
",['Lluís Quílez'],['Lluís Quílez'],
Vertical Entertainment,['MARCH\n'],[],
Craig Moss,['Action'],[],
Chappie,['Sharlto CopleyDev PatelWatkin Tudor JonesYolandi Visser'],[],
"[49]
",['Adam Carolla'],['Adam Carolla'],['Irish']
FilmBuff,['The Second Best Exotic Marigold Hotel\n'],['The Second Best Exotic Marigold Hotel\\n'],
"Comedy-drama
",['\n'],[],
Vince VaughnDave FrancoSienna MillerNick Frost,['20th Century Fox'],[],
Cinderella,['Lily James Richard MaddenCate BlanchettHelena Bonham CarterHolliday Grainger'],[],
"[52]
",['Tom McCarthy'],['Tom McCarthy'],
Image Entertainment,['Cymbeline'],[],
Crime,['[54]\n'],[],
Patrick WilsonKatherine HeiglJordana BrewsterJim Belushi,['Vertical Entertainment'],[],
David Robert Mitchell,['Horror'],[],
Muck,['Kane HodderJaclyn SwedbergLachlan BuchananBryce Draper'],['Kane HodderJaclyn SwedbergLachlan BuchananBryce Draper'],
"[57]
",['Jaume Collet-Serra'],[],
Warner Bros.,['20\n'],[],
Al PacinoJennifer GarnerAnnette BeningBobby Cannavale,['Bleecker Films'],[],
Robert Schwentke,['Action'],[],
Do You Believe,['Ted McGinleyMira SorvinoLee MajorsSean AstinBrian Bosworth'],['Ted McGinleyMira SorvinoLee MajorsSean AstinBrian Bosworth'],
"[61]
",['Pierre Morel'],['Pierre Morel'],
Open Road FilmsBased on the novel The Prone Gunman by Jean-Patrick Manchette,['Tracers'],['Tracers'],
Action,['[63]\n'],[],
Dave SheridanTim OgletreeJoey OglesbySophie Taylor,['ARC Entertainment'],['ARC Entertainment'],
Etan Cohen,['Comedy'],[],
Home,['RihannaJim ParsonsJennifer LopezSteve Martin'],[],
"[66]
",['Susanne Bier'],[],
Magnolia PicturesBased on the novel of the same name by Ron Rash,"[""While We're Young""]",[],
Comedy-drama,['[68]\n'],[],
"APRIL
",['James Wan'],['James Wan'],"['Chinese', 'Malaysian']"
Universal PicturesSequel to Fast & Furious 6 (2013),['Woman in Gold'],[],
Drama,['[70]\n'],[],
"Domhnall Gleeson
Alicia Vikander
Oscar Isaac

",['A24\n'],[],
"George Tillman, Jr.",['Drama'],[],
Lost River,['Christina HendricksEva MendesSaoirse Ronan'],[],
"[72]
",['Garin Hovannisian'],['Garin Hovannisian'],
Bloodvine Media,['Alex of Venice'],['Alex of Venice'],
Drama,['[74]\n'],[],
Michael DouglasJeremy IrvineRonny Cox,['Lions Gate EntertainmentBased on the novel Deathwatch by Robb White'],[],
Daniel Espinosa,['Thriller'],[],
"Monkey Kingdom
",['Tina Fey\n'],[],
"
",['Andy Fickman'],['Andy Fickman'],
Columbia PicturesSequel to Paul Blart: Mall Cop (2009),['The Road Within'],['The Road Within'],
Drama,['[78]\n'],[],
Jonah HillJames FrancoFelicity JonesGretchen Mol,['Fox Searchlight PicturesBased on the memoir of the same name by Michael Finkel'],['Fox Searchlight PicturesBased on the memoir of the same name by Michael Finkel'],
Levan Gabriadze,['Horror'],[],
Adult Beginners,['Nick KrollRose ByrneBobby CannavaleJoel McHale'],['Nick KrollRose ByrneBobby CannavaleJoel McHale'],
"[81]
",['Patrik-Ian Polk'],[],
RLJ EntertainmentBased on the novel of the same name by Larry Duplechan,['Brotherly Love'],[],
Drama,['[83]\n'],[],
Seann William ScottOlivia ThirlbyGarret DillahuntKyle Gallner,['Anchor Bay Films'],['Anchor Bay Films'],
Alejandro Gómez Monteverde,['War'],['War'],"['Mexican', 'German']"
The Age of Adaline,['Blake LivelyHarrison FordMichiel Huisman'],['Blake LivelyHarrison FordMichiel Huisman'],
"[22]
",['Avengers: Age of Ultron'],[],
Action,['[86]\n'],[],
Carey MulliganMatthias SchoenaertsMichael SheenTom Sturridge,['Fox Searchlight PicturesBased on the novel of the same name by Thomas Hardy'],['Fox Searchlight PicturesBased on the novel of the same name by Thomas Hardy'],
"Jarrad Paul
Andrew Mogel

",['Comedy-drama\n'],[],
"Hot Pursuit
",['Reese Witherspoon\nSofía Vergara\n\n'],[],
"
",['Henry Hobson'],['Henry Hobson'],
Lionsgate,['Mad Max: Fury Road\n'],[],
"Action
",['\n'],[],
