0,1,Males,Ethnicity
13 Rue Madeleine,"['James Cagney', ' Richard Conte', ' Annabella']",['James Cagney'],"['Irish25', 'Norwegian']"
Adventure Island,"['Rhonda Fleming', ' Rory Calhoun']",[],
The Adventures of Don Coyote,"['Richard Martin', ' Frances Rafferty']",['Richard Martin'],
Along the Oregon Trail,"['Monte Hale', ' Lorna Gray']",['Monte Hale'],
Always Together,"['Joyce Reynolds', ' Robert Hutton']",['Robert Hutton'],
Angel and the Badman,"['John Wayne', ' Gail Russell']",['John Wayne'],"['English', 'ScotsIrishNorthern', 'Irish', 'Irish']"
Apache Rose,"['Roy Rogers', ' Dale Evans']",['Roy Rogers'],
The Arnelo Affair,"['John Hodiak', ' Frances Gifford']",['John Hodiak'],['Polish']
The Bachelor and the Bobby-Soxer,"['Cary Grant', ' Shirley Temple', ' Myrna Loy']",[],
Backlash,"['Jean Rogers', ' Richard Travis']",['Richard Travis'],
Bandits of Dark Canyon,"['Allan Lane', ' Bob Steele']",['Allan Lane'],
Banjo,"['Sharyn Moffett', ' Walter Reed']",['Walter Reed'],
Beat the Band,['Frances Langford'],[],
The Beginning or the End,"['Brian Donlevy', ' Hume Cronyn', ' Beverly Tyler']",['Brian Donlevy'],"['Northern', 'Irish']"
Bells of San Angelo,"['Roy Rogers', ' Dale Evans']",['Roy Rogers'],
Bells of San Fernando,"['Gloria Warren', ' Donald Woods']",['Donald Woods'],
The Big Fix,"['Sheila Ryan', ' Regis Toomey']",['Regis Toomey'],
Big Town,"['Phillip Reed', ' Hillary Brooke']",['Phillip Reed'],
Big Town After Dark,"['Phillip Reed', ' Hillary Brooke']",['Phillip Reed'],
The Bishop's Wife,"['Cary Grant', ' David Niven', ' Loretta Young']",['David Niven'],"['English', 'Scottish', 'French']"
Black Gold,"['Anthony Quinn', ' Katherine DeMille']",['Anthony Quinn'],"['Irish75', 'Mexican', 'Spanish', 'Indigenous']"
Black Hills,"['Eddie Dean', ' Shirley Patterson']",['Eddie Dean'],
Blackmail,"['Ricardo Cortez', ' Adele Mara']",['Ricardo Cortez'],"['Ashkenazi', 'Jewish']"
Blaze of Noon,"['Anne Baxter', ' William Holden', ' Sonny Tufts']",['William Holden'],"['English', 'Irish', 'French']"
Blind Spot,"['Chester Morris', ' Constance Dowling']",['Chester Morris'],
Blonde Savage,"['Leif Erickson', ' Gale Sherwood', ' Veda Ann Borg']",['Leif Erickson'],
Blondie's Anniversary,"['Penny Singleton', ' Arthur Lake']",['Arthur Lake'],
Blondie's Big Moment,"['Penny Singleton', ' Arthur Lake']",['Arthur Lake'],
Blondie's Holiday,"['Penny Singleton', ' Arthur Lake']",['Arthur Lake'],
Blondie in the Dough,"['Penny Singleton', ' Arthur Lake']",['Arthur Lake'],
Body and Soul,"['John Garfield', ' Lilli Palmer']",['John Garfield'],"['Ashkenazi', 'Jewish']"
Boomerang,"['Dana Andrews', ' Jane Wyatt']",[],
