0,1,Males,Ethnicity
…First Do No Harm,"['Meryl Streep', ' Fred Ward']",['Fred Ward'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Welsh']"
12 Angry Men,"['Jack Lemmon', ' George C. Scott', ' James Gandolfini', ' Ossie Davis', ' William Petersen', ' Hume Cronyn', ' Edward James Olmos', ' Courtney B. Vance', ' Mykelti Williamson', ' Dorian Harewood', ' Armin Mueller-Stahl', ' Tony Danza']",['Jack Lemmon'],"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
"20,000 Leagues Under the Sea","['Ben Cross', ' Richard Crenna']",['Ben Cross'],['Irish']
"20,000 Leagues Under the Sea","['Michael Caine', ' Patrick Dempsey']",['Michael Caine'],"['English', 'Irish']"
4 Little Girls,[''],[],
8 Heads in a Duffel Bag,"['Joe Pesci', ' Andy Comeau', ' Kristy Swanson', ' David Spade', ' Dyan Cannon', ' George Hamilton']",['Joe Pesci'],['Italian']
Aberration,['Pamela Gidley'],[],
Absolute Power,"['Clint Eastwood', ' Gene Hackman', ' Ed Harris', ' Laura Linney', ' Judy Davis', ' Scott Glenn', ' E. G. Marshall', ' Dennis Haysbert', ' Melora Hardin', ' Richard Jenkins']",['Clint Eastwood'],"['English', 'Scottish', 'Irish', 'German', 'Dutch', 'Welsh']"
Addicted to Love,"['Meg Ryan', ' Matthew Broderick', ' Kelly Preston', ' Tchéky Karyo']",['Matthew Broderick'],"['English', 'Ashkenazi', 'Jewish']"
Afterglow,"['Nick Nolte', ' Julie Christie', ' Lara Flynn Boyle', ' Jonny Lee Miller']",['Nick Nolte'],"['German', 'English', 'Scottish', 'Northern', 'Irish', 'ScotsIrish', 'SwissGerman']"
Against the Law,"['Nancy Allen', ' Nick Mancuso']",['Nick Mancuso'],['Italian']
Air Force One,"['Harrison Ford', ' Gary Oldman', ' Glenn Close', ' Wendy Crewson', ' Dean Stockwell', ' William H. Macy', ' Paul Guilfoyle', ' Liesel Matthews', ' Xander Berkeley']",['Harrison Ford'],"['Irish', 'German', 'Ashkenazi', 'Jewish']"
The Alarmist,"['David Arquette', ' Kate Capshaw', ' Stanley Tucci']",['David Arquette'],"['English', 'FrenchCanadian', 'SwissGerman', 'German', 'Scottish', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
Alaska: Spirit of the Wild,['Alaska'],[],
Albino Alligator,"['Matt Dillon', ' Faye Dunaway', ' Gary Sinise', ' Joe Mantegna']",['Matt Dillon'],"['Irish125', 'German', 'Scottish', 'Irish']"
Alien Resurrection,"['Sigourney Weaver', ' Winona Ryder', ' Ron Perlman', ' Dan Hedaya', ' J.E. Freeman', ' Brad Dourif', ' Michael Wincott']",['Ron Perlman'],"['Ashkenazi', 'Jewish']"
Alien Nation: The Udara Legacy,['Gary Graham'],['Gary Graham'],
All Over Me,"['Alison Folland', ' Tara Subkoff']",[],
American Perfekt,"['Fairuza Balk', ' Robert Forster', ' Amanda Plummer']",['Robert Forster'],"['Irish', 'Italian']"
An Alan Smithee Film: Burn Hollywood Burn,"[""Ryan O'Neal"", ' Eric Idle', ' Coolio']",['Eric Idle'],
An American Werewolf in Paris,"['Tom Everett Scott', ' Julie Delpy', ' Vince Vieluf', ' Julie Bowen']",['Tom Everett Scott'],"['English', 'Scottish', 'German', 'Irish']"
Amistad,"['Morgan Freeman', ' Anthony Hopkins', ' Djimon Hounsou', ' Matthew McConaughey', ' Stellan Skarsgård', ' Anna Paquin']",['Anthony Hopkins'],"['Welsh', 'English']"
Anaconda,"['Jennifer Lopez', ' Jon Voight', ' Ice Cube', ' Eric Stoltz', ' Owen Wilson', ' Jonathan Hyde', ' Kari Wührer']",['Jon Voight'],['German']
Anastasia,"['Meg Ryan', ' John Cusack', ' Kelsey Grammer', ' Hank Azaria', ' Christopher Lloyd', ' Angela Lansbury (voices)']",['John Cusack'],['Irish']
Angels in the Endzone,"['Christopher Lloyd', ' Paul Dooley']",['Christopher Lloyd'],"['English', 'French', 'Welsh']"
Anna Karenina,"['Sophie Marceau', ' Sean Bean']",['Sean Bean'],['English']
Anthem to Beauty,['Grateful Dead'],[],
The Apostle,"['Robert Duvall', ' Miranda Richardson', ' Farrah Fawcett', ' Billy Bob Thornton']",['Robert Duvall'],"['English', 'German', 'SwissGerman', 'French', 'Welsh', 'Scottish']"
As Good as It Gets,"['Jack Nicholson', ' Helen Hunt', ' Greg Kinnear', ' Cuba Gooding', ' Jr.', ' Skeet Ulrich', ' Shirley Knight']",['Jack Nicholson'],"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
The Assignment,"['Aidan Quinn', ' Ben Kingsley']",['Aidan Quinn'],['Irish']
Asteroid,"['Michael Biehn', ' Annabella Sciorra', ' Zachary Charles', ' Don Franklin', ' Carlos Gómez', ' Michael Weatherly', ' Anne-Marie Johnson']",['Michael Biehn'],"['German', 'English', 'Irish', 'Scottish', 'Bohemian', 'Czech', 'Welsh']"
Austin Powers: International Man of Mystery,"['Mike Myers', ' Elizabeth Hurley', ' Michael York', ' Robert Wagner', ' Seth Green', ' Mindy Sterling', ' Mimi Rogers']",['Mike Myers'],"['English', 'Welsh']"
B*A*P*S,"['Halle Berry', ' Martin Landau', ' Natalie Deselle-Reid']",['Martin Landau'],"['Ashkenazi', 'Jewish']"
Back in Business,"['Brian Bosworth', ' Joe Torry']",['Brian Bosworth'],
Bang,"['Darling Narita', ' Peter Greene']",['Peter Greene'],
Batman & Robin,"['Arnold Schwarzenegger', ' George Clooney', "" Chris O'Donnell"", ' Uma Thurman', ' Alicia Silverstone', ' John Glover', ' Elle Macpherson']",['Arnold Schwarzenegger'],['Austrian']
Bean,"['Rowan Atkinson', ' Peter MacNicol', ' Pamela Reed', ' Harris Yulin', ' Burt Reynolds']",['Peter MacNicol'],"['Norwegian', 'FrenchCanadian', 'Irish', 'Austrian', 'German', 'English', 'Dutch', 'ScotsIrish', 'Northern', 'Irish']"
The Beautician and the Beast,"['Fran Drescher', ' Timothy Dalton']",['Timothy Dalton'],['English']
Beauty and the Beast: The Enchanted Christmas,[''],[],
Below Utopia,"['Alyssa Milano', ' Ice-T']",[],
The Best Bad Thing,"['Lana McKissick', ' Robert Ito']",['Robert Ito'],[]
Best Men,"['Fred Ward', ' Drew Barrymore']",['Fred Ward'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Welsh']"
A Better Place,['Elon Bailey'],[],
Beverly Hills Ninja,"['Chris Farley', ' Nicollette Sheridan', ' Robin Shou', ' Nathaniel Parker', ' Chris Rock']",['Nathaniel Parker'],
The Big One,['Michael Moore'],['Michael Moore'],"['Irish', 'English', 'Scottish']"
Black Scorpion II: Aftershock,"['Joan Severance', ' Whip Hubley']",['Whip Hubley'],
The Blood Oranges,['Sheryl Lee'],[],
Bloodsport III,"['Daniel Bernhardt', ' John Rhys-Davies']",['Daniel Bernhardt'],
Bongwater,"['Luke Wilson', ' Jack Black', ' Alicia Witt']",['Luke Wilson'],['Irish']
Boogie Boy,"['Traci Lords', ' Frederic Forrest', ' Joan Jett']",['Frederic Forrest'],
Boogie Nights,"['Mark Wahlberg', ' Burt Reynolds', ' Julianne Moore', ' John C. Reilly', ' Don Cheadle', ' Philip Seymour Hoffman', ' Heather Graham', ' Thomas Jane', ' William H. Macy']",['Mark Wahlberg'],"['Irish25', 'Swedish625', 'English625', 'FrenchCanadian3125', 'Scottish']"
Booty Call,"['Jamie Foxx', ' Tommy Davidson', ' Vivica A. Fox', ' Tamala Jones']",['Tommy Davidson'],
The Boxer,"['Daniel Day-Lewis', ' Emily Watson']",['Daniel Day-Lewis'],"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
Boys Life 2,"[""Vincent D'Onofrio"", ' Mary Beth Hurt']",[],
