0,1,Males,Ethnicity
48 Hrs.,"['Nick Nolte', ' Eddie Murphy', "" Annette O'Toole"", ' James Remar', ' David Patrick Kelly']",['Nick Nolte'],"['German', 'English', 'Scottish', 'Northern', 'Irish', 'ScotsIrish', 'SwissGerman']"
Airplane II: The Sequel,"['Robert Hays', ' Julie Hagerty', ' Lloyd Bridges', ' Chad Everett', ' William Shatner', ' Rip Torn', '  Sonny Bono']",['Robert Hays'],
Alone in the Dark,"['Jack Palance', ' Donald Pleasence']",['Jack Palance'],"['Ukrainian', 'Polish']"
Amityville II: The Possession,"['James Olson', ' Burt Young', ' Rutanya Alda']",['James Olson'],
Android,"['Klaus Kinski', ' Brie Howard']",['Klaus Kinski'],
Annie,"['Aileen Quinn', ' Albert Finney', ' Carol Burnett', ' Tim Curry', ' Bernadette Peters', ' Ann Reinking', ' Geoffrey Holder', ' Edward Herrmann']",['Albert Finney'],
The Atomic Cafe,['Dwight D. Eisenhower'],['Dwight D. Eisenhower'],"['German', 'SwissGerman', 'English']"
Author! Author!,"['Al Pacino', ' Dyan Cannon', ' Tuesday Weld']",['Al Pacino'],"['Italian', 'Sicilian', 'Neapolitan']"
Barbarosa,"['Willie Nelson', ' Gary Busey', ' Isela Vega']",['Gary Busey'],
Basket Case,['Kevin Van Hentenryck'],['Kevin Van Hentenryck'],
The Beach Girls,"['Jeana Tomasino', ' Debra Blee']",[],
The Beast Within,"['Ronny Cox', ' Bibi Besch', ' L.Q. Jones']",['Ronny Cox'],
The Beastmaster,"['Marc Singer', ' Tanya Roberts']",['Marc Singer'],"['Jewish', 'English', 'Scottish', 'German', 'Judaism']"
Best Friends,"['Burt Reynolds', ' Goldie Hawn', ' Jessica Tandy', ' Barnard Hughes', ' Ron Silver']",['Burt Reynolds'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Dutch']"
The Best Little Whorehouse in Texas,"['Dolly Parton', ' Burt Reynolds', ' Charles Durning', ' Dom DeLuise', ' Jim Nabors']",['Burt Reynolds'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Dutch']"
Blade Runner,"['Harrison Ford', ' Rutger Hauer', ' Sean Young', '  Daryl Hannah', ' William Sanderson', ' Joanna Cassidy', ' Brion James', ' Joe Turkel']",['Harrison Ford'],"['Irish', 'German', 'Ashkenazi', 'Jewish']"
The Border,"['Jack Nicholson', ' Valerie Perrine', ' Harvey Keitel', ' Warren Oates']",['Jack Nicholson'],"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,"['Mel Blanc', ' June Foray']",['Mel Blanc'],
Burden of Dreams,"['Werner Herzog', ' Claudia Cardinale', ' Mick Jagger']",['Werner Herzog'],
Butterfly,"['Pia Zadora', ' Ed McMahon', ' Orson Welles', ' Lois Nettleton', ' June Lockhart']",['Ed McMahon'],
Cannery Row,"['Nick Nolte', ' Debra Winger']",['Nick Nolte'],"['German', 'English', 'Scottish', 'Northern', 'Irish', 'ScotsIrish', 'SwissGerman']"
Cat People,"['Nastassja Kinski', ' Malcolm McDowell', "" Annette O'Toole"", ' John Heard']",['Malcolm McDowell'],"['English', 'Scottish', 'Irish']"
Chan Is Missing,"['Wood Moy', ' Marc Hayashi']",['Wood Moy'],
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean","['Cher', ' Sandy Dennis', ' Karen Black']",[],
Comeback,"['Animals', ' Eric Burdon']",['Eric Burdon'],"['English', 'Irish']"
Conan the Barbarian ,"['Arnold Schwarzenegger', ' James Earl Jones', ' Mako']",['Arnold Schwarzenegger'],['Austrian']
The Concrete Jungle,"['Jill St. John', ' Tracey E. Bregman']",[],
Creepshow,"['Hal Holbrook', ' Adrienne Barbeau', ' E. G. Marshall', ' Ted Danson', ' Fritz Weaver', ' Leslie Nielsen', ' Stephen King']",['Hal Holbrook'],['English']
