0,1,Males,Ethnicity
84C MoPic,"['Jonathan Emerson', ' Nicholas Cascone']",['Jonathan Emerson'],
The Abyss,"['Ed Harris', ' Mary Elizabeth Mastrantonio', ' Michael Biehn']",['Ed Harris'],"['English', 'German', 'Scottish', 'Welsh']"
After Midnight,"['Marg Helgenberger', ' Marc McClure']",['Marc McClure'],
Alienator,"['Jan-Michael Vincent', ' John Phillip Law']",['Jan-Michael Vincent'],
Alien Seed,['Erik Estrada'],['Erik Estrada'],[]
All Dogs Go to Heaven,"['Burt Reynolds', ' Dom DeLuise', ' Judith Barsi', ' Vic Tayback']",['Burt Reynolds'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Dutch']"
Always,"['Richard Dreyfuss', ' Holly Hunter', ' John Goodman', ' Brad Johnson', ' Audrey Hepburn']",['Richard Dreyfuss'],"['Ashkenazi', 'Jewish']"
American Ninja 3: Blood Hunt,"['David Bradley', ' Steve James', ' Marjoe Gortner']",['David Bradley'],
Amityville 4: The Evil Escapes,"['Patty Duke', ' Jane Wyatt', ' Fredric Lehne']",['Fredric Lehne'],
Arena,"['Paul Satterfield', ' Hamilton Camp']",['Paul Satterfield'],
Back to the Future Part II,"['Michael J. Fox', ' Christopher Lloyd', ' Lea Thompson']",['Michael J. Fox'],"['Irish', 'English', 'Scottish']"
Batman,"['Michael Keaton', ' Jack Nicholson', ' Kim Basinger', ' Robert Wuhl', ' Jack Palance', ' Billy Dee Williams']",['Michael Keaton'],"['English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'Irish']"
"Bert Rigby, You're a Fool","['Robert Lindsay', ' Robbie Coltrane', ' Anne Bancroft']",['Robert Lindsay'],
Best of the Best,"['Eric Roberts', ' James Earl Jones', ' Sally Kirkland']",['Eric Roberts'],"['English', 'German', 'Swedish', 'Irish', 'Scottish', 'Welsh', 'French']"
Beverly Hills Brats,"['Peter Billingsley', ' Martin Sheen']",['Peter Billingsley'],
Beyond the Stars,"['Christian Slater', ' Martin Sheen']",['Christian Slater'],"['German', 'Irish', 'English', 'Welsh', 'Dutch', 'Scottish']"
The Big Picture,"['Kevin Bacon', ' Martin Short', ' Teri Hatcher', ' J. T. Walsh', ' Michael McKean', ' Jennifer Jason Leigh']",['Kevin Bacon'],"['English', 'German', 'Irish']"
Bill & Ted's Excellent Adventure,"['Keanu Reeves', ' Alex Winter', ' George Carlin']",['Keanu Reeves'],"['Native', 'Hawaiian', 'Portuguese', 'English', 'Scottish', 'Chinese', 'Dutch', 'English']"
Black Rain,"['Michael Douglas', ' Andy García', ' Ken Takakura', ' Kate Capshaw']",['Michael Douglas'],"['Ashkenazi', 'Jewish', 'English', 'Irish', 'Welsh', 'Dutch', 'Scottish', 'Belgian', 'French']"
Blaze,"['Paul Newman', ' Lolita Davidovich']",['Paul Newman'],"['Jewish', 'Slovak']"
Blind Fury,"['Rutger Hauer', "" Terry O'Quinn""]",['Rutger Hauer'],['Dutch']
Bloodhounds of Broadway,"['Matt Dillon', ' Jennifer Grey', ' Julie Hagerty', ' Rutger Hauer', ' Madonna', ' Esai Morales', ' Anita Morris', ' Randy Quaid']",['Matt Dillon'],"['Irish125', 'German', 'Scottish', 'Irish']"
Born on the Fourth of July,"['Tom Cruise', ' Kyra Sedgwick', ' Willem Dafoe']",['Tom Cruise'],"['German4375', 'Irish125', 'English', 'Welsh']"
Breaking In,"['Burt Reynolds', ' Casey Siemaszko']",['Burt Reynolds'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Dutch']"
Bridesmaids,"['Shelley Hack', ' Sela Ward']",[],
The 'Burbs,"['Tom Hanks', ' Bruce Dern', ' Carrie Fisher', ' Rick Ducommun', ' Corey Feldman']",['Tom Hanks'],"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
C.H.U.D. II: Bud the C.H.U.D.,"['Brian Robbins', ' Tricia Leigh Fisher', ' Bianca Jagger']",['Brian Robbins'],"['Ashkenazi', 'Jewish']"
Cameron's Closet,"['Scott Curtis', ' Cotter Smith', ' Tab Hunter']",['Scott Curtis'],
