0,1,Males,Ethnicity
$10 Raise,"['Edward Everett Horton', ' Karen Morley']",['Edward Everett Horton'],"['German', 'Scottish']"
"1,000 Dollars a Minute","['Leila Hyams', ' Edward Brophy']",['Edward Brophy'],
Accent on Youth,"['Sylvia Sidney', ' Herbert Marshall']",['Herbert Marshall'],
The Affair of Susan,"['ZaSu Pitts', "" Hugh O'Connell""]",[],
After Office Hours,"['Constance Bennett', ' Clark Gable', ' Billie Burke']",['Clark Gable'],"['German', 'Irish', 'SwissGerman', 'Belgian']"
After the Dance,"['Nancy Carroll', ' George Murphy', ' Thelma Todd']",['George Murphy'],['Irish']
Age of Indiscretion,"['Paul Lukas', ' Madge Evans', ' Helen Vinson']",['Paul Lukas'],"['Ashkenazi', 'Jewish']"
"Ah, Wilderness!","['Wallace Beery', ' Lionel Barrymore', ' Mickey Rooney']",['Wallace Beery'],"['GermanEnglish', 'Irish', 'Scottish', 'SwissGerman']"
Air Hawks,"['Ralph Bellamy', ' Tala Birell', ' Douglass Dumbrille']",['Ralph Bellamy'],['English']
Alias Mary Dow,"['Sally Eilers', ' Ray Milland']",['Ray Milland'],['Welsh']
Alibi Ike,"['Joe E. Brown', ' Olivia de Havilland']",['Joe E. Brown'],"['Welsh', 'English']"
Alice Adams,"['Katharine Hepburn', ' Fred MacMurray', ' Evelyn Venable']",['Fred MacMurray'],['German']
All the King's Horses,"['Carl Brisson', ' Mary Ellis', ' Edward Everett Horton']",['Carl Brisson'],
Anna Karenina,"['Greta Garbo', ' Fredric March', "" Maureen O'Sullivan""]",['Fredric March'],"['English', 'Scottish', 'Dutch', 'German', 'Belgian', 'Flemish', 'Norwegian']"
Annapolis Farewell,"['Guy Standing', ' Richard Cromwell']",['Guy Standing'],
Annie Oakley,"['Barbara Stanwyck', ' Melvyn Douglas', ' Preston Foster']",['Melvyn Douglas'],"['Jewish', 'English', 'Scottish']"
Another Face,"['Wallace Ford', ' Brian Donlevy', ' Phyllis Brooks']",['Wallace Ford'],
The Arizonian,"['Richard Dix', ' Margot Grahame', ' Preston Foster', ' Louis Calhern']",['Richard Dix'],
Atlantic Adventure,"['Nancy Carroll', ' Lloyd Nolan']",['Lloyd Nolan'],
The Awakening of Jim Burke,"[' Jack Holt', ' Florence Rice']",['Jack Holt'],
Baby Face Harrington,"['Charles Butterworth', ' Una Merkel', ' Nat Pendleton']",['Charles Butterworth'],
Bad Boy,"['James Dunn', ' Dorothy Wilson']",['James Dunn'],"['English', 'Irish']"
Bar 20 Rides Again,"['William Boyd', ' Jean Rouverol']",['William Boyd'],
Barbary Coast,"['Edward G. Robinson', ' Miriam Hopkins', ' Joel McCrea']",['Edward G. Robinson'],"['Ashkenazi', 'Jewish']"
Becky Sharp,"['Miriam Hopkins', ' Cedric Hardwicke', ' Frances Dee']",['Cedric Hardwicke'],
Behind the Evidence,"['Norman Foster', ' Sheila Bromley']",['Norman Foster'],
Behind the Green Lights,"['Norman Foster', ' Judith Allen']",['Norman Foster'],
The Best Man Wins,"['Edmund Lowe', ' Jack Holt', ' Bela Lugosi']",['Edmund Lowe'],
The Big Broadcast of 1936,"['George Burns', ' Gracie Allen', ' Ethel Merman']",['George Burns'],"['Ashkenazi', 'Jewish']"
Biography of a Bachelor Girl,"['Ann Harding', ' Robert Montgomery', ' Edward Arnold']",['Robert Montgomery'],
The Bishop Misbehaves,"['Edmund Gwenn', "" Maureen O'Sullivan""]",['Edmund Gwenn'],['English']
Black Fury,"['Paul Muni', ' Karen Morley', ' Barton MacLane']",['Paul Muni'],"['Ashkenazi', 'Jewish']"
The Black Room,['Boris Karloff'],['Boris Karloff'],"['English', 'Indian']"
Black Sheep,"['Edmund Lowe', ' Claire Trevor']",['Edmund Lowe'],
Bonnie Scotland,"['Stan Laurel', ' Oliver Hardy', ' June Lang']",['Stan Laurel'],['English']
Bordertown,"['Paul Muni', ' Bette Davis', ' Margaret Lindsay']",['Paul Muni'],"['Ashkenazi', 'Jewish']"
Border Brigands,"['Buck Jones', ' Lona Andre']",['Buck Jones'],
Born to Battle,"['Tom Tyler', ' Jean Carmen']",['Tom Tyler'],
Born to Gamble,"['Onslow Stevens', ' H. B. Warner', ' Maxine Doyle']",['Onslow Stevens'],
Break of Hearts,"['Katharine Hepburn', ' Charles Boyer']",['Charles Boyer'],['French']
The Bride Comes Home,"['Claudette Colbert', ' Fred MacMurray', ' Robert Young']",['Fred MacMurray'],['German']
Bride of Frankenstein,"['Boris Karloff', ' Elsa Lanchester', ' Colin Clive']",['Boris Karloff'],"['English', 'Indian']"
Bright Lights,"['Joe E. Brown', ' Ann Dvorak', ' Patricia Ellis']",['Joe E. Brown'],"['Welsh', 'English']"
Broadway Gondolier,"['Dick Powell', ' Joan Blondell', ' Adolphe Menjou']",['Dick Powell'],
Broadway Hostess,"['Winifred Shaw', ' Genevieve Tobin', ' Lyle Talbot']",['Lyle Talbot'],
Broadway Melody of 1936,"['Eleanor Powell', ' Robert Taylor', ' Jack Benny']",['Robert Taylor'],
The Call of the Wild,"['Clark Gable', ' Loretta Young', ' Jack Oakie']",['Clark Gable'],"['German', 'Irish', 'SwissGerman', 'Belgian']"
Calling All Cars,"['Jack La Rue', ' Lillian Miles']",['Jack La Rue'],
The Calling of Dan Matthews,"['Richard Arlen', ' Charlotte Wynters', ' Donald Cook']",['Richard Arlen'],
Calm Yourself,"['Robert Young', ' Madge Evans']",['Robert Young'],
Cappy Ricks Returns,"['Robert McWade', ' Ray Walker']",['Robert McWade'],
Captain Blood,"['Errol Flynn', ' Olivia de Havilland', ' Lionel Atwill']",['Errol Flynn'],"['Irish', 'Scottish', 'English']"
Captain Hurricane,"['James Barton', ' Helen Westley', ' Gene Lockhart']",['James Barton'],
Car 99,"['Fred MacMurray', ' Ann Sheridan', ' Guy Standing']",['Fred MacMurray'],['German']
Cardinal Richelieu,"['George Arliss', "" Maureen O'Sullivan"", ' Cesar Romero']",['George Arliss'],['English']
Carnival,"['Jimmy Durante', ' Lee Tracy', ' Sally Eilers']",['Jimmy Durante'],['Italian']
The Case of the Curious Bride,"['Warren William', ' Claire Dodd', ' Allen Jenkins']",['Warren William'],
The Case of the Lucky Legs,"['Warren William', ' Genevieve Tobin', ' Patricia Ellis']",['Warren William'],
Case of the Missing Man,"['Roger Pryor', ' Joan Perry']",['Roger Pryor'],
The Casino Murder Case,"['Paul Lukas', ' Alison Skipworth', ' Rosalind Russell']",['Paul Lukas'],"['Ashkenazi', 'Jewish']"
