0,1,Males,Ethnicity
A-Haunting We Will Go,"['Stan Laurel', ' Oliver Hardy', ' Dante the Magician', ' Sheila Ryan']",['Stan Laurel'],['English']
Across the Pacific,"['Humphrey Bogart', ' Mary Astor', ' Sydney Greenstreet', ' Charles Halton']",['Humphrey Bogart'],"['English', 'Dutch', 'German', 'French', 'Belgian', 'Walloon', 'Welsh']"
The Adventures of Martin Eden,"['Glenn Ford', ' Claire Trevor', ' Evelyn Keyes']",['Glenn Ford'],"['English', 'Scottish', 'Irish', 'Dutch']"
The Affairs of Jimmy Valentine,"[""Dennis O'Keefe"", ' Ruth Terry', ' Gloria Dickson']",[],
The Affairs of Martha,"['Marsha Hunt', ' Richard Carlson']",['Richard Carlson'],
Alias Boston Blackie,"['Chester Morris', ' Adele Mara', ' George E. Stone']",['Chester Morris'],
All Through the Night,"['Humphrey Bogart', ' Conrad Veidt', ' Kaaren Verne']",['Humphrey Bogart'],"['English', 'Dutch', 'German', 'French', 'Belgian', 'Walloon', 'Welsh']"
Almost Married,"['Jane Frazee', ' Robert Paige', ' Eugene Pallette']",['Robert Paige'],
Along the Sundown Trail,"['Bill Boyd', ' Lee Powell', ' Julie Duncan']",['Bill Boyd'],
Always in My Heart,"['Kay Francis', ' Walter Huston', ' Gloria Warren']",['Walter Huston'],"['ScotsIrishNorthern', 'Irish', 'Scottish']"
American Empire,"['Richard Dix', ' Leo Carrillo', ' Preston Foster', ' Frances Gifford']",['Richard Dix'],
Andy Hardy's Double Life,"['Lewis Stone', ' Mickey Rooney', ' Fay Holden']",['Lewis Stone'],
Apache Trail,"['Lloyd Nolan', ' Donna Reed', ' Ann Ayars']",['Lloyd Nolan'],
Arabian Nights,"['Maria Montez', ' Jon Hall', ' Sabu']",['Jon Hall'],
Are Husbands Necessary?,"['Ray Milland', ' Betty Field', ' Patricia Morison']",['Ray Milland'],['Welsh']
Arizona Roundup,"['Tom Keene', ' Frank Yaconelli']",['Tom Keene'],
Arizona Stage Coach,"['Ray Corrigan', ' Max Terhune', "" Nell O'Day""]",['Ray Corrigan'],
Arizona Terrors,"['Don ""Red"" Barry', ' Lynn Merrick']","['Don ""Red"" Barry']",
Army Surgeon,"['Jane Wyatt', ' James Ellison', ' Kent Taylor']",['James Ellison'],['English']
Atlantic Convoy,"['Bruce Bennett', ' Virginia Field', ' Larry Parks', ' Lloyd Bridges']",['Bruce Bennett'],
Baby Face Morgan,"['Mary Carlisle', ' Richard Cromwell', ' Robert Armstrong']",['Richard Cromwell'],
Bad Men of the Hills,"['Charles Starrett', ' Russell Hayden', ' Luana Walters']",['Charles Starrett'],
Bambi,[''],[],
Bandit Ranger,"['Tim Holt', ' Joan Barclay']",['Tim Holt'],
The Bashful Bachelor,"['Lum and Abner', ' ZaSu Pitts']",['Lum and Abner'],
Behind the Eight Ball,"['Carol Bruce', ' Dick Foran']",['Dick Foran'],
Bells of Capistrano,"['Gene Autry', ' Virginia Grey']",['Gene Autry'],
Below the Border,"['Buck Jones', ' Tim McCoy', ' Raymond Hatton']",['Buck Jones'],
Berlin Correspondent,"['Virginia Gilmore', ' Dana Andrews', ' Mona Maris']",[],
Between Us Girls,"['Diana Barrymore', ' Robert Cummings', ' Kay Francis']",['Robert Cummings'],"['German', 'English', 'Irish']"
Beyond the Blue Horizon,"['Dorothy Lamour', ' Richard Denning', ' Patricia Morison']",['Richard Denning'],
The Big Shot,"['Humphrey Bogart', ' Irene Manning']",['Humphrey Bogart'],"['English', 'Dutch', 'German', 'French', 'Belgian', 'Walloon', 'Welsh']"
The Big Street,"['Henry Fonda', ' Lucille Ball', ' Barton MacLane']",['Henry Fonda'],"['Dutch', 'English', 'Scottish', 'Norwegian', 'German', 'Italian']"
Billy the Kid's Smoking Guns,"['Buster Crabbe', ' Al St. John', ' Joan Barclay']",['Buster Crabbe'],
Billy the Kid Trapped,"['Buster Crabbe', ' Anne Jeffreys']",['Buster Crabbe'],
Black Dragons,"['Bela Lugosi', ' Joan Barclay', ' Robert Frazer']",['Robert Frazer'],
The Black Swan,"['Tyrone Power', "" Maureen O'Hara"", ' Laird Cregar']",['Tyrone Power'],"['Irish', 'English', 'German', 'FrenchCanadian', 'French', 'Huguenot']"
Blondie's Blessed Event,"['Penny Singleton', ' Arthur Lake', ' Jonathan Hale']",['Arthur Lake'],
Blondie Goes to College,"['Penny Singleton', ' Arthur Lake', ' Janet Blair']",['Arthur Lake'],
Blondie for Victory,"['Penny Singleton', ' Arthur Lake', ' Stuart Erwin']",['Arthur Lake'],
"Blue, White and Perfect","['Lloyd Nolan', ' Mary Beth Hughes', ' Helene Reynolds']",['Lloyd Nolan'],
Bombay Clipper,"['William Gargan', ' Maria Montez', ' Irene Hervey']",['William Gargan'],
Bombs Over Burma,"['Anna May Wong', ' Noel Madison']",[],
The Boogie Man Will Get You,['Boris Karloff'],['Boris Karloff'],"['English', 'Indian']"
Boot Hill Bandits,"['Ray Corrigan', ' Max Terhune', ' Jean Brooks']",['Ray Corrigan'],
Border Roundup,"['George F. Houston', ' Dennis Moore']",['George F. Houston'],
Born to Sing,"['Virginia Weidler', ' Douglas McPhail']",['Douglas McPhail'],
The Boss of Big Town,"['Florence Rice', ' John Litel', ' H. B. Warner']",['John Litel'],
Boss of Hangtown Mesa,"['Johnny Mack Brown', ' Fuzzy Knight', ' William Farnum']",['Johnny Mack Brown'],
Boston Blackie Goes Hollywood,"['Chester Morris', ' Constance Worth']",['Chester Morris'],
Bowery at Midnight,"['Bela Lugosi', ' John Archer', ' Wanda McKay']",['John Archer'],
Broadway,"['George Raft', "" Pat O'Brien"", ' Janet Blair']",['George Raft'],['German']
Broadway Big Shot,"['Ralph Byrd', ' Virginia Vale', ' Herbert Rawlinson']",['Ralph Byrd'],
Brooklyn Orchid,"['William Bendix', ' Grace Bradley']",['William Bendix'],
The Bugle Sounds,"['Wallace Beery', ' Marjorie Main', ' Donna Reed']",['Wallace Beery'],"['GermanEnglish', 'Irish', 'Scottish', 'SwissGerman']"
Bullet Scars,"['Regis Toomey', ' Howard Da Silva', ' Adele Longmire']",['Regis Toomey'],
Bullets for Bandits,"['Tex Ritter', ' Wild Bill Elliott']",['Tex Ritter'],
Busses Roar,"['Richard Travis', ' Julie Bishop', ' Eleanor Parker']",['Richard Travis'],
Butch Minds the Baby,"['Virginia Bruce', ' Broderick Crawford', ' Dick Foran']",['Broderick Crawford'],['German']
Cadet Girl,"['Carole Landis', ' George Montgomery']",['George Montgomery'],['Ukrainian']
Cadets on Parade,"['Freddie Bartholomew', ' Jimmy Lydon', ' Raymond Hatton']",['Jimmy Lydon'],
Cairo,"['Jeanette MacDonald', ' Robert Young', ' Lionel Atwill']",['Robert Young'],
Call of the Canyon,"['Gene Autry', ' Ruth Terry']",['Gene Autry'],
Call Out the Marines,"['Victor McLaglen', ' Edmund Lowe', ' Binnie Barnes']",['Victor McLaglen'],"['Afrikaner', 'Dutch', 'German', 'Irish', 'Scottish', 'English']"
Calling Dr. Gillespie,"['Lionel Barrymore', ' Donna Reed']",['Lionel Barrymore'],"['English', 'Irish']"
Canal Zone,"['Chester Morris', ' Harriet Nelson', ' Larry Parks']",['Chester Morris'],
Captains of the Clouds,"['James Cagney', ' Dennis Morgan', ' Brenda Marshall']",['James Cagney'],"['Irish25', 'Norwegian']"
"Careful, Soft Shoulder","['Virginia Bruce', ' James Ellison', ' Sheila Ryan']",['James Ellison'],['English']
Casablanca,"['Humphrey Bogart', ' Ingrid Bergman', ' Claude Rains', ' Paul Henreid', ' Dooley Wilson', ' Peter Lorre']",['Humphrey Bogart'],"['English', 'Dutch', 'German', 'French', 'Belgian', 'Walloon', 'Welsh']"
Castle in the Desert,"['Sidney Toler', ' Arleen Whelan']",[],
Cat People,"['Simone Simon', ' Kent Smith', ' Jane Randolph']",['Kent Smith'],
China Girl,"['Gene Tierney', ' George Montgomery', ' Lynn Bari']",['Gene Tierney'],"['Irish', 'English', 'Dutch', 'Sephardi', 'Jewish']"
City of Silent Men,"['Frank Albertson', ' June Lang', ' Jan Wiley']",['Frank Albertson'],
A Close Call for Ellery Queen,"['William Gargan', ' Margaret Lindsay', ' Kay Linaker']",['William Gargan'],
Code of the Outlaw,"['Bob Steele', ' Tom Tyler']",['Bob Steele'],
Come on Danger,"['Tim Holt', ' Ray Whitley']",['Tim Holt'],
Commandos Strike at Dawn,"['Paul Muni', ' Anna Lee', ' Lillian Gish']",['Paul Muni'],"['Ashkenazi', 'Jewish']"
The Corpse Vanishes,"['Bela Lugosi', ' Luana Walters']",[],
Counter-Espionage,"['Warren William', ' Forrest Tucker', ' Hillary Brooke']",['Warren William'],
The Courtship of Andy Hardy,"['Lewis Stone', ' Mickey Rooney', ' Cecilia Parker', ' Donna Reed']",['Lewis Stone'],
Cowboy Serenade,"['Gene Autry', ' Fay McKenzie']",['Gene Autry'],
Criminal Investigator,"['Robert Lowery', ' Edith Fellows', ' John Miljan']",['Robert Lowery'],
Crossroads,"['William Powell', ' Hedy Lamarr', ' Claire Trevor']",['William Powell'],
The Cyclone Kid,"['Don ""Red"" Barry', ' Lynn Merrick']","['Don ""Red"" Barry']",
Danger in the Pacific,"['Don Terry', ' Louise Allbritton']",['Don Terry'],
Daring Young Man,"['Joe E. Brown', ' Marguerite Chapman', ' William Wright']",['Joe E. Brown'],"['Welsh', 'English']"
A Date with the Falcon,"['George Sanders', ' Wendy Barrie', ' Allen Jenkins ']",['George Sanders'],"['English', 'Scottish', 'European', 'Royal', 'Russian']"
The Dawn Express,"['Michael Whalen', ' Anne Nagel', ' Constance Worth']",['Michael Whalen'],
Dawn on the Great Divide,"['Buck Jones', ' Mona Barrie', ' Raymond Hatton']",['Buck Jones'],
