0,1,Males,Ethnicity
Across the Great Divide,"['Robert Logan', ' Heather Rattray', ' George Buck Flower']",['Robert Logan'],
Alex and the Gypsy,"['Jack Lemmon', ' Geneviève Bujold', ' James Woods']",['Jack Lemmon'],"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
"Alice, Sweet Alice","['Linda Miller', ' Brooke Shields', ' Mildred Clinton']",[],
All the President's Men,"['Robert Redford', ' Dustin Hoffman', ' Jason Robards', ' Jack Warden', ' Hal Holbrook', ' Stephen Collins', ' Jane Alexander', ' Martin Balsam', ' Ned Beatty', ' Lindsay Crouse']",['Robert Redford'],"['English', 'Irish', 'Scottish', 'Northern', 'IrishScotsIrish', 'Cornish']"
Assault on Precinct 13,"['Austin Stoker', ' Darwin Joston', ' Charles Cyphers']",['Austin Stoker'],
At the Earth's Core,"['Doug McClure', ' Peter Cushing', ' Caroline Munro']",['Doug McClure'],
Baby Blue Marine,"['Jan-Michael Vincent', "" Glynnis O'Connor"", ' Katherine Helmond', ' Richard Gere']",['Jan-Michael Vincent'],
The Bad News Bears,"['Walter Matthau', "" Tatum O'Neal"", ' Chris Barnes', ' Jackie Earle Haley', ' Vic Morrow', ' Joyce Van Patten', ' Brandon Cruz']",['Walter Matthau'],"['Ashkenazi', 'Jewish']"
The Big Bus,"['Stockard Channing', ' Joseph Bologna', ' John Beck', ' Sally Kellerman', ' Richard Mulligan', ' Jose Ferrer', ' Murphy Dunne']",['Joseph Bologna'],
The Bingo Long Traveling All-Stars & Motor Kings,"['Billy Dee Williams', ' James Earl Jones', ' Richard Pryor']",['Billy Dee Williams'],['AfricanMontserratian']
Bittersweet Love,"['Lana Turner', ' Robert Lansing', ' Celeste Holm']",['Robert Lansing'],
Black Heat,"['Timothy Brown', ' Russ Tamblyn', ' Regina Carrol']",['Timothy Brown'],
Black Shampoo,"['John Daniels', ' Tanya Boyd', ' Skip E. Lowe']",['John Daniels'],
 The Blue Bird,"['Elizabeth Taylor', ' Jane Fonda', ' Cicely Tyson', ' Ava Gardner']",[],
Bobbie Jo and the Outlaw,"['Lynda Carter', ' Marjoe Gortner', ' Belinda Balaski']",['Marjoe Gortner'],
Bound for Glory,"['David Carradine', ' Ronny Cox', ' Melinda Dillon', ' Randy Quaid', ' Gail Strickland']",['David Carradine'],"['English', 'German', 'Scottish', 'Irish', 'Welsh', 'Dutch']"
Breaking Point,"['Bo Svenson', ' Robert Culp', ' John Colicos']",['Robert Culp'],
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson","['Paul Newman', ' Burt Lancaster', ' Harvey Keitel', ' Will Sampson', ' Joel Grey', ' Pat McCormick', ' Geraldine Chaplin']",['Paul Newman'],"['Jewish', 'Slovak']"
Burnt Offerings,"['Karen Black', ' Bette Davis', ' Oliver Reed']",['Oliver Reed'],"['English', 'German', 'Lithuanian', 'Dutch']"
Cannonball,"['David Carradine', ' Robert Carradine', ' Veronica Hamel']",['David Carradine'],"['English', 'German', 'Scottish', 'Irish', 'Welsh', 'Dutch']"
Car Wash,"['Antonio Fargas', ' Franklyn Ajaye', ' George Carlin']",['Antonio Fargas'],"['Puerto', 'Rican', 'AfricanTrinidadian']"
Carrie,"['Sissy Spacek', ' Piper Laurie', ' William Katt', ' Amy Irving', ' Betty Buckley', ' P.J. Soles', ' John Travolta']",['William Katt'],"['English', 'ScotsIrishNorthern', 'Irish']"
"Chesty Anderson, USN","['Shari Eubank', ' Fred Willard', ' Scatman Crothers']",['Fred Willard'],"['German', 'Scottish', 'English', 'French']"
Creature from Black Lake,"['Jack Elam', ' Dub Taylor', ' Dennis Fimple']",['Jack Elam'],
Death Journey,"['Fred Williamson', ' Emil Farkas', ' Sam Coppola']",['Fred Williamson'],['AfricanAmerican']
Deadly Hero,"['Don Murray', ' James Earl Jones', ' Lilia Skala']",['Don Murray'],
Diary of the Dead,"['Héctor Elizondo', ' Geraldine Fitzgerald', ' Salome Jens']",['Héctor Elizondo'],
Dixie Dynamite,"['Warren Oates', ' Christopher George', ' Stanley Adams']",['Warren Oates'],"['English', 'German', 'ScotsIrish', 'Northern', 'Irish']"
"Dr. Black, Mr. Hyde","['Bernie Casey', ' Rosalind Cash', ' Milt Kogan']",['Milt Kogan'],
Drive-In,"['Glenn Morshower', ' Trey Wilson', ' Ashley Cox']",['Glenn Morshower'],
Drum,"['Warren Oates', ' Ken Norton', ' Pam Grier']",['Warren Oates'],"['English', 'German', 'ScotsIrish', 'Northern', 'Irish']"
The Duchess and the Dirtwater Fox,"['Goldie Hawn', ' George Segal', ' Conrad Janis']",['George Segal'],"['Ashkenazi', 'Jewish']"
Eat My Dust,"['Ron Howard', ' Christopher Norris', ' Clint Howard']",['Ron Howard'],"['German', 'English', 'Scottish', 'Irish', 'Dutch']"
Echoes of a Summer,"['Jodie Foster', ' Richard Harris', ' Lois Nettleton']",['Richard Harris'],"['Irish', 'English']"
Embryo,"['Rock Hudson', ' Barbara Carrera', ' Diane Ladd']",['Rock Hudson'],"['German', 'SwissGerman25', 'English25', 'Irish']"
The Enforcer,"['Clint Eastwood', ' Tyne Daly', ' Bradford Dillman']",['Clint Eastwood'],"['English', 'Scottish', 'Irish', 'German', 'Dutch', 'Welsh']"
Escape from the Dark,"['Alastair Sim', ' Peter Barkworth', ' Maurice Colbourne']",['Alastair Sim'],
Family Plot,"['Karen Black', ' Bruce Dern', ' Barbara Harris', ' William Devane', ' Cathleen Nesbitt', ' Ed Lauter']",['Bruce Dern'],"['German', 'English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'Dutch', 'Welsh']"
Fighting Mad,"['Peter Fonda', ' Lynn Lowry', ' Philip Carey']",['Peter Fonda'],"['Dutch', 'English', 'Scottish', 'FrenchCanadian', 'Italian', 'German', 'Belgian', 'Flemish', 'Norwegian', 'Cornish']"
The First Nudie Musical,"['Cindy Williams', ' Diana Canova', ' Leslie Ackerman']",[],
The Food of the Gods,"['Marjoe Gortner', ' Pamela Franklin', ' Ida Lupino']",['Marjoe Gortner'],
Freaky Friday,"['Jodie Foster', ' Barbara Harris', ' John Astin']",['John Astin'],"['English', 'Scottish', 'Irish']"
From Noon till Three,"['Charles Bronson', ' Jill Ireland', ' Douglas Fowley ']",['Charles Bronson'],"['Lithuanian', 'Polish', 'Eastern', 'European']"
The Front,"['Woody Allen', ' Zero Mostel', ' Andrea Marcovicci', ' Herschel Bernardi', ' Michael Murphy']",['Woody Allen'],"['Ashkenazi', 'Jewish']"
Futureworld,"['Blythe Danner', ' Peter Fonda', ' Arthur Hill', ' Yul Brynner']",['Peter Fonda'],"['Dutch', 'English', 'Scottish', 'FrenchCanadian', 'Italian', 'German', 'Belgian', 'Flemish', 'Norwegian', 'Cornish']"
Gable and Lombard,"['James Brolin', ' Jill Clayburgh', ' Allen Garfield']",['James Brolin'],"['English', 'SwissGerman', 'German', 'Scottish', 'Irish']"
Gator,"['Burt Reynolds', ' Lauren Hutton', ' Jack Weston']",['Burt Reynolds'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Dutch']"
God Told Me To,"['Tony LoBianco', ' Sandy Dennis', ' Deborah Raffin']",['Tony LoBianco'],
The Great Scout & Cathouse Thursday,"['Lee Marvin', ' Oliver Reed', ' Robert Culp', ' Kay Lenz']",['Oliver Reed'],"['English', 'German', 'Lithuanian', 'Dutch']"
The Great Texas Dynamite Chase ,"['Claudia Jennings', ' Tara Strohmeier', ' Oliver Clark']",['Oliver Clark'],
Grizzly,"['Christopher George', ' Andrew Prine', ' Richard Jaeckel']",['Christopher George'],
The Gumball Rally,"['Gary Busey', ' Tim McIntire', ' Michael Sarrazin']",['Gary Busey'],
Gus,"['Edward Asner', ' Don Knotts', ' Tim Conway']",['Edward Asner'],
Harry and Walter Go to New York,"['James Caan', ' Elliott Gould', ' Diane Keaton']",['James Caan'],"['Ashkenazi', 'Jewish']"
Hawmps!,"['Slim Pickens', ' Denver Pyle', ' James Hampton']",['Slim Pickens'],
High Velocity,"['Ben Gazzara', ' Britt Ekland', ' Paul Winfield']",['Ben Gazzara'],"['Italian', 'Sicilian']"
Hollywood Boulevard,"['Mary Woronov', ' Dick Miller', ' Jeffrey Kramer']",['Dick Miller'],"['Ashkenazi', 'Jewish']"
Hollywood Man ,"['William Smith', ' Jennifer Billingsley', ' Mary Woronov']",['William Smith'],
Hot Potato,"['Jim Kelly', ' George Memmoli', ' Irene Tsu']",['Jim Kelly'],['AfricanAmerican']
The Human Tornado,"['Rudy Ray Moore', ' Ernie Hudson', ' Jack Kelly']",['Rudy Ray Moore'],
