0,1,Males,Ethnicity
101 Dalmatians,"['Glenn Close', ' Jeff Daniels', ' Joely Richardson', ' Joan Plowright']",['Glenn Close'],"['English', 'Scottish', 'German', 'Dutch', 'French', 'Welsh', 'SwissGerman']"
2 Days in the Valley,"['Danny Aiello', ' Jeff Daniels', ' James Spader', ' Charlize Theron', ' Teri Hatcher', ' Marsha Mason', ' Eric Stoltz']",['Danny Aiello'],['Italian']
Adrenalin: Fear the Rush,"['Christopher Lambert', ' Natasha Henstridge']",['Christopher Lambert'],"['Ashkenazi', 'Jewish', 'Sephardi', 'Jewish', 'Belgian', 'Flemish', 'Dutch', 'French', 'Italian']"
The Adventures of Pinocchio,"['Martin Landau', ' Jonathan Taylor Thomas', ' Udo Kier', ' Geneviève Bujold', ' Bebe Neuwirth', ' Rob Schneider', ' Corey Carrier']",['Martin Landau'],"['Ashkenazi', 'Jewish']"
Aladdin and the King of Thieves,"['Scott Weinger', ' Robin Williams', ' John Rhys-Davies']",['Scott Weinger'],"['Ashkenazi', 'Jewish']"
Alaska,"['Thora Birch', ' Vincent Kartheiser', ' Dirk Benedict', ' Charlton Heston']",['Vincent Kartheiser'],"['German', 'Polish', 'Finnish', 'Swedish', 'Luxembourgish']"
Alien Nation: Millennium,"['Gary Graham', ' Eric Pierpoint']",['Gary Graham'],
Alien Nation: The Enemy Within,"['Gary Graham', ' Eric Pierpoint', ' Michele Scarabelli']",['Gary Graham'],
All Dogs Go to Heaven 2,"['Ernest Borgnine', ' Bebe Neuwirth', ' Charlie Sheen', ' Dom DeLuise', ' Sheena Easton']",['Ernest Borgnine'],['Italian']
Amityville Dollhouse,"['Robin Thomas', ' Starr Andreeff', ' Allen Cutler']",['Allen Cutler'],
Andersonville,"['Frederic Forrest', ' Carmen Argenziano', ' Jayce Bartok']",['Frederic Forrest'],
The Arrival,"['Charlie Sheen', ' Lindsay Crouse', ' Richard Schiff']",['Richard Schiff'],"['Ashkenazi', 'Jewish']"
The Associate,"['Whoopi Goldberg', ' Dianne Wiest', ' Eli Wallach', ' Tim Daly']",['Eli Wallach'],"['Ashkenazi', 'Jewish']"
August,"['Anthony Hopkins', ' Rhys Ifans', ' Leslie Phillips']",['Anthony Hopkins'],"['Welsh', 'English']"
Back to Back,"['Michael Rooker', ' Danielle Harris', ' Ryo Ishibashi']",['Michael Rooker'],"['English', 'Irish', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
Bad Moon,"['Mariel Hemingway', ' Michael Paré', ' Mason Gamble']",['Michael Paré'],
Barb Wire,"['Pamela Anderson', ' Temuera Morrison', ' Victoria Rowell', ' Jack Noseworthy', ' Xander Berkeley', ' Udo Kier', ' Steve Railsback']",['Jack Noseworthy'],
Basquiat,"['Jeffrey Wright', ' David Bowie', ' Benicio del Toro']",['Jeffrey Wright'],['AfricanAmerican']
Bastard Out of Carolina,"['Jennifer Jason Leigh', ' Jena Malone']",[],
The Beast,"['William Petersen', ' Karen Sillas', ' Charles Martin Smith']",['William Petersen'],"['German', 'French', 'German']"
Beautiful Girls,"['Matt Dillon', ' Timothy Hutton', ' Michael Rapaport', ' Uma Thurman', ' Natalie Portman', ' Mira Sorvino', "" Rosie O'Donnell"", ' Lauren Holly', ' Martha Plimpton']",['Matt Dillon'],"['Irish125', 'German', 'Scottish', 'Irish']"
Beavis and Butt-Head Do America,"['Mike Judge', ' Demi Moore', ' Bruce Willis', ' Robert Stack', ' Cloris Leachman']",['Mike Judge'],"['Irish', 'Scottish', 'English', 'German', 'SwissGerman', 'Luxembourgian']"
Bed of Roses,"['Mary Stuart Masterson', ' Christian Slater']",['Christian Slater'],"['German', 'Irish', 'English', 'Welsh', 'Dutch', 'Scottish']"
Before and After,"['Meryl Streep', ' Liam Neeson', ' Edward Furlong', ' Alfred Molina']",['Liam Neeson'],['Irish']
Best of the Best 3: No Turning Back,"['Phillip Rhee', ' Christopher McDonald']",['Phillip Rhee'],
Big Bully,"['Rick Moranis', ' Tom Arnold', ' Julianne Phillips', ' Carol Kane']",['Rick Moranis'],"['Ashkenazi', 'Jewish']"
Big Night,"['Tony Shalhoub', ' Stanley Tucci', ' Isabella Rossellini', ' Minnie Driver', ' Ian Holm', ' Marc Anthony', ' Allison Janney', ' Liev Schreiber']",['Tony Shalhoub'],['Lebanese']
Bio-Dome,"['Pauly Shore', ' Stephen Baldwin', ' William Atherton', ' Joey Lauren Adams', ' Teresa Hill', ' Kylie Minogue']",['Pauly Shore'],
The Birdcage,"['Robin Williams', ' Nathan Lane', ' Gene Hackman', ' Dianne Wiest', ' Hank Azaria', ' Calista Flockhart', ' Dan Futterman']",['Nathan Lane'],['Irish']
Black Sheep,"['Chris Farley', ' David Spade', ' Gary Busey', ' Tim Matheson']",['David Spade'],"['German', 'English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'SwissGerman', 'Dutch']"
Black Sun,[''],[],
Blood Brothers,"['Bruce Springsteen', ' The E Street Band', ' Jon Landau']",['Bruce Springsteen'],"['Dutch', 'ItalianSicilian']"
Blood and Wine,"['Jack Nicholson', ' Jennifer Lopez', ' Stephen Dorff', ' Judy Davis', ' Michael Caine']",['Jack Nicholson'],"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
Bloodsport II: The Next Kumite,"['Daniel Bernhardt', ' Pat Morita']",['Daniel Bernhardt'],
Bottle Rocket,"['Luke Wilson', ' Owen Wilson', ' James Caan']",['Luke Wilson'],['Irish']
Bound,"['Gina Gershon', ' Jennifer Tilly', ' Joe Pantoliano']",['Joe Pantoliano'],['Italian']
Box of Moon Light,"['John Turturro', ' Sam Rockwell']",['John Turturro'],['Italian']
Boys,"['Winona Ryder', ' Lukas Haas']",['Lukas Haas'],"['English', 'German']"
The Boys Next Door,"['Matthew Modine', ' Nathan Lane', ' Courtney B. Vance', ' Mare Winningham']",['Matthew Modine'],"['English', 'Swedish', 'Scottish', 'German', 'Dutch']"
Brain Candy,"['Kevin McDonald', ' Scott Thompson']",['Kevin McDonald'],
Brassed Off,"['Ewan McGregor', ' Pete Postlethwaite', ' Tara Fitzgerald']",['Ewan McGregor'],"['Scottish', 'German']"
Breaking the Waves,"['Emily Watson', ' Stellan Skarsgård']",['Stellan Skarsgård'],
Broken Arrow,"['John Travolta', ' Christian Slater', ' Samantha Mathis', ' Delroy Lindo', ' Frank Whaley', ' Bob Gunton', ' Howie Long']",['John Travolta'],"['ItalianSicilian50', 'Irish']"
Bullet,"['Mickey Rourke', ' Tupac Shakur']",['Tupac Shakur'],"['AfricanAmerican', 'Tuareg']"
Bulletproof,"['Damon Wayans', ' Adam Sandler', ' James Caan', ' James Farentino', ' Kristen Wilson']",['Damon Wayans'],['AfricanAmerican']
Busted,"['Corey Feldman', ' Corey Haim', ' Dominick Brascia', ' Ava Fabian']",['Corey Feldman'],"['Ashkenazi', 'Jewish']"
Butch Camp,"['Judy Tenuta', ' Paul Denniston']",['Paul Denniston'],
