0,1,Males,Ethnicity
80 Steps to Jonah,"['Wayne Newton', ' Jo Van Fleet', ' Keenan Wynn']",['Wayne Newton'],"['English', 'Irish', 'Scottish', 'Welsh', 'German']"
100 Rifles,"['Burt Reynolds', ' Raquel Welch', ' Jim Brown']",['Burt Reynolds'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Dutch']"
2000 Years Later,"['Terry-Thomas', ' Edward Everett Horton', ' Lisa Seagram']",['Edward Everett Horton'],"['German', 'Scottish']"
Alice's Restaurant,"['Arlo Guthrie', ' Pat Quinn', ' William Obanhein']",['Arlo Guthrie'],
"Angel, Angel, Down We Go","['Jennifer Jones', ' Roddy McDowall', ' Holly Near']",['Roddy McDowall'],"['English', 'Irish']"
Angel in My Pocket,"['Andy Griffith', ' Lee Meriwether', ' Jerry Van Dyke']",['Andy Griffith'],"['English', 'Irish', 'German', 'French', 'Scottish', 'Welsh']"
The Appointment,"['Omar Sharif', ' Anouk Aimée', ' Didi Perego']",['Omar Sharif'],['Egyptian']
The April Fools,"['Jack Lemmon', ' Catherine Deneuve', ' Peter Lawford', ' Myrna Loy']",['Jack Lemmon'],"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
The Arrangement,"['Kirk Douglas', ' Faye Dunaway', ' Deborah Kerr']",['Kirk Douglas'],"['Ashkenazi', 'Jewish']"
The Big Bounce,"[""Ryan O'Neal"", ' Leigh Taylor-Young', ' Van Heflin']",['Van Heflin'],"['English', 'Irish', 'German', 'Dutch', 'French']"
The Big Cube,"['Lana Turner', ' Richard Egan', "" Dan O'Herlihy""]",['Richard Egan'],
Blood of Dracula's Castle,"['John Carradine', ' Paula Raymond', "" Alexander D'Arcy""]",['John Carradine'],
Blue Movie,"['Viva', ' Louis Waldon']",['Louis Waldon'],
Bob & Carol & Ted & Alice,"['Elliott Gould', ' Dyan Cannon', ' Natalie Wood', ' Robert Culp']",['Elliott Gould'],"['Ashkenazi', 'Jewish']"
A Boy Named Charlie Brown,"['Peter Robbins', ' Pamelyn Ferdin', ' Glenn Gilger', ' Erin Sullivan']",['Peter Robbins'],
The Bridge at Remagen,"['George Segal', ' Ben Gazzara', ' E. G. Marshall']",['George Segal'],"['Ashkenazi', 'Jewish']"
The Bushbaby,"['Lou Gossett', ' Donald Houston', ' Laurence Naismith']",['Donald Houston'],
Butch Cassidy and the Sundance Kid,"['Paul Newman', ' Robert Redford', ' Katharine Ross']",['Paul Newman'],"['Jewish', 'Slovak']"
Cactus Flower,"['Walter Matthau', ' Goldie Hawn', ' Ingrid Bergman']",['Walter Matthau'],"['Ashkenazi', 'Jewish']"
The Candy Man,"['George Sanders', ' Leslie Parrish', ' Manolo Fábregas']",['George Sanders'],"['English', 'Scottish', 'European', 'Royal', 'Russian']"
Castle Keep,"['Burt Lancaster', "" Patrick O'Neal"", ' Jean-Pierre Aumont', ' Bruce Dern', ' Peter Falk']",['Burt Lancaster'],"['Northern', 'Irish', 'ScotsIrish']"
