0,1,Males,Ethnicity
3:10 to Yuma,"['Glenn Ford', ' Van Heflin', ' Felicia Farr']",['Glenn Ford'],"['English', 'Scottish', 'Irish', 'Dutch']"
5 Steps to Danger,"['Ruth Roman', ' Sterling Hayden']",['Sterling Hayden'],
8 x 8,[''],[],
12 Angry Men,"['Lee J. Cobb', ' Henry Fonda']",['Henry Fonda'],"['Dutch', 'English', 'Scottish', 'Norwegian', 'German', 'Italian']"
20 Million Miles to Earth,"['William Hopper', ' Joan Taylor', ' Frank Puglia']",['William Hopper'],
The 27th Day,"['Gene Barry', ' Valerie French']",['Gene Barry'],"['Ashkenazi', 'Jewish']"
The Abductors,"['Victor McLaglen', ' George Macready', ' Fay Spain']",['Victor McLaglen'],"['Afrikaner', 'Dutch', 'German', 'Irish', 'Scottish', 'English']"
Action of the Tiger,"['Van Johnson', ' Martine Carol', ' Herbert Lom']",['Van Johnson'],"['German', 'Irish']"
Affair in Havana,"['John Cassavetes', ' Sara Shane', ' Raymond Burr']",['John Cassavetes'],
Affair in Reno,"['John Lund', ' Doris Singleton']",['John Lund'],"['Black', 'British']"
An Affair to Remember,"['Cary Grant', ' Deborah Kerr', ' Cathleen Nesbitt', ' Richard Denning']",['Richard Denning'],
Ali Baba Bunny,[''],[],
All Mine to Give,"['Glynis Johns', ' Cameron Mitchell', ' Patty McCormack']",['Cameron Mitchell'],
The Amazing Colossal Man,"['Glenn Langan', ' Cathy Downs']",['Glenn Langan'],
Apache Warrior,"['Keith Larsen', ' Jim Davis']",['Keith Larsen'],
Appointment with a Shadow,"['George Nader', ' Joanna Moore', ' Brian Keith', ' Virginia Field']",['George Nader'],
April Love,"['Pat Boone', ' Shirley Jones', "" Arthur O'Connell""]",[],
The Astounding She-Monster,"['Robert Clarke', ' Kenne Duncan']",['Robert Clarke'],
Attack of the Crab Monsters,"['Richard Garland', ' Pamela Duncan']",['Richard Garland'],
Baby Face Nelson,"['Mickey Rooney', ' Carolyn Jones', ' Cedric Hardwicke']",['Cedric Hardwicke'],
The Bachelor Party,"['Don Murray', ' Eddie Albert', ' Carolyn Jones']",['Don Murray'],
Back from the Dead,"['Peggie Castle', ' Marsha Hunt']",[],
Badlands of Montana,"['Rex Reason', ' Margia Dean', ' Beverly Garland']",['Rex Reason'],
"Bailout at 43,000","['John Payne', ' Karen Steele']",['John Payne'],
Band of Angels,"['Clark Gable', ' Sidney Poitier', ' Yvonne DeCarlo']",['Clark Gable'],"['German', 'Irish', 'SwissGerman', 'Belgian']"
Battle Hymn,"['Rock Hudson', ' Anna Kashfi', ' Dan Duryea']",['Rock Hudson'],"['German', 'SwissGerman25', 'English25', 'Irish']"
Bayou,"['Peter Graves', ' Lita Milan']",['Peter Graves'],
Beau James,"['Bob Hope', ' Vera Miles', ' Alexis Smith']",['Bob Hope'],"['English', 'Welsh']"
Bedeviled Rabbit,['Bugs Bunny'],[],
Beginning of the End,"['Peter Graves', ' Peggie Castle']",['Peter Graves'],
Bernardine,"['Pat Boone', ' Terry Moore', ' Dean Jagger']",['Dean Jagger'],"['English', 'German', 'Scottish']"
The Big Boodle,"['Errol Flynn', ' Pedro Armendáriz', ' Rossana Rory', ' Gia Scala']",['Errol Flynn'],"['Irish', 'Scottish', 'English']"
The Big Caper,"['Rory Calhoun', ' Mary Costa']",[],
The Big Land,"['Alan Ladd', ' Virginia Mayo', "" Edmond O'Brien""]",['Alan Ladd'],"['English', 'Irish']"
Birds Anonymous,[''],[],
Bitter Victory,"['Richard Burton', ' Curd Jürgens', ' Ruth Roman']",['Richard Burton'],['Welsh']
Black Patch,"['George Montgomery', ' Diane Brewster']",['George Montgomery'],['Ukrainian']
The Black Scorpion,"['Richard Denning', ' Mara Corday']",['Richard Denning'],
Bombers B-52,"['Natalie Wood', ' Karl Malden', ' Efrem Zimbalist Jr.']",['Karl Malden'],['Czech']
Bop Girl Goes Calypso,"['Judy Tyler', ' Bobby Troup']",['Bobby Troup'],
Boston Quackie,[''],[],
Boy on a Dolphin,"['Alan Ladd', ' Sophia Loren']",['Alan Ladd'],"['English', 'Irish']"
The Brain from Planet Arous,"['John Agar', ' Joyce Meadows']",['John Agar'],
The Brothers Rico,"['Richard Conte', ' Dianne Foster', ' James Darren']",['Richard Conte'],['Italian']
The Buckskin Lady,"['Patricia Medina', ' Richard Denning']",['Richard Denning'],
Bugsy and Mugsy,[''],[],
The Burglar,"['Dan Duryea', ' Jayne Mansfield', ' Martha Vickers']",['Dan Duryea'],
The Buster Keaton Story,"[""Donald O'Connor"", ' Ann Blyth', ' Rhonda Fleming', ' Peter Lorre']",['Peter Lorre'],"['Ashkenazi', 'Jewish']"
Calypso Heat Wave,"['Johnny Desmond', ' Merry Anders']",['Johnny Desmond'],
The Careless Years,"['Dean Stockwell', ' Natalie Trundy', ' John Larch']",['Dean Stockwell'],
Chain of Evidence,"['Bill Elliott', ' Jimmy Lydon']",['Bill Elliott'],
Chicago Confidential,"['Brian Keith', ' Beverly Garland']",['Brian Keith'],
China Gate,"['Gene Barry', ' Angie Dickinson']",['Gene Barry'],"['Ashkenazi', 'Jewish']"
Copper Sky,"['Jeff Morrow', ' Coleen Gray']",['Jeff Morrow'],
Count Five and Die,"['Jeffrey Hunter', ' Nigel Patrick']",['Jeffrey Hunter'],
Crime of Passion,"['Barbara Stanwyck', ' Sterling Hayden', ' Raymond Burr', ' Fay Wray']",['Sterling Hayden'],
The Crooked Circle,"['Fay Spain', ' Steve Brodie']",['Steve Brodie'],
The Cyclops,"['James Craig', ' Gloria Talbott']",['James Craig'],
The D.I.,"['Jack Webb', ' Jackie Loughery']",['Jack Webb'],
The Dalton Girls,"['Merry Anders', ' Lisa Davis']",[],
The Daughter of Dr. Jekyll,"['John Agar', ' Gloria Talbott']",['John Agar'],
The Deadly Mantis,"['Craig Stevens', ' William Hopper']",['Craig Stevens'],
Death in Small Doses,"['Peter Graves', ' Mala Powers']",['Peter Graves'],
