0,1,Males,Ethnicity
Abie's Irish Rose,"['Michael Chekhov', ' Joanne Dru']",['Michael Chekhov'],
Abilene Town,"['Randolph Scott', ' Ann Dvorak', ' Rhonda Fleming', ' Lloyd Bridges']",['Randolph Scott'],
Accomplice,"['Richard Arlen', ' Veda Ann Borg', ' Tom Dugan']",['Richard Arlen'],
Affairs of Geraldine,"['Jane Withers', ' Jimmy Lydon']",['Jimmy Lydon'],
Alias Billy the Kid,"['Sunset Carson', ' Peggy Stewart']",[],
Alias Mr. Twilight,"['Trudy Marshall', ' Gigi Perreau']",[],
Ambush Trail,"['Bob Steele', ' Syd Saylor']",['Bob Steele'],
Angel on My Shoulder,"['Paul Muni', ' Anne Baxter', ' Claude Rains']",['Paul Muni'],"['Ashkenazi', 'Jewish']"
Anna and the King of Siam,"['Irene Dunne', ' Rex Harrison', ' Linda Darnell']",['Rex Harrison'],"['English', 'Scottish']"
Avalanche,"['Bruce Cabot', ' Roscoe Karns']",['Bruce Cabot'],
The Bachelor's Daughters,"['Claire Trevor', ' Gail Russell', ' Ann Dvorak']",[],
Bad Bascomb,"['Wallace Beery', "" Margaret O'Brien"", ' Marjorie Main']",['Wallace Beery'],"['GermanEnglish', 'Irish', 'Scottish', 'SwissGerman']"
Badman's Territory,"['Randolph Scott', ' Ann Richards']",['Randolph Scott'],
The Bamboo Blonde,"['Frances Langford', ' Ralph Edwards', ' Iris Adrian']",['Ralph Edwards'],
The Bandit of Sherwood Forest,"['Cornel Wilde', ' Anita Louise', ' Jill Esmond', ' Edgar Buchanan']",['Cornel Wilde'],"['Ashkenazi', 'Jewish']"
The Beast with Five Fingers,"['Robert Alda', ' Andrea King', ' Peter Lorre', ' Victor Francen', ' J. Carrol Naish']",['Robert Alda'],
Beauty and the Bandit,"['Gilbert Roland', ' Ramsay Ames']",['Gilbert Roland'],
Because of Him,"['Deanna Durbin', ' Charles Laughton']",['Charles Laughton'],['Irish']
Bedlam,"['Boris Karloff', ' Anna Lee']",['Boris Karloff'],"['English', 'Indian']"
Behind Green Lights,"['Carole Landis', ' William Gargan', ' Mary Anderson']",['William Gargan'],
Behind the Mask,"['Kane Richmond', ' Barbara Read']",['Kane Richmond'],
Below the Deadline,"['Warren Douglas', ' Jan Wiley']",['Warren Douglas'],
The Best Years of Our Lives,"['Fredric March', ' Myrna Loy', ' Dana Andrews', ' Teresa Wright', ' Virginia Mayo', ' Hoagy Carmichael', ' Harold Russell']",['Fredric March'],"['English', 'Scottish', 'Dutch', 'German', 'Belgian', 'Flemish', 'Norwegian']"
Betty Co-Ed,"['Jean Porter', ' Shirley Mills']",[],
Beware,"['Louis Jordan', ' Frank L. Wilson']",['Louis Jordan'],
The Big Sleep,"['Humphrey Bogart', ' Lauren Bacall', ' Martha Vickers']",['Humphrey Bogart'],"['English', 'Dutch', 'German', 'French', 'Belgian', 'Walloon', 'Welsh']"
Black Angel,"['Dan Duryea', ' June Vincent', ' Peter Lorre', ' Broderick Crawford']",['Dan Duryea'],
Black Beauty,"['Mona Freeman', ' Richard Denning']",['Richard Denning'],
Blonde Alibi,"['Tom Neal', "" Martha O'Driscoll""]",['Tom Neal'],
Blonde for a Day,"['Hugh Beaumont', ' Kathryn Adams']",['Hugh Beaumont'],
Blondie Knows Best,"['Penny Singleton', ' Arthur Lake']",['Arthur Lake'],
Blondie's Lucky Day,"['Penny Singleton', ' Arthur Lake']",['Arthur Lake'],
The Blue Dahlia,"['Alan Ladd', ' Veronica Lake', ' William Bendix', ' Hugh Beaumont']",['Alan Ladd'],"['English', 'Irish']"
Blue Skies,"['Fred Astaire', ' Bing Crosby', ' Joan Caulfield']",['Fred Astaire'],"['Ashkenazi', 'Jewish', 'Catholic', 'German', 'Alsatian']"
Border Bandits,"['Johnny Mack Brown', ' Raymond Hatton']",['Johnny Mack Brown'],
Boston Blackie and the Law,"['Chester Morris', ' Trudy Marshall', ' Constance Dowling']",['Chester Morris'],
Bowery Bombshell,"['Leo Gorcey', ' Huntz Hall', ' Teala Loring']",['Leo Gorcey'],
"A Boy, a Girl and a Dog","['Sharyn Moffett', ' Lionel Stander']",['Lionel Stander'],
Boys' Ranch,"['Butch Jenkins', ' James Craig', ' Dorothy Patrick']",['Butch Jenkins'],
Breakfast in Hollywood,"['Tom Breneman', ' Bonita Granville', ' Billie Burke']",['Tom Breneman'],
The Bride Wore Boots,"['Barbara Stanwyck', ' Robert Cummings', ' Diana Lynn', ' Patric Knowles']",['Robert Cummings'],"['German', 'English', 'Irish']"
Bringing Up Father,"['Joe Yule', ' Renie Riano']",['Joe Yule'],
The Brute Man,"['Rondo Hatton', ' Jan Wiley', ' Tom Neal']",['Rondo Hatton'],
California Gold Rush,"['Wild Bill Elliott', ' Peggy Stewart']",['Wild Bill Elliott'],
Canyon Passage,"['Dana Andrews', ' Brian Donlevy', ' Susan Hayward', ' Patricia Roc']",['Brian Donlevy'],"['Northern', 'Irish']"
The Caravan Trail,"['Eddie Dean', ' Lash La Rue']",['Eddie Dean'],
The Cat Creeps,"['Noah Beery Jr.', ' Lois Collier']",['Noah Beery Jr.'],
The Catman of Paris,"['Carl Esmond', ' Lenore Aubert', ' Adele Mara']",['Carl Esmond'],
Centennial Summer,"['Jeanne Crain', ' Cornel Wilde', ' Linda Darnell', ' Walter Brennan']",['Cornel Wilde'],"['Ashkenazi', 'Jewish']"
The Chase,"['Robert Cummings', ' Michèle Morgan', ' Steve Cochran']",['Robert Cummings'],"['German', 'English', 'Irish']"
Child of Divorce,"['Sharyn Moffett', ' Regis Toomey']",['Regis Toomey'],
Cinderella Jones,"['Joan Leslie', ' Robert Alda']",['Robert Alda'],
Claudia and David,"['Dorothy McGuire', ' Robert Young', ' Mary Astor']",['Robert Young'],
Cloak and Dagger,"['Gary Cooper', ' Lilli Palmer', ' Robert Alda']",['Gary Cooper'],['English']
A Close Call for Boston Blackie,"['Chester Morris', ' Lynn Merrick']",['Chester Morris'],
Cluny Brown,"['Charles Boyer', ' Jennifer Jones', ' Peter Lawford']",['Charles Boyer'],['French']
The Cockeyed Miracle,"['Audrey Totter', ' Cecil Kellaway', ' Frank Morgan', ' Keenan Wynn']",['Cecil Kellaway'],
Colonel Effingham's Raid,"['Charles Coburn', ' Joan Bennett']",['Charles Coburn'],"['English', 'ScotsIrish', 'Northern', 'Irish', 'FrenchCanadian']"
Colorado Serenade,"['Eddie Dean', ' Roscoe Ates']",['Eddie Dean'],
Conquest of Cheyenne,"['Wild Bill Elliott', ' Peggy Stewart']",['Wild Bill Elliott'],
Courage of Lassie,"['Elizabeth Taylor', ' Catherine McLeod', ' Frank Morgan']",['Frank Morgan'],
Cowboy Blues,"['Ken Curtis', ' Jeff Donnell', ' Guy Kibbee']",['Ken Curtis'],
Crack-Up,"[""Pat O'Brien"", ' Claire Trevor', ' Herbert Marshall']",['Herbert Marshall'],
Crime Doctor's Man Hunt,"['Warner Baxter', ' Ellen Drew']",['Warner Baxter'],['English']
Crime of the Century,"['Stephanie Bachelor', ' Martin Kosleck']",['Martin Kosleck'],
Criminal Court,"[""Martha O'Driscoll"", ' Tom Conway']",['Tom Conway'],
Cross My Heart,"['Betty Hutton', ' Sonny Tufts']",['Sonny Tufts'],
Cuban Pete,"['Desi Arnaz', ' Joan Fulton', ' Don Porter']",['Don Porter'],
Danger Woman,"['Don Porter', ' Brenda Joyce', ' Patricia Morison']",['Don Porter'],
Dangerous Business,"['Forrest Tucker', ' Lynn Merrick']",['Forrest Tucker'],
Dangerous Millions,"['Kent Taylor', ' Dona Drake']",['Kent Taylor'],
Dangerous Money,"['Sidney Toler', ' Gloria Warren']",[],
Danny Boy,"['Charles Bates', ' Ace the Wonder Dog']",['Charles Bates'],
Dark Alibi,"['Sidney Toler', ' Mantan Moreland']",[],
The Dark Corner,"['Lucille Ball', ' Clifton Webb', ' William Bendix']",['Clifton Webb'],
The Dark Horse,"['Phillip Terry', ' Ann Savage', ' Allen Jenkins']",['Phillip Terry'],
The Dark Mirror,"['Olivia de Havilland', ' Lew Ayres', ' Thomas Mitchell']",['Lew Ayres'],
Days of Buffalo Bill,"['Sunset Carson', ' Peggy Stewart']",[],
Deadline at Dawn,"['Susan Hayward', ' Paul Lukas', ' Bill Williams']",['Paul Lukas'],"['Ashkenazi', 'Jewish']"
Deadline for Murder,"['Paul Kelly', ' Kent Taylor', ' Sheila Ryan', ' Marion Martin']",['Paul Kelly'],
Death Valley,"['Robert Lowery', ' Nat Pendleton', ' Barbara Read']",['Robert Lowery'],
