0,1,Males,Ethnicity
Abbott and Costello in Hollywood,"['Abbott and Costello', ' Lucille Ball', ' Rags Ragland']",['Abbott and Costello'],
Adventure,"['Clark Gable', ' Greer Garson', ' Joan Blondell']",['Clark Gable'],"['German', 'Irish', 'SwissGerman', 'Belgian']"
Adventures of Kitty O'Day,"['Jean Parker', ' Peter Cookson']",['Peter Cookson'],
Adventures of Rusty,"['Margaret Lindsay', ' Conrad Nagel']",['Conrad Nagel'],
The Affairs of Susan,"['Joan Fontaine', ' George Brent', "" Dennis O'Keefe""]",['George Brent'],
Allotment Wives,"['Kay Francis', ' Otto Kruger', ' Gertrude Michael']",['Otto Kruger'],
Along Came Jones,"['Gary Cooper', ' Loretta Young', ' William Demarest', ' Dan Duryea']",['Gary Cooper'],['English']
Along the Navajo Trail,"['Roy Rogers', ' Dale Evans', ' Estelita Rodriguez']",['Roy Rogers'],
An Angel Comes to Brooklyn,"['Barbara Perry', ' Charles Kemper']",['Charles Kemper'],
Anchors Aweigh,"['Frank Sinatra', ' Kathryn Grayson', ' Gene Kelly']",['Frank Sinatra'],"['Italian', 'Sicilian']"
And Then There Were None,"['Barry Fitzgerald', ' Walter Huston', ' Louis Hayward', ' Roland Young']",['Barry Fitzgerald'],['German']
Apology for Murder,"['Ann Savage', ' Hugh Beaumont']",['Hugh Beaumont'],
Arson Squad,"['Frank Albertson', ' Robert Armstrong']",['Frank Albertson'],
Back to Bataan,"['John Wayne', ' Anthony Quinn', ' Beulah Bondi']",['John Wayne'],"['English', 'ScotsIrishNorthern', 'Irish', 'Irish']"
Bad Men of the Border,"['Kirby Grant', ' Armida']",[],
Bandits of the Badlands,"['Sunset Carson', ' Peggy Stewart']",[],
Bedside Manner,"['John Carroll', ' Ruth Hussey', ' Ann Rutherford']",['John Carroll'],['Irish']
Behind City Lights,"['Lynne Roberts', ' Peter Cookson']",['Peter Cookson'],
A Bell for Adano,"['Gene Tierney', ' John Hodiak', ' William Bendix']",['Gene Tierney'],"['Irish', 'English', 'Dutch', 'Sephardi', 'Jewish']"
Bells of Rosarita,"['Roy Rogers', ' Dale Evans']",['Roy Rogers'],
The Bells of St. Mary's,"['Bing Crosby', ' Ingrid Bergman']",['Bing Crosby'],"['English', 'Irish']"
Betrayal from the East,"['Lee Tracy', ' Nancy Kelly']",[],
Between Two Women,"['Van Johnson', ' Gloria DeHaven', ' Marilyn Maxwell']",['Van Johnson'],"['German', 'Irish']"
Bewitched,"['Phyllis Thaxter', ' Edmund Gwenn']",['Edmund Gwenn'],['English']
Beyond the Pecos,"['Rod Cameron', ' Jennifer Holt']",['Rod Cameron'],
The Big Show-Off,"['Arthur Lake', ' Dale Evans']",['Arthur Lake'],
Black Market Babies,"['Teala Loring', ' Kane Richmond']",['Kane Richmond'],
Blazing the Western Trail,"['Charles Starrett', ' Dub Taylor', ' Carole Mathews ']",['Charles Starrett'],
Blonde from Brooklyn,"['Bob Haymes', ' Lynn Merrick']",['Bob Haymes'],
Blonde Ransom,"['Virginia Grey', ' Pinky Lee']",[],
Blood on the Sun,"['James Cagney', ' Sylvia Sidney']",['James Cagney'],"['Irish25', 'Norwegian']"
The Body Snatcher,"['Boris Karloff', ' Bela Lugosi']",['Boris Karloff'],"['English', 'Indian']"
Border Badmen,"['Buster Crabbe', ' Lorraine Miller']",['Buster Crabbe'],
Boston Blackie Booked on Suspicion,"['Chester Morris', ' Lynn Merrick']",['Chester Morris'],
Boston Blackie's Rendezvous,"['Chester Morris', ' Nina Foch']",['Chester Morris'],
Both Barrels Blazing,"['Charles Starrett', ' Dub Taylor']",['Charles Starrett'],
Brewster's Millions,"[""Dennis O'Keefe"", ' Helen Walker', ' June Havoc']",[],
The Brighton Strangler,"['John Loder', ' June Duprez']",['John Loder'],
Bring on the Girls,"['Veronica Lake', ' Marjorie Reynolds']",[],
The Bullfighters,['Laurel and Hardy'],[],
Captain Eddie,"['Fred MacMurray', ' Lynn Bari']",['Fred MacMurray'],['German']
The Captain from Köpenick,"['Albert Bassermann', ' Mary Brian']",['Albert Bassermann'],
Captain Kidd,"['Charles Laughton', ' Randolph Scott', ' Barbara Britton']",['Charles Laughton'],['Irish']
Captain Tugboat Annie,"['Jane Darwell', ' Edgar Kennedy']",['Edgar Kennedy'],
The Caribbean Mystery,"['James Dunn', ' Sheila Ryan']",['James Dunn'],"['English', 'Irish']"
The Cheaters,"['Joseph Schildkraut', ' Billie Burke']",['Joseph Schildkraut'],"['Ashkenazi', 'Jewish']"
The Cherokee Flash,"['Sunset Carson', ' Linda Stirling', ' Tom London']",['Tom London'],
The Chicago Kid,"['Don ""Red"" Barry', ' Otto Kruger']","['Don ""Red"" Barry']",
China Sky,"['Randolph Scott', ' Ruth Warrick', ' Ellen Drew']",['Randolph Scott'],
China's Little Devils,"['Harry Carey', ' Paul Kelly']",['Harry Carey'],
Christmas in Connecticut,"['Barbara Stanwyck', ' Dennis Morgan', ' Reginald Gardiner', ' Sydney Greenstreet']",['Dennis Morgan'],
Circumstantial Evidence,"['Lloyd Nolan', "" Michael O'Shea"", ' Trudy Marshall']",['Lloyd Nolan'],
The Cisco Kid Returns,"['Duncan Renaldo', ' Martin Garralaga']",['Duncan Renaldo'],
The Clock,"['Judy Garland', ' Robert Walker']",['Robert Walker'],"['English375', 'Scottish']"
Club Havana,"['Margaret Lindsay', ' Tom Neal', ' Lita Baron']",['Tom Neal'],
Code of the Lawless,"['Kirby Grant', ' Jane Adams']",[],
Colorado Pioneers,"['Wild Bill Elliott', ' Alice Fleming']",['Wild Bill Elliott'],
Come Out Fighting,"['Leo Gorcey', ' Huntz Hall', ' Billy Benedict']",['Leo Gorcey'],
Confidential Agent,"['Charles Boyer', ' Lauren Bacall']",['Charles Boyer'],['French']
Conflict,"['Humphrey Bogart', ' Alexis Smith', ' Sydney Greenstreet']",['Humphrey Bogart'],"['English', 'Dutch', 'German', 'French', 'Belgian', 'Walloon', 'Welsh']"
The Corn Is Green,"['Bette Davis', ' Joan Lorring', ' John Dall']",['John Dall'],
Cornered,"['Dick Powell', ' Walter Slezak']",['Dick Powell'],
Corpus Christi Bandits,"['Allan Lane', ' Helen Talbot']",['Allan Lane'],
