0,1,Males,Ethnicity
Absence of Malice,"['Paul Newman', ' Sally Field', ' Bob Balaban', ' Melinda Dillon', ' Wilford Brimley']",['Paul Newman'],"['Jewish', 'Slovak']"
All Night Long,"['Gene Hackman', ' Barbra Streisand', ' Diane Ladd', ' Dennis Quaid']",['Gene Hackman'],"['English', 'German', 'Scottish', 'Dutch']"
...All the Marbles,['Peter Falk'],['Peter Falk'],"['Ashkenazi', 'Jewish']"
The Amateur,"['John Savage', ' Christopher Plummer']",['John Savage'],"['English', 'Scottish', 'Dutch']"
American Pop,"['Lisa Jane Persky', ' Ron Thompson']",['Ron Thompson'],
An American Werewolf in London,"['David Naughton', ' Griffin Dunne']",['David Naughton'],
Amy,"['Jenny Agutter', ' Barry Newman']",['Barry Newman'],
Arthur,"['Dudley Moore', ' Liza Minnelli', ' John Gielgud', ' Geraldine Fitzgerald', ' Jill Eikenberry', ' Ted Ross']",['Dudley Moore'],"['English', 'Welsh']"
Back Roads,"['Sally Field', ' Tommy Lee Jones']",['Tommy Lee Jones'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Dutch']"
Blow Out,"['John Travolta', ' Nancy Allen', ' John Lithgow', ' Dennis Franz']",['John Travolta'],"['ItalianSicilian50', 'Irish']"
Body Heat,"['William Hurt', ' Kathleen Turner', ' Richard Crenna', ' Ted Danson', ' J. A. Preston', ' Mickey Rourke']",['William Hurt'],"['English', 'German', 'Scottish', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Swedish']"
Body and Soul,"['Leon Isaac Kennedy', ' Jayne Kennedy', ' Michael V. Gazzo']",['Leon Isaac Kennedy'],
Buddy Buddy,"['Jack Lemmon', ' Walter Matthau', ' Paula Prentiss', ' Klaus Kinski']",['Jack Lemmon'],"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
Burned at the Stake,"['Susan Swift', ' Albert Salmi', ' Guy Stockwell']",['Albert Salmi'],
The Burning,"['Brian Matthews', ' Holly Hunter', ' Jason Alexander']",['Brian Matthews'],
Bustin' Loose,"['Richard Pryor', ' Cicely Tyson']",['Richard Pryor'],"['AfricanAmerican', 'Native', 'American']"
The Cannonball Run,"['Burt Reynolds', ' Dom DeLuise', ' Farrah Fawcett', ' Dean Martin', ' Sammy Davis Jr.', ' Roger Moore', ' Jackie Chan']",['Burt Reynolds'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Dutch']"
Carbon Copy,"['George Segal', ' Susan Saint James', ' Denzel Washington']",['George Segal'],"['Ashkenazi', 'Jewish']"
