0,1,Males,Ethnicity
2010,"['Roy Scheider', ' Helen Mirren', ' John Lithgow', ' Bob Balaban', ' Dana Elcar']",['Roy Scheider'],"['German', 'Irish']"
The Adventures of Buckaroo Banzai,"['Peter Weller', ' Ellen Barkin', ' John Lithgow', ' Jeff Goldblum', ' Christopher Lloyd']",['Peter Weller'],"['English', 'German', 'Irish', 'French']"
Against All Odds,"['Jeff Bridges', ' Rachel Ward', ' James Woods', ' Richard Widmark', ' Dorian Harewood', ' Alex Karras', ' Jane Greer']",['Jeff Bridges'],"['English', 'ScotsIrishNorthern', 'Irish', 'Irish', 'SwissGerman', 'German']"
All of Me,"['Steve Martin', ' Lily Tomlin', ' Dana Elcar']",['Steve Martin'],"['English', 'Scottish', 'Irish', 'ScotsIrishNorthern', 'Irish', 'German', 'French', 'Welsh']"
Alley Cat,"['Karin Mani', ' Robert Torti']",['Robert Torti'],
Amadeus,"['Tom Hulce', ' F. Murray Abraham', ' Elizabeth Berridge', ' Jeffrey Jones']",['Tom Hulce'],"['English', 'German', 'Irish', 'Dutch']"
The Ambassador,"['Robert Mitchum', ' Ellen Burstyn', ' Donald Pleasence', ' Rock Hudson']",['Robert Mitchum'],"['Welsh', 'Norwegian']"
American Dreamer,"['Tom Conti', ' JoBeth Williams', ' Giancarlo Giannini']",['Tom Conti'],
Angel,"['Donna Wilkes', ' Dick Shawn', ' Susan Tyrrell']",['Dick Shawn'],
Bachelor Party,"['Tom Hanks', ' Tawny Kitaen', ' Adrian Zmed']",['Tom Hanks'],"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
Bad Manners,"['Martin Mull', ' Karen Black']",['Martin Mull'],
Beat Street,"['Rae Dawn Chong', ' Guy Davis']",['Guy Davis'],
Before Stonewall,[''],[],
Best Defense,"['Dudley Moore', ' Eddie Murphy', ' Kate Capshaw', ' George Dzundza']",['Dudley Moore'],"['English', 'Welsh']"
Beverly Hills Cop,"['Eddie Murphy', ' Judge Reinhold', ' John Ashton', ' Lisa Eilbacher', ' Bronson Pinchot', ' Ronny Cox']",['Eddie Murphy'],['AfricanAmerican']
Birdy,"['Matthew Modine', ' Nicolas Cage']",['Matthew Modine'],"['English', 'Swedish', 'Scottish', 'German', 'Dutch']"
Blame It on Rio,"['Michael Caine', ' Joseph Bologna', ' Michelle Johnson', ' Demi Moore', ' Valerie Harper']",['Michael Caine'],"['English', 'Irish']"
Blind Date,"['Kirstie Alley', ' Joseph Bottoms', ' Keir Dullea']",['Joseph Bottoms'],
Blood Simple,"['John Getz', ' Frances McDormand', ' M. Emmet Walsh', ' Dan Hedaya', ' Samm-Art Williams']",['John Getz'],
Body Double,"['Craig Wasson', ' Melanie Griffith', ' Gregg Henry', ' Deborah Shelton']",['Craig Wasson'],
Body Rock,"['Lorenzo Lamas', ' Ray Sharkey']",['Lorenzo Lamas'],"['Argentinian', 'Spanish', 'Norwegian']"
Bolero,"['Bo Derek', ' George Kennedy', "" Olivia d'Abo"", ' Andrea Occhipinti']",['George Kennedy'],"['English', 'German', 'Irish']"
The Bostonians,"['Christopher Reeve', ' Vanessa Redgrave', ' Jessica Tandy']",['Christopher Reeve'],"['English', 'Irish', 'Welsh', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'German', 'French']"
The Bounty,"['Mel Gibson', ' Anthony Hopkins', ' Daniel Day-Lewis', ' Laurence Olivier']",['Mel Gibson'],"['Irish125', 'English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh']"
Breakin',"['Lucinda Dickey', ' Christopher McDonald', ' Ice-T']",['Christopher McDonald'],['Irish']
Breakin' 2: Electric Boogaloo,"['Lucinda Dickey', ' Adolfo Quinones', ' Ice-T']",['Adolfo Quinones'],
Broadway Danny Rose,"['Mia Farrow', ' Woody Allen', ' Nick Apollo Forte']",['Woody Allen'],"['Ashkenazi', 'Jewish']"
The Brother from Another Planet,"['Joe Morton', ' Steve James']",['Joe Morton'],['AfricanAmerican']
The Buddy System,"['Richard Dreyfuss', ' Susan Sarandon', ' Nancy Allen', ' Jean Stapleton']",['Richard Dreyfuss'],"['Ashkenazi', 'Jewish']"
C.H.U.D.,"['John Heard', ' Daniel Stern']",['John Heard'],"['Irish', 'English', 'Ashkenazi', 'Jewish']"
