0,1,Males,Ethnicity
7th Cavalry,"['Randolph Scott', ' Barbara Hale']",['Randolph Scott'],
23 Paces to Baker Street,"['Van Johnson', ' Vera Miles']",['Van Johnson'],"['German', 'Irish']"
Accused of Murder,"['David Brian', ' Vera Ralston', ' Sidney Blackmer', ' Lee Van Cleef']",['David Brian'],
Alexander the Great,"['Richard Burton', ' Claire Bloom', ' Fredric March', ' Danielle Darrieux']",['Richard Burton'],['Welsh']
The Ambassador's Daughter,"['Olivia de Havilland', ' John Forsythe', ' Adolphe Menjou', ' Myrna Loy']",['John Forsythe'],"['Ashkenazi', 'Jewish']"
Anastasia,"['Ingrid Bergman', ' Yul Brynner', ' Helen Hayes']",['Yul Brynner'],"['Russian25', 'SwissGerman']"
Anything Goes,"['Bing Crosby', "" Donald O'Connor"", ' Phil Harris', ' Mitzi Gaynor']",['Bing Crosby'],"['English', 'Irish']"
Around the World in 80 Days,"['David Niven', ' Cantinflas', ' Shirley MacLaine', ' Robert Newton']",['David Niven'],"['English', 'Scottish', 'French']"
At Gunpoint,"['Fred MacMurray', ' Dorothy Malone']",['Fred MacMurray'],['German']
Attack,"['Jack Palance', ' Eddie Albert', ' Lee Marvin']",['Jack Palance'],"['Ukrainian', 'Polish']"
Autumn Leaves,"['Joan Crawford', ' Cliff Robertson']",['Cliff Robertson'],"['English', 'German']"
Away All Boats,"['Jeff Chandler', ' George Nader', ' Julie Adams']",['Jeff Chandler'],
Baby Doll,"['Carroll Baker', ' Karl Malden', ' Eli Wallach', ' Mildred Dunnock']",['Karl Malden'],['Czech']
Back from Eternity,"['Robert Ryan', ' Anita Ekberg', ' Rod Steiger', ' Gene Barry']",['Robert Ryan'],
Backlash,"['Richard Widmark', ' Donna Reed']",['Richard Widmark'],"['Swedish25', 'Norwegian25', 'English25', 'Irish']"
The Bad Seed,"['Nancy Kelly', ' Patty McCormack']",[],
Bandido,"['Robert Mitchum', ' Ursula Thiess', ' Gilbert Roland']",['Robert Mitchum'],"['Welsh', 'Norwegian']"
Barbecue Brawl,['Tom and Jerry'],['Tom and Jerry'],
Battle Stations,"['John Lund', ' William Bendix', ' Richard Boone']",['John Lund'],"['Black', 'British']"
The Beast of Hollow Mountain,"['Guy Madison', ' Patricia Medina']",['Guy Madison'],
Behind the High Wall,"['Tom Tully', ' John Gavin']",['Tom Tully'],
The Benny Goodman Story,"['Steve Allen', ' Donna Reed']",['Steve Allen'],
The Best Things in Life Are Free,"['Gordon MacRae', ' Ernest Borgnine', ' Dan Duryea', ' Sheree North']",['Gordon MacRae'],
Between Heaven and Hell,"['Robert Wagner', ' Buddy Ebsen', ' Broderick Crawford']",['Robert Wagner'],['Norwegian']
Beyond Mombasa,"['Cornel Wilde', ' Donna Reed']",['Cornel Wilde'],"['Ashkenazi', 'Jewish']"
Beyond a Reasonable Doubt,"['Dana Andrews', ' Joan Fontaine', ' Sidney Blackmer']",[],
Bhowani Junction,"['Ava Gardner', ' Stewart Granger', ' Bill Travers']",['Stewart Granger'],
Bigger Than Life,"['James Mason', ' Barbara Rush', ' Walter Matthau']",['James Mason'],['English']
The Birds and the Bees,"['George Gobel', ' Mitzi Gaynor', ' David Niven']",['George Gobel'],
The Black Sleep,"['Basil Rathbone', ' Lon Chaney']",['Basil Rathbone'],"['English', 'Irish']"
The Black Whip,"['Hugh Marlowe', ' Coleen Gray', ' Adele Mara', ' Angie Dickinson']",['Hugh Marlowe'],
"Blackjack Ketchum, Desperado","['Howard Duff', ' Margaret Field']",['Howard Duff'],
Blazing the Overland Trail,['Lee Roberts'],[],
Blue Cat Blues,['Tom and Jerry'],['Tom and Jerry'],
The Bold and the Brave,"['Mickey Rooney', ' Wendell Corey']",['Wendell Corey'],
The Boss,['John Payne'],['John Payne'],
