0,1,Males,Ethnicity
Abandoned,"[""Dennis O'Keefe"", ' Gale Storm', ' Jeff Chandler']",['Jeff Chandler'],
"Abbott and Costello Meet the Killer, Boris Karloff","['Bud Abbott', ' Lou Costello', ' Boris Karloff']",['Bud Abbott'],"['Welsh', 'German', 'German', 'Jewish']"
The Accused,"['Loretta Young', ' Robert Cummings', ' Wendell Corey']",['Robert Cummings'],"['German', 'English', 'Irish']"
Across the Rio Grande,"['Jimmy Wakely', ' Reno Browne']",['Jimmy Wakely'],
Act of Violence,"['Van Heflin', ' Robert Ryan', ' Janet Leigh', ' Mary Astor']",['Van Heflin'],"['English', 'Irish', 'German', 'Dutch', 'French']"
Adam's Rib,"['Spencer Tracy', ' Katharine Hepburn', ' David Wayne', ' Tom Ewell', ' Jean Hagen', ' Judy Holliday']",['Spencer Tracy'],['English']
Adventure in Baltimore,"['Shirley Temple', ' Robert Young']",['Robert Young'],
The Adventures of Ichabod and Mr. Toad,"['Bing Crosby', ' Eric Blore', ' Basil Rathbone']",['Bing Crosby'],"['English', 'Irish']"
Africa Screams,"['Bud Abbott', ' Lou Costello', ' Clyde Beatty', ' Frank Buck']",['Bud Abbott'],"['Welsh', 'German', 'German', 'Jewish']"
Air Hostess,"['Gloria Henry', ' Audrey Long']",[],
Alias the Champ,"['Audrey Long', ' Gorgeous George']",[],
Alias Nick Beal,"['Ray Milland', ' Audrey Totter', ' Thomas Mitchell']",['Ray Milland'],['Welsh']
Alimony,"['Martha Vickers', ' John Beal', ' Hillary Brooke']",['John Beal'],
All the King's Men,"['Broderick Crawford', ' Mercedes McCambridge', ' John Ireland', ' Joanne Dru', ' John Derek']",['Broderick Crawford'],['German']
Always Leave Them Laughing,"['Milton Berle', ' Virginia Mayo', ' Bert Lahr']",['Milton Berle'],
And Baby Makes Three,"['Barbara Hale', ' Robert Young']",['Robert Young'],
Angels in Disguise,"['Leo Gorcey', ' Huntz Hall']",['Leo Gorcey'],
Anna Lucasta,"['Paulette Goddard', ' Gale Page']",[],
Any Number Can Play,"['Clark Gable', ' Alexis Smith', ' Wendell Corey', ' Mary Astor']",['Clark Gable'],"['German', 'Irish', 'SwissGerman', 'Belgian']"
Arctic Manhunt,"['Mikel Conrad', ' Carol Thurston']",['Mikel Conrad'],
"Arson, Inc.","['Robert Lowery', ' Anne Gwynne']",['Robert Lowery'],
Bad Boy,"['Audie Murphy', ' Jane Wyatt']",[],
Bad Men of Tombstone,"['Broderick Crawford', ' Barry Sullivan']",['Broderick Crawford'],['German']
Bagdad,"[""Maureen O'Hara"", ' Paul Christian', ' Vincent Price']",['Paul Christian'],
Bandit King of Texas,"['Allan Lane', ' Helene Stanley']",['Allan Lane'],
Bandits of El Dorado,"['Charles Starrett', ' Clayton Moore']",['Charles Starrett'],
Barbary Pirate,"['Donald Woods', ' Trudy Marshall', ' Lenore Aubert']",['Donald Woods'],
The Barkleys of Broadway,"['Fred Astaire', ' Ginger Rogers', ' Billie Burke']",['Fred Astaire'],"['Ashkenazi', 'Jewish', 'Catholic', 'German', 'Alsatian']"
Battleground,"['Van Johnson', ' Ricardo Montalbán', ' George Murphy']",['Van Johnson'],"['German', 'Irish']"
The Beautiful Blonde from Bashful Bend,"['Betty Grable', ' Cesar Romero', ' Rudy Vallée']",['Cesar Romero'],"['Cuban', 'Venezuelan', 'Spanish']"
Beyond the Forest,"['Bette Davis', ' Joseph Cotten', ' Ruth Roman']",['Joseph Cotten'],"['English', 'Northern', 'Irish', 'ScotsIrish']"
The Big Cat,"['Lon McCallister', ' Peggy Ann Garner', ' Preston Foster']",['Lon McCallister'],
Big Jack,"['Wallace Beery', ' Richard Conte']",['Wallace Beery'],"['GermanEnglish', 'Irish', 'Scottish', 'SwissGerman']"
The Big Sombrero,"['Gene Autry', ' Elena Verdugo']",['Gene Autry'],
The Big Steal,"['Robert Mitchum', ' Jane Greer']",['Robert Mitchum'],"['Welsh', 'Norwegian']"
The Big Wheel,"['Mickey Rooney', ' Thomas Mitchell']",['Thomas Mitchell'],['Irish']
Black Magic,"['Orson Welles', ' Nancy Guild']",['Orson Welles'],"['English', 'Scottish', 'Welsh']"
Black Midnight,"['Roddy McDowall', "" Damian O'Flynn""]",['Roddy McDowall'],"['English', 'Irish']"
The Blazing Trail,"['Charles Starrett', ' Marjorie Stapp']",['Charles Starrett'],
Blondie's Big Deal,"['Penny Singleton', ' Arthur Lake']",['Arthur Lake'],
Blondie Hits the Jackpot,"['Penny Singleton', ' Arthur Lake']",['Arthur Lake'],
Bodyhold,"['Willard Parker', ' Lola Albright', ' Hillary Brooke']",['Willard Parker'],
"Bomba, the Jungle Boy","['Johnny Sheffield', ' Peggy Ann Garner']",['Johnny Sheffield'],
Bomba on Panther Island,"['Johnny Sheffield', ' Allene Roberts']",['Johnny Sheffield'],
Border Incident,"['Ricardo Montalbán', ' Howard Da Silva']",['Ricardo Montalbán'],
Boston Blackie's Chinese Venture,"['Chester Morris', ' Maylia Fong']",['Chester Morris'],
Brand of Fear,"['Jimmy Wakely', ' Gail Davis']",['Jimmy Wakely'],
The Bribe,"['Robert Taylor', ' Ava Gardner', ' Charles Laughton', ' Vincent Price']",['Robert Taylor'],
Bride for Sale,"['Claudette Colbert', ' Robert Young']",['Robert Young'],
Bride of Vengeance,"['Paulette Goddard', ' John Lund']",['John Lund'],"['Black', 'British']"
Brimstone,"['Rod Cameron', ' Walter Brennan', ' Lorna Gray']",['Rod Cameron'],
Brothers in the Saddle,"['Tim Holt', ' Richard Martin']",['Tim Holt'],
Calamity Jane and Sam Bass,"['Yvonne De Carlo', ' Howard Duff', ' Dorothy Hart']",['Howard Duff'],
Canadian Pacific,"['Randolph Scott', ' Jane Wyatt', ' J. Carrol Naish']",['Randolph Scott'],
Caught,"['James Mason', ' Barbara Bel Geddes']",['James Mason'],['English']
Challenge of the Range,"['Charles Starrett', ' Paula Raymond']",['Charles Starrett'],
Challenge to Lassie,"['Donald Crisp', ' Edmund Gwenn', ' Geraldine Brook', ' Reginald Owen']",['Donald Crisp'],['English']
Champion,"['Kirk Douglas', ' Arthur Kennedy', ' Marilyn Maxwell']",['Kirk Douglas'],"['Ashkenazi', 'Jewish']"
Chicago Deadline,"['Alan Ladd', ' Donna Reed', ' June Havoc']",['Alan Ladd'],"['English', 'Irish']"
Chicken Every Sunday,"['Dan Dailey', ' Celeste Holm', ' Colleen Townsend']",['Dan Dailey'],
Chinatown at Midnight,"['Hurd Hatfield', ' Jean Willes']",[],
City Across the River,"['Stephen McNally', ' Thelma Ritter', ' Sue England', ' Jeff Corey', ' Barbara Whiting', ' Tony Curtis']",['Stephen McNally'],
The Clay Pigeon,"['Barbara Hale', ' Bill Williams']",['Bill Williams'],
C-Man,"['Dean Jagger', ' John Carradine']",['Dean Jagger'],"['English', 'German', 'Scottish']"
Colorado Territory,"['Joel McCrea', ' Virginia Mayo']",['Joel McCrea'],
Come to the Stable,"['Loretta Young', ' Celeste Holm', ' Hugh Marlowe']",['Hugh Marlowe'],
A Connecticut Yankee in King Arthur's Court,"['Bing Crosby', ' Rhonda Fleming', ' Cedric Hardwicke', ' William Bendix']",['Bing Crosby'],"['English', 'Irish']"
Cover Up,"['William Bendix', "" Dennis O'Keefe""]",['William Bendix'],
The Cowboy and the Indians,"['Gene Autry', ' Sheila Ryan']",['Gene Autry'],
The Crime Doctor's Diary,"['Warner Baxter', ' Lois Maxwell']",['Warner Baxter'],['English']
Criss Cross,"['Burt Lancaster', ' Yvonne De Carlo']",['Burt Lancaster'],"['Northern', 'Irish', 'ScotsIrish']"
The Crooked Way,"['John Payne', ' Ellen Drew', ' Sonny Tufts']",['John Payne'],
Dancing in the Dark,"['William Powell', ' Betsy Drake']",['William Powell'],
A Dangerous Profession,"['George Raft', ' Ella Raines', "" Pat O'Brien""]",['George Raft'],['German']
The Daring Caballero,"['Duncan Renaldo', ' Leo Carrillo']",['Duncan Renaldo'],
Daughter of the Jungle,"['Lois Hall', ' Sheldon Leonard']",['Sheldon Leonard'],
Daughter of the West,"['Martha Vickers', ' Phillip Reed', ' Donald Woods']",['Phillip Reed'],
Dear Wife,"['William Holden', ' Joan Caulfield']",['William Holden'],"['English', 'Irish', 'French']"
Death Valley Gunfighter,"['Allan Lane', ' Gail Davis']",['Allan Lane'],
Desert Vigilante,"['Charles Starrett', ' Peggy Stewart']",['Charles Starrett'],
The Devil's Henchman,"['Warner Baxter', ' Mary Beth Hughes']",['Warner Baxter'],['English']
The Doctor and the Girl,"['Glenn Ford', ' Gloria DeHaven']",['Glenn Ford'],"['English', 'Scottish', 'Irish', 'Dutch']"
The Doolins of Oklahoma,"['Randolph Scott', ' George Macready', ' Louise Allbritton']",['Randolph Scott'],
Down Dakota Way,"['Roy Rogers', ' Dale Evans']",['Roy Rogers'],
Down to the Sea in Ships,"['Richard Widmark', ' Lionel Barrymore']",['Richard Widmark'],"['Swedish25', 'Norwegian25', 'English25', 'Irish']"
Duke of Chicago,"['Audrey Long', ' Grant Withers']",['Grant Withers'],
Dynamite,"['William Gargan', ' Richard Crane']",['William Gargan'],
"East Side, West Side","['Barbara Stanwyck', ' James Mason', ' Van Heflin', ' Ava Gardner']",['James Mason'],['English']
Easy Living,"['Victor Mature', ' Lucille Ball', ' Lizabeth Scott']",['Victor Mature'],"['SwissGerman', 'German']"
"Edward, My Son","['Spencer Tracy', ' Deborah Kerr', ' Ian Hunter']",['Spencer Tracy'],['English']
El Paso,"['John Payne', ' Gail Russell', ' Sterling Hayden']",['John Payne'],
Everybody Does It,"['Paul Douglas', ' Linda Darnell', ' Celeste Holm']",['Paul Douglas'],
Family Honeymoon,"['Claudette Colbert', ' Fred MacMurray']",['Fred MacMurray'],['German']
The Fan,"['Madeleine Carroll', ' Jeanne Crain', ' Richard Greene', ' George Sanders']",['Richard Greene'],
Father Was a Fullback,"['Fred MacMurray', "" Maureen O'Hara"", ' Rudy Vallée']",['Fred MacMurray'],['German']
Feudin' Rhythm,"['Eddy Arnold', ' Gloria Henry', ' Kirby Grant']",['Eddy Arnold'],
Fighting Fools,"['Leo Gorcey', ' Huntz Hall', ' Lyle Talbot']",['Leo Gorcey'],
The Fighting Kentuckian,"['John Wayne', ' Oliver Hardy', ' Vera Ralston']",['John Wayne'],"['English', 'ScotsIrishNorthern', 'Irish', 'Irish']"
Fighting Man of the Plains,"['Randolph Scott', ' Jane Nigh']",['Randolph Scott'],
The Fighting O'Flynn,"['Douglas Fairbanks Jr.', ' Helena Carter']",['Douglas Fairbanks Jr.'],"['Ashkenazi', 'Jewish', 'English', 'Scottish']"
The Fighting Redhead,['Jim Bannon'],['Jim Bannon'],
Flame of Youth,"['Barbra Fuller', ' Danny Sue Nolan']",['Danny Sue Nolan'],
Flaming Fury,"['George Cooper', ' Roy Roberts']",['George Cooper'],
Flamingo Road,"['Joan Crawford', ' Zachary Scott', ' Sydney Greenstreet']",['Zachary Scott'],
Flaxy Martin,"['Virginia Mayo', ' Dorothy Malone', ' Zachary Scott']",['Zachary Scott'],
Follow Me Quietly,"['William Lundigan', ' Dorothy Patrick']",['William Lundigan'],
The Forbidden Street,"[""Maureen O'Hara"", ' Dana Andrews']",[],
Forgotten Women,"['Elyse Knox', ' Edward Norris']",['Edward Norris'],
The Fountainhead,"['Gary Cooper', ' Patricia Neal', ' Raymond Massey']",['Gary Cooper'],['English']
Free for All,"['Robert Cummings', ' Ann Blyth']",['Robert Cummings'],"['German', 'English', 'Irish']"
Frontier Investigator,"['Allan Lane', ' Gail Davis']",['Allan Lane'],
The Gal Who Took the West,"['Yvonne De Carlo', ' Scott Brady']",['Scott Brady'],
The Gay Amigo,"['Duncan Renaldo', ' Armida']",['Duncan Renaldo'],
The Girl from Jones Beach,"['Ronald Reagan', ' Virginia Mayo', ' Eddie Bracken']",['Ronald Reagan'],"['Irish25', 'Scottish25', 'English']"
The Golden Stallion,"['Roy Rogers', ' Dale Evans']",['Roy Rogers'],
The Great Dan Patch,"[""Dennis O'Keefe"", ' Gail Russell', ' Ruth Warrick']",[],
The Great Gatsby,"['Alan Ladd', ' Ruth Hussey', ' Betty Field']",['Alan Ladd'],"['English', 'Irish']"
The Great Lover,"['Bob Hope', ' Rhonda Fleming']",['Bob Hope'],"['English', 'Welsh']"
The Great Sinner,"['Gregory Peck', ' Ava Gardner', ' Melvyn Douglas']",['Gregory Peck'],"['Irish', 'English', 'German', 'Welsh']"
Gun Law Justice,"['Jimmy Wakely', ' Jane Adams']",['Jimmy Wakely'],
Gun Runner,"['Jimmy Wakely', ' Noel Neill']",['Jimmy Wakely'],
The Hasty Heart,"['Ronald Reagan', ' Patricia Neal', ' Richard Todd']",['Ronald Reagan'],"['Irish25', 'Scottish25', 'English']"
The Heiress,"['Olivia de Havilland', ' Montgomery Clift', ' Ralph Richardson']",['Montgomery Clift'],"['English', 'Scottish', 'Dutch', 'German', 'French']"
Hellfire,"['Wild Bill Elliott', ' Marie Windsor', ' Forrest Tucker']",['Wild Bill Elliott'],
Hideout,"['Lloyd Bridges', ' Lorna Gray']",['Lloyd Bridges'],
Hold That Baby!,"['Leo Gorcey', ' Huntz Hall']",['Leo Gorcey'],
Holiday Affair,"['Robert Mitchum', ' Janet Leigh']",['Robert Mitchum'],"['Welsh', 'Norwegian']"
Holiday in Havana,"['Desi Arnaz', ' Mary Hatcher', ' Ann Doran']",[],
Home in San Antone,"['Roy Acuff', ' Lyn Thomas']",['Roy Acuff'],
Home of the Brave,"['Jeff Corey', ' Lloyd Bridges']",['Jeff Corey'],
Homicide,"['Robert Douglas', ' Helen Westcott']",['Robert Douglas'],
Horsemen of the Sierras,"['Charles Starrett', ' Smiley Burnette']",['Charles Starrett'],
The House Across the Street,"['Wayne Morris', ' Janis Paige']",['Wayne Morris'],
House of Strangers,"['Edward G. Robinson', ' Susan Hayward', ' Richard Conte', ' Efrem Zimbalist Jr.']",['Edward G. Robinson'],"['Ashkenazi', 'Jewish']"
I Cheated the Law,"['Tom Conway', ' Barbara Billingsley']",['Tom Conway'],
I Married a Communist,"['Laraine Day', ' Robert Ryan', ' John Agar']",['Robert Ryan'],
I Shot Jesse James,"['Preston Foster', ' John Ireland']",['Preston Foster'],
I Was a Male War Bride,"['Cary Grant', ' Ann Sheridan']",[],
Illegal Entry,"['Märta Torén', ' Howard Duff']",['Howard Duff'],
Impact,"['Brian Donlevy', ' Ella Raines', ' Charles Coburn']",['Brian Donlevy'],"['Northern', 'Irish']"
Incident,"['Jane Frazee', ' Joyce Compton']",[],
In the Good Old Summertime,"['Judy Garland', ' Van Johnson', ' Buster Keaton']",['Van Johnson'],"['German', 'Irish']"
The Inspector General,"['Danny Kaye', ' Walter Slezak', ' Barbara Bates']",['Danny Kaye'],"['Ashkenazi', 'Jewish']"
Intruder in the Dust,"['David Brian', ' Claude Jarman Jr.']",['David Brian'],
It Happens Every Spring,"['Ray Milland', ' Jean Peters', ' Paul Douglas']",['Ray Milland'],['Welsh']
It's a Great Feeling,"['Doris Day', ' Jack Carson', ' Dennis Morgan']",['Jack Carson'],
Jiggs and Maggie in Jackpot Jitters,"['Joe Yule', ' Renie Riano']",['Joe Yule'],
Jigsaw,"['Franchot Tone', ' Jean Wallace']",['Franchot Tone'],
Joe Palooka in the Big Fight,"['Leon Errol', ' Joe Kirkwood', ' Lina Romay']",['Leon Errol'],
Joe Palooka in the Counterpunch,"['Leon Errol', ' Joe Kirkwood', ' Elyse Knox']",['Leon Errol'],
John Loves Mary,"['Ronald Reagan', ' Jack Carson', ' Wayne Morris', ' Patricia Neal']",['Ronald Reagan'],"['Irish25', 'Scottish25', 'English']"
