0,1,Males,Ethnicity
Across the Plains,"['Addison Randall', ' Frank Yaconelli']",['Frank Yaconelli'],
The Adventures of Huckleberry Finn,"['Mickey Rooney', ' Walter Connolly', ' William Frawley']",['Walter Connolly'],
The Adventures of Jane Arden,"['Rosella Towne', ' William Gargan', ' James Stephenson']",['William Gargan'],
The Adventures of Sherlock Holmes,"['Basil Rathbone', ' Nigel Bruce', ' Ida Lupino']",['Basil Rathbone'],"['English', 'Irish']"
Adventures of the Masked Phantom,"['Monte Rawlins', ' Betty Burgess']",['Monte Rawlins'],
All Women Have Secrets,"['Virginia Dale', ' Joseph Allen', ' Jeanne Cagney']",['Joseph Allen'],
Allegheny Uprising,"['Claire Trevor', ' John Wayne', ' George Sanders', ' Brian Donlevy']",['John Wayne'],"['English', 'ScotsIrishNorthern', 'Irish', 'Irish']"
Almost a Gentleman,"['James Ellison', ' June Clayworth']",['James Ellison'],['English']
The Amazing Mr. Williams,"['Melvyn Douglas', ' Joan Blondell', ' Clarence Kolb', ' Ruth Donnelly']",['Melvyn Douglas'],"['Jewish', 'English', 'Scottish']"
Ambush,"['Lloyd Nolan', ' Gladys Swarthout']",['Lloyd Nolan'],
Andy Hardy Gets Spring Fever,"['Lewis Stone', ' Mickey Rooney', ' Cecilia Parker', ' Fay Holden']",['Lewis Stone'],
The Angels Wash Their Faces,"['Ann Sheridan', ' Ronald Reagan', ' Billy Halop', ' Bernard Punsly', ' Leo Gorcey']",['Ronald Reagan'],"['Irish25', 'Scottish25', 'English']"
Another Thin Man,"['William Powell', ' Myrna Loy', ' Virginia Grey', '  Otto Kruger']",['William Powell'],
The Arizona Kid,"['Roy Rogers', ' George ""Gabby"" Hayes', ' Sally March']",['Roy Rogers'],
Arizona Legion,"[""George O'Brien"", ' Laraine Day', ' Carlyle Moore Jr.', ' Chill Wills']",['Carlyle Moore Jr.'],
The Arizona Wildcat,"['Jane Withers', ' Leo Carrillo']",['Leo Carrillo'],
Arrest Bulldog Drummond,"['John Howard', ' Heather Angel', ' H. B. Warner', ' Reginald Denny']",['John Howard'],"['English', 'Scottish', 'Irish', 'Northern', 'Irish']"
At the Circus,"['Marx Brothers', ' Kenny Baker', ' Florence Rice', ' Eve Arden', ' Margaret Dumont']",['Marx Brothers'],
Babes in Arms,"['Mickey Rooney', ' Judy Garland', ' Charles Winninger', ' Guy Kibbee']",['Charles Winninger'],
Bachelor Mother,"['Ginger Rogers', ' David Niven']",['David Niven'],"['English', 'Scottish', 'French']"
Back Door to Heaven,"['Wallace Ford', ' Aline MacMahon']",['Wallace Ford'],
Bad Boy,"['Johnny Downs', ' Rosalind Keith']",['Johnny Downs'],
Bad Lands,"['Robert Barrat', ' Douglas Walton']",['Robert Barrat'],
Bad Little Angel,"['Virginia Weidler', ' Gene Reynolds', ' Guy Kibbee']",['Gene Reynolds'],"['Ashkenazi', 'Jewish25', 'English']"
Balalaika,"['Nelson Eddy', ' Ilona Massey', ' Charles Ruggles', ' Frank Morgan']",['Nelson Eddy'],
Barricade,"['Alice Faye', ' Warner Baxter']",['Warner Baxter'],['English']
