0,1,Males,Ethnicity
Acting on Impulse,"['C. Thomas Howell', ' Linda Fiorentino', ' Nancy Allen']",[],
Addams Family Values,"['Anjelica Huston', ' Raúl Juliá', ' Christopher Lloyd', ' Christina Ricci', ' Joan Cusack']",['Raúl Juliá'],
The Adventures of Huck Finn,['Elijah Wood'],['Elijah Wood'],"['German25', 'Danish25', 'English', 'Irish125', 'Austrian']"
The Age of Innocence,"['Daniel Day-Lewis', ' Michelle Pfeiffer', ' Winona Ryder']",['Daniel Day-Lewis'],"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
Aileen Wuornos: The Selling of a Serial Killer,['Aileen Wuornos'],[],
Airborne,"['Shane McDermott', ' Seth Green']",['Shane McDermott'],
Alive,"['Ethan Hawke', ' Vincent Spano', ' Josh Hamilton']",['Ethan Hawke'],"['English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'German']"
Amos & Andrew,"['Nicolas Cage', ' Samuel L. Jackson']",['Nicolas Cage'],"['Italian25', 'Polish1875', 'German625', 'British', 'Isles', 'English', 'Scottish']"
Another Stakeout,"['Richard Dreyfuss', ' Emilio Estevez', "" Rosie O'Donnell""]",['Richard Dreyfuss'],"['Ashkenazi', 'Jewish']"
Arizona Dream,"['Johnny Depp', ' Jerry Lewis', ' Faye Dunaway']",['Johnny Depp'],"['English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'FrenchCanadian', 'Dutch', 'Flemish', 'Belgian', 'German', 'African']"
Evil Dead 3: Army of Darkness,"['Bruce Campbell', ' Embeth Davidtz']",['Bruce Campbell'],"['Scottish', 'English']"
Aspen Extreme,"['Paul Gross', ' Peter Berg', ' Finola Hughes', ' Teri Polo']",['Paul Gross'],"['Irish', 'Scottish', 'German']"
The Ballad of Little Jo,"['Suzy Amis', ' Bo Hopkins', ' Ian McKellen', ' Heather Graham']",['Ian McKellen'],"['Scottish', 'Northern', 'Irish', 'English']"
Bank Robber,"['Patrick Dempsey', ' Lisa Bonet', ' Judge Reinhold']",['Patrick Dempsey'],"['German', 'English', 'Scottish', 'Swedish', 'Native', 'American']"
Batman: Mask of the Phantasm,"['Voices of Kevin Conroy', ' Dana Delany']",[],
Beethoven's 2nd,"['Charles Grodin', ' Bonnie Hunt', ' Debi Mazar', ' Chris Penn']",['Charles Grodin'],"['Ashkenazi', 'Jewish']"
Benny & Joon,"['Johnny Depp', ' Mary Stuart Masterson', ' Aidan Quinn']",['Johnny Depp'],"['English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'FrenchCanadian', 'Dutch', 'Flemish', 'Belgian', 'German', 'African']"
Best of the Best 2,"['Eric Roberts', ' Chris Penn']",['Eric Roberts'],"['English', 'German', 'Swedish', 'Irish', 'Scottish', 'Welsh', 'French']"
The Beverly Hillbillies,"['Cloris Leachman', ' Jim Varney', ' Lily Tomlin', ' Dabney Coleman', ' Erika Eleniak', ' Diedrich Bader', ' Lea Thompson', ' Rob Schneider', ' Dolly Parton']",['Jim Varney'],"['English', 'Scottish', 'German', 'Dutch']"
Blood In Blood Out,"['Jesse Borrego', ' Benjamin Bratt', ' Damian Chapa', ' Delroy Lindo']",['Jesse Borrego'],
"Bodies, Rest & Motion","['Phoebe Cates', ' Bridget Fonda', ' Tim Roth', ' Eric Stoltz']",['Tim Roth'],"['Irish', 'English']"
Body of Evidence,"['Willem Dafoe', ' Madonna', ' Joe Mantegna', ' Anne Archer', ' Julianne Moore', ' Jürgen Prochnow']",['Willem Dafoe'],"['German', 'English', 'Irish', 'Northern', 'Irish', 'Scottish', 'SwissFrench', 'French']"
Body Snatchers,"['Gabrielle Anwar', ' R. Lee Ermey', ' Terry Kinney', ' Meg Tilly', ' Forest Whitaker', ' Billy Wirth']",['Forest Whitaker'],['AfricanAmerican']
Boiling Point,"['Wesley Snipes', ' Dennis Hopper', ' Lolita Davidovich', ' Viggo Mortensen']",['Wesley Snipes'],['AfricanAmerican']
Bopha!,"['Danny Glover', ' Malcolm McDowell', ' Alfre Woodard']",['Danny Glover'],['AfricanAmerican']
Born Yesterday,"['Melanie Griffith', ' Don Johnson', ' John Goodman']",['Don Johnson'],"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Dutch', 'French', 'Huguenot']"
