0,1,Males,Ethnicity
"JANUARY
",['The Forest'],['The Forest'],
Thriller,['[4]\n'],[],
Sam WaterstonTim Blake NelsonKristen Stewart,['IFC Films'],[],
Ross Partridge,['Drama'],[],
"15
",['Tim Story'],['Tim Story'],
Universal PicturesSequel to Ride Along (2014),['13 Hours: The Secret Soldiers of Benghazi'],[],
Action,['[8]\n'],[],
Rob SchneiderHeather GrahamKen Jeong,['Lionsgate Films'],[],
Andrew Renzi,['Drama'],[],
"22
",['Dan Mazer'],['Dan Mazer'],
Lions Gate Entertainment,['The 5th Wave'],['The 5th Wave'],
Sci-fi,['[13]\n'],[],
Lauren CohanRupert Evans,[''],[],
Jacob Gentry,['Action'],[],
"29
",['Jennifer Yuh NelsonAlessandro Carloni'],[],
20th Century FoxSequel to the 2011 film Kung Fu Panda 2 and the third installment in the Kung Fu Panda franchise,['The Finest Hours'],['The Finest Hours'],
Drama,['\n'],[],
Marlon WayansKali HawkMike Epps,['Parody of the 2015 erotic romantic drama Fifty Shades of Grey'],[],
Gavin O'Connor,['ActionWestern'],[],
"FEBRUARY
","['Hail', ' Caesar!']",['Hail'],"['Ashkenazi', 'Jewishmaternal', 'Boholano', 'Filipino', 'AfricanAmericanmaternal', 'English', 'German', 'ScotsIrishNorthern', 'Irish', 'Scottish']"
Comedy,['[16]\n'],[],
Lily JamesSam RileyJack HustonMatt Smith,"['Based on the 2009 novel', ' Pride and Prejudice and Zombies by Seth Grahame-Smith that parodies the 1813 novel Pride and Prejudice by Jane Austen']",['Pride and Prejudice and Zombies by Seth Grahame-Smith that parodies the 1813 novel Pride and Prejudice by Jane Austen'],
Ross Katz,['Romance'],[],
"12
",['Tim Miller'],['Tim Miller'],
20th Century FoxBased on the Marvel Comics character of the same name,['Zoolander 2'],[],
Comedy,['\n'],[],
Dakota JohnsonRebel Wilson,['Based on the novel of the same name by Liz Tuccillo'],[],
Risen,['Joseph FiennesTom Felton'],['Joseph FiennesTom Felton'],
"
",['Robert Eggers'],['Robert Eggers'],
Directorial debut of Robert Eggers,['Race'],[],
SportsDrama,['[18]\n'],[],
Alex Proyas,['FantasyAction'],[],
Triple 9,['Casey AffleckAaron Paul'],[],
"
",['Dexter Fletcher'],['Dexter Fletcher'],
"Biography of Eddie ""The Eagle"" Edwards, a British skier who in 1988 became the first competitor to represent Great Britain in Olympic ski jumping",['MARCH\n'],[],
Byron HowardRich Moore,['AnimationAdventure'],[],
London Has Fallen,['Gerard ButlerAaron Eckhart'],['Gerard ButlerAaron Eckhart'],
"
",['Glenn FicarraJohn Requa'],['Glenn FicarraJohn Requa'],
Biography based on the memoir The Taliban Shuffle: Strange Days in Afghanistan and Pakistan by Kim Barker,['The Other Side of the Door'],['The Other Side of the Door'],
Horror,['\n'],[],
Dan Trachtenberg,['Science fictionPsychological thriller'],[],
The Young Messiah,['Adam Greaves-NealSean BeanDavid Bradley'],['Adam Greaves-NealSean BeanDavid Bradley'],
"
",['Bille Woodruff'],[],
,"['Hello', ' My Name Is Doris']",[],
RomanceDramedy,['\n'],[],
Jennifer GarnerMartin Henderson,[''],[],
The Divergent Series: Allegiant,['Shailene WoodleyTheo JamesMiles TellerAnsel Elgort'],[],
"[20][21]
",['Bryan Buckley'],['Bryan Buckley'],
,['Midnight Special'],[],
Science fictionDramaSupernatural,['\n'],[],
Zack Snyder,['Action'],[],
My Big Fat Greek Wedding 2,['Nia VardalosJohn Corbett'],[],
"
",['Marc Abraham'],['Marc Abraham'],
"Biography of country music legend Hank Williams and his first wife Audrey WilliamsBased on the book Hank Williams: The Biography by Colin Escott, George Merritt, and William (Bill) MacEwen",['30\n'],[],
Will BrittainBlake JennerZoey DeutchTyler Hoechlin,"[""Spiritual sequel to Linklater's 1993 film Dazed and Confused""]",[],
"APRIL
","[""God's Not Dead 2""]",[],
Drama,['\n'],[],
Mike EppsGary Owen,['Parody of the 2013 film The Purge'],[],
Don Cheadle,['Musical drama'],[],
"8
",['Ben Falcone'],['Ben Falcone'],"['German25', 'Italian1875', 'Irish', 'English']"
,['Hardcore Henry'],[],
Science fictionAction,['\n'],[],
Jake GyllenhaalNaomi Watts,[''],[],
Karyn Kusama,['HorrorThriller'],[],
"15
",['Jon Favreau'],['Jon Favreau'],"['FrenchCanadian', 'German', 'Ashkenazi', 'Jewish']"
Walt Disney PicturesBased on the story of the same name by Rudyard Kipling,['Barbershop: The Next Cut'],[],
Comedy,['\n'],[],
Kevin CostnerGary Oldman,[''],[],
Jeremy Saulnier,['HorrorThriller'],[],
"22
",['Cedric Nicolas-Troyan'],['Cedric Nicolas-Troyan'],
Both a prequel and a sequel to Snow White and the Huntsman,['A Hologram for the King'],['A Hologram for the King'],
Dramedy,['[25]\n'],[],
Kevin SpaceyMichael Shannon,"['Focuses on the December 21', ' 1970 meeting between Richard Nixon and Elvis Presley at the White House']",[],
Keanu,['Jordan PeeleKeegan-Michael Key'],[],
"
",['Garry Marshall'],['Garry Marshall'],"['English', 'Scottish', 'Irish']"
,['Ratchet & Clank'],[],
Animation,['\n'],[],
Captain America: Civil War,['Chris EvansRobert Downey Jr.Sebastian Stan'],[],
"
",['Money Monster'],[],
Thriller,['\n'],[],
Kevin BaconRadha Mitchell,[''],[],
Whit Stillman,['Comedy'],[],
"20
",['Clay Kaytis'],['Clay Kaytis'],
Columbia PicturesBased on the video game of the same name,['Neighbors 2: Sorority Rising'],[],
