0,1,Males,Ethnicity
10,"['Dudley Moore', ' Julie Andrews', ' Bo Derek', ' Robert Webber', ' Brian Dennehy', ' Dee Wallace']",['Dudley Moore'],"['English', 'Welsh']"
1941,"['John Belushi', ' Ned Beatty', ' Dan Aykroyd', ' John Candy', ' Toshirō Mifune', ' Robert Stack', ' Warren Oates', ' Tim Matheson', ' Nancy Allen', ' Bobby Di Cicco', ' Treat Williams', ' Slim Pickens']",['John Belushi'],['Albanian']
Agatha,"['Dustin Hoffman', ' Vanessa Redgrave']",['Dustin Hoffman'],"['Ashkenazi', 'Jewish']"
Alien,"['Sigourney Weaver', ' Tom Skerritt', ' Harry Dean Stanton', ' Veronica Cartwright', ' John Hurt', ' Ian Holm', ' Yaphet Kotto']",['Tom Skerritt'],"['English', 'German']"
The Alien Encounters,['Bonnie Henry'],[],
All That Jazz,"['Roy Scheider', ' Jessica Lange', ' Ann Reinking', ' Ben Vereen']",['Roy Scheider'],"['German', 'Irish']"
An Almost Perfect Affair,"['Monica Vitti', ' Keith Carradine']",['Keith Carradine'],
Americathon,"['John Ritter', ' Harvey Korman', ' Fred Willard']",['John Ritter'],"['English', 'Scottish', 'German', 'Dutch', 'French']"
The Amityville Horror,"['James Brolin', ' Margot Kidder', ' Rod Steiger']",['James Brolin'],"['English', 'SwissGerman', 'German', 'Scottish', 'Irish']"
...And Justice for All,"['Al Pacino', ' John Forsythe', ' Christine Lahti', ' Jack Warden', ' Jeffrey Tambor']",['Al Pacino'],"['Italian', 'Sicilian', 'Neapolitan']"
Angels' Brigade,"['Sylvia Anderson', ' Peter Lawford', ' Jim Backus', ' Jack Palance']",['Peter Lawford'],"['English', 'Scottish']"
Apocalypse Now,"['Martin Sheen', ' Marlon Brando', ' Robert Duvall', ' Frederic Forrest', ' Sam Bottoms', ' Laurence Fishburne', ' Dennis Hopper', ' Albert Hall']",['Martin Sheen'],"['Spanish', 'Irish']"
The Apple Dumpling Gang Rides Again,"['Tim Conway', ' Don Knotts', ' Tim Matheson']",['Tim Conway'],['Romanian']
Ashanti,"['Michael Caine', ' Peter Ustinov', ' Beverly Johnson']",['Michael Caine'],"['English', 'Irish']"
Avalanche Express,"['Lee Marvin', ' Robert Shaw', ' Joe Namath']",['Robert Shaw'],
Baby Snakes,"['Frank Zappa', ' Dale Bozzio']",['Frank Zappa'],"['Italian', 'Sicilian', 'Neapolitan']"
Being There,"['Peter Sellers', ' Shirley MacLaine', ' Melvyn Douglas', ' Richard Basehart', ' Richard A. Dysart', ' Jack Warden']",['Peter Sellers'],"['Sephardi', 'Jewish', 'Ashkenazi', 'Jewish']"
The Bell Jar,"['Marilyn Hassett', ' Julie Harris', ' Jameson Parker']",['Jameson Parker'],
Beneath the Valley of the Ultra-Vixens,"['Ken Kerr', ' Kitten Natividad', ' Uschi Digard']",['Ken Kerr'],
Best Boy,"['Philip Wohl', ' Zero Mostel']",['Philip Wohl'],
Beyond the Poseidon Adventure,"['Michael Caine', ' Sally Field', ' Telly Savalas', ' Shirley Jones', ' Karl Malden', ' Mark Harmon']",['Michael Caine'],"['English', 'Irish']"
Birth of The Beatles,"['Stephen MacKenna', ' Rod Culbertson']",['Stephen MacKenna'],
The Black Hole,"['Ernest Borgnine', ' Anthony Perkins', ' Yvette Mimieux', ' Maximilian Schell']",['Ernest Borgnine'],['Italian']
