0,1,Males,Ethnicity
" 10,000 BC","['Steven Strait', ' Camilla Belle', ' Cliff Curtis']",['Steven Strait'],['Italian']
21,"['Jim Sturgess', ' Kevin Spacey', ' Kate Bosworth', ' Laurence Fishburne']",['Jim Sturgess'],['English']
27 Dresses,"['Katherine Heigl', ' James Marsden', ' Malin Åkerman', ' Edward Burns', ' Judy Greer']",['James Marsden'],"['English', 'German', 'Scottish', 'French']"
88 Minutes,"['Al Pacino', ' Alicia Witt', ' Leelee Sobieski', ' Amy Brenneman', ' Deborah Kara Unger', ' Benjamin McKenzie', ' William Forsythe', ' Neal McDonough']",['Al Pacino'],"['Italian', 'Sicilian', 'Neapolitan']"
 The Accidental Husband,"['Uma Thurman', ' Jeffrey Dean Morgan', ' Colin Firth']",['Jeffrey Dean Morgan'],"['Welsh', 'Irish']"
An American Carol,"['Kevin Farley', ' Kelsey Grammer', ' Jon Voight']",['Kevin Farley'],
American Teen,['The stereotypes of High school'],['The stereotypes of High school'],
Appaloosa,"['Ed Harris', ' Viggo Mortensen', ' Renée Zellweger', ' Jeremy Irons']",['Ed Harris'],"['English', 'German', 'Scottish', 'Welsh']"
August,"['Naomie Harris', ' Josh Hartnett', ' Rip Torn', ' Adam Scott']",['Josh Hartnett'],"['Swedish25', 'Irish25', 'German1875', 'Norwegian']"
 Baby Mama,"['Tina Fey', ' Amy Poehler', ' Greg Kinnear', ' Dax Shepard', ' Romany Malco']",['Greg Kinnear'],"['English', 'German', 'Scottish', 'Irish', 'ScotsIrishNorthern', 'Irish']"
Babylon A.D.,"['Vin Diesel', ' Michelle Yeoh', ' Melanie Thierry', ' Lambert Wilson', ' Mark Strong', ' Charlotte Rampling', ' Gérard Depardieu']",['Vin Diesel'],"['Scottish', 'English', 'German', 'Irish', 'Austrianbiological', 'AfricanAmerican']"
Ballast,"['Michael J. Smith', ' Sr.']",['Michael J. Smith'],
Bangkok Dangerous,['Nicolas Cage'],['Nicolas Cage'],"['Italian25', 'Polish1875', 'German625', 'British', 'Isles', 'English', 'Scottish']"
Be Kind Rewind,"['Jack Black', ' Mos Def', ' Danny Glover']",['Jack Black'],"['German', 'Northern', 'Irish', 'Scottish', 'English', 'French', 'Welsh', 'Judaism', 'Ashkenazi', 'Jewish']"
Bedtime Stories,"['Adam Sandler', ' Keri Russell', ' Guy Pearce', ' Teresa Palmer']",['Adam Sandler'],"['Ashkenazi', 'Jewish']"
Beer for My Horses,"['Toby Keith', ' Rodney Carrington', ' Willie Nelson']",['Rodney Carrington'],
The Betrayal - Nerakhoon,['an immigrant from Laos living in New York City'],[],
Beverly Hills Chihuahua,"['Jamie Lee Curtis', ' George Lopez', ' Drew Barrymore', ' Andy García']",['George Lopez'],"['Mestizo', 'Mexican']"
Body of Lies,"['Leonardo DiCaprio', ' Russell Crowe']",['Leonardo DiCaprio'],"['German', 'German', 'Russian']"
Bolt,"['John Travolta', ' Miley Cyrus']",['John Travolta'],"['ItalianSicilian50', 'Irish']"
The Boy in the Striped Pyjamas,"['Vera Farmiga', ' Jack Scanlon', ' David Thewlis', ' Asa Butterfield']",['Jack Scanlon'],
The Brothers Bloom,"['Rachel Weisz', ' Adrien Brody', ' Mark Ruffalo']",['Mark Ruffalo'],"['Italian25', 'FrenchFrenchCanadian']"
Burn After Reading,"['George Clooney', ' Frances McDormand', ' John Malkovich', ' Tilda Swinton', ' Brad Pitt', ' Richard Jenkins']",['George Clooney'],"['Irish', 'English', 'German', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'Huguenot', 'Dutch']"
 Cadillac Records,"['Adrien Brody', ' Jeffrey Wright', ' Beyoncé Knowles']",['Jeffrey Wright'],['AfricanAmerican']
Changeling,['Angelina Jolie'],[],
Chaos Theory,"['Ryan Reynolds', ' Emily Mortimer', ' Stuart Townsend', ' Sarah Chalke']",['Ryan Reynolds'],"['Irish', 'Scottish', 'Northern', 'Irish', 'Luxembourgish', 'English', 'Dutch']"
Che,"['Benicio del Toro', ' Franka Potente', ' Catalina Sandino Moreno']",['Benicio del Toro'],"['Puerto', 'Rican', 'SpanishCatalan', 'IndigenousTaíno', 'Basque', 'Italian']"
Choke,"['Sam Rockwell', ' Anjelica Huston', ' Kelly Macdonald']",['Sam Rockwell'],"['German', 'Irish', 'English', 'Dutch']"
The Chronicles of Narnia: Prince Caspian,"['Ben Barnes', ' William Moseley', ' Anna Popplewell', ' Skandar Keynes']",['Ben Barnes'],"['DutchGerman', 'Jewish']"
City of Ember,"['Bill Murray', ' Tim Robbins', ' Saoirse Ronan']",['Bill Murray'],['Irish']
Cloverfield,"['Michael Stahl-David', ' Mike Vogel', ' Odette Yustman', ' Lizzy Caplan']",['Michael Stahl-David'],"['German', 'Welsh', 'Irish']"
College,"['Drake Bell', ' Kevin Covais', ' Andrew Caldwell', ' Haley Bennett']",['Drake Bell'],"['English', 'Scottish', 'Scandinavian']"
College Road Trip,"['Raven-Symoné', ' Martin Lawrence']",['Martin Lawrence'],['AfricanAmerican']
The Curious Case of Benjamin Button,"['Brad Pitt', ' Cate Blanchett', ' Tilda Swinton', ' Taraji P. Henson']",['Brad Pitt'],"['English', 'ScotsIrishNorthern', 'Irish', 'German', 'Scottish', 'Welsh', 'Irish', 'Swedish', 'Dutch', 'French', 'Cornish', 'Channel', 'IslanderJersey']"
 The Dark Knight,"['Christian Bale', ' Michael Caine', ' Heath Ledger', ' Gary Oldman', ' Aaron Eckhart', ' Maggie Gyllenhaal', ' Morgan Freeman', ' Anthony Michael Hall', ' Eric Roberts']",['Christian Bale'],"['English', 'Channel', 'Islander', 'Guernsey', 'German']"
The Day the Earth Stood Still,"['Keanu Reeves', ' Jennifer Connelly', ' Jaden Smith', ' Kathy Bates']",['Keanu Reeves'],"['Native', 'Hawaiian', 'Portuguese', 'English', 'Scottish', 'Chinese', 'Dutch', 'English']"
Deal,"['Bret Harrison', ' Burt Reynolds', ' Shannon Elizabeth']",['Bret Harrison'],
The Deal,"['Meg Ryan', ' Jason Ritter', ' LL Cool J']",['Jason Ritter'],"['English', 'German', 'Scottish', 'Dutch', 'French', 'Welsh', 'Irish']"
Death Race,"['Jason Statham', ' Tyrese Gibson', ' Joan Allen', ' Ian McShane']",['Jason Statham'],['English']
Deception,"['Ewan McGregor', ' Hugh Jackman', ' Michelle Williams', ' Maggie Q']",['Ewan McGregor'],"['Scottish', 'German']"
