Year,Actor,Role,Movie,Link, Winner,Ethnicity
1997,Robert Duval,"Euliss ""Sonny"" Dewey",The Apostle,https://en.wikipedia.org//wiki/The_Apostle,False,"['English', 'German', 'SwissGerman', 'French', 'Welsh', 'Scottish']"
1997,Peter Fond,"Ulysses ""Ulee"" Jackson",Ulee's Gold,https://en.wikipedia.org//wiki/Ulee%27s_Gold,False,"['Dutch', 'English', 'Scottish', 'FrenchCanadian', 'Italian', 'German', 'Belgian', 'Flemish', 'Norwegian', 'Cornish']"
1997,Dustin Hoffma,Stanley Motss,Wag the Dog,https://en.wikipedia.org//wiki/Wag_the_Dog,False,"['Ashkenazi', 'Jewish']"
1998,Roberto Benigni,Guido Orefice,Life Is Beautiful,https://en.wikipedia.org//wiki/Life_Is_Beautiful,True,['Italian']
1998,Tom Hank,Captain John H. Miller,Saving Private Ryan,https://en.wikipedia.org//wiki/Saving_Private_Ryan,False,"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
1998,Ian McKelle,James Whale,Gods and Monsters,https://en.wikipedia.org//wiki/Gods_and_Monsters_(film),False,"['Scottish', 'Northern', 'Irish', 'English']"
1998,Nick Nolt,Wade Whitehouse,Affliction,https://en.wikipedia.org//wiki/Affliction_(1997_film),False,"['German', 'English', 'Scottish', 'Northern', 'Irish', 'ScotsIrish', 'SwissGerman']"
1998,Edward Norto,Derek Vinyard,American History X,https://en.wikipedia.org//wiki/American_History_X,False,"['English', 'German', 'ScotsIrishNorthern', 'Irish', 'SwissGerman']"
1999,Kevin Spacey,Lester Burnham,American Beauty,https://en.wikipedia.org//wiki/American_Beauty_(1999_film),True,"['Swedish', 'English', 'Welsh']"
1999,Russell Crow,Jeffrey Wigand,The Insider,https://en.wikipedia.org//wiki/The_Insider_(film),False,"['Welsh', 'English', 'Scottish', 'Irish', 'Māori', 'Norwegian', 'Swedish', 'German', 'Italian']"
1999,Richard Farnswort,Alvin Straight,The Straight Story,https://en.wikipedia.org//wiki/The_Straight_Story,False,[]
1999,Sean Pen,Emmet Ray,Sweet and Lowdown,https://en.wikipedia.org//wiki/Sweet_and_Lowdown,False,"['Jewish', 'Italian', 'Irish']"
