year,actor,movie,winner,ethnicity
1967,Warren Beatty,Bonnie and Clyde,False,"['English', 'Scottish', 'Irish', 'French', 'Danish', 'Dutch']"
1967,Paul Newman,Cool Hand Luke,False,"['Jewish', 'Slovak']"
1967,Sidney Poitier,In the Heat of the Night,False,['AfricanBahamian']
1967,Spencer Tracy,Guess Who's Coming to Dinner,False,['English']
1968,Peter O'Toole,The Lion in Winter,True,"['Irish', 'Scottish']"
1968,Alan Arkin,The Heart Is a Lonely Hunter,False,"['Ashkenazi', 'Jewish']"
1968,Alan Bates,The Fixer,False,[]
1968,Tony Curtis,The Boston Strangler,False,"['Ashkenazi', 'Jewish']"
1968,Cliff Robertson,Charly,False,"['English', 'German']"
1969,John Wayne,True Grit,True,"['English', 'ScotsIrishNorthern', 'Irish', 'Irish']"
1969,Alan Arkin,Popi,False,"['Ashkenazi', 'Jewish']"
1969,Richard Burton,Anne of the Thousand Days,False,['Welsh']
1969,Dustin Hoffman,Midnight Cowboy,False,"['Ashkenazi', 'Jewish']"
1969,Dustin Hoffman,Midnight Cowboy,False,"['Ashkenazi', 'Jewish']"
1970,George C. Scott,Patton,True,"['English', 'German', 'Irish', 'Scottish']"
1970,Melvyn Douglas,I Never Sang for My Father,False,"['Jewish', 'English', 'Scottish']"
1970,James Earl Jones,The Great White Hope,False,['AfricanAmerican']
1970,Jack Nicholson,Five Easy Pieces,False,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
1970,Ryan O'Neal,Love Story,False,"['Irish', 'English25', 'Ashkenazi', 'Jewish']"
1971,Gene Hackman,The French Connection,True,"['English', 'German', 'Scottish', 'Dutch']"
1971,Peter Finch,Sunday Bloody Sunday,False,"['English', 'Scottish']"
1971,Malcolm McDowell,A Clockwork Orange,False,"['English', 'Scottish', 'Irish']"
1971,Jack Nicholson,Carnal Knowledge,False,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
1971,George C. Scott,The Hospital,False,"['English', 'German', 'Irish', 'Scottish']"
1972,Marlon Brando,The Godfather,True,"['English', 'Irish', 'German', 'Dutch', 'French', 'Huguenot', 'Welsh', 'Scottish']"
1972,Michael Caine,Sleuth,False,"['English', 'Irish']"
1972,Michael Caine,Sleuth,False,"['English', 'Irish']"
1972,Al Pacino,The Godfather,False,"['Italian', 'Sicilian', 'Neapolitan']"
1972,Jon Voight,Deliverance,False,['German']
1973,Al Pacino,Serpico,True,"['Italian', 'Sicilian', 'Neapolitan']"
1973,Robert Blake,Electra Glide in Blue,False,['Italian']
1973,Jack Lemmon,Save the Tiger,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1973,Steve McQueen,Papillon,False,"['Scottish', 'English', 'ScotsIrishNorthern', 'Irish', 'German', 'Cornish', 'Dutch', 'Welsh']"
1973,Jack Nicholson,The Last Detail,False,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
1974,Jack Nicholson,Chinatown,True,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
1974,James Caan,The Gambler,False,"['Ashkenazi', 'Jewish']"
1974,Gene Hackman,The Conversation,False,"['English', 'German', 'Scottish', 'Dutch']"
1974,Dustin Hoffman,Lenny,False,"['Ashkenazi', 'Jewish']"
1974,Al Pacino,The Godfather Part II,False,"['Italian', 'Sicilian', 'Neapolitan']"
1975,Jack Nicholson,One Flew Over the Cuckoo's Nest,True,"['Irish', 'Scottish', 'English', 'Pennsylvania', 'DutchGerman', 'Welshbiological', 'Italian', 'Latvian', 'Ashkenazi', 'Jewish', 'Baltic', 'German']"
1975,Gene Hackman,French Connection II,False,"['English', 'German', 'Scottish', 'Dutch']"
1975,Al Pacino,Dog Day Afternoon,False,"['Italian', 'Sicilian', 'Neapolitan']"
1975,Maximilian Schell,The Man in the Glass Booth,False,"['SwissGerman', 'Austrian']"
1975,James Whitmore,"Give 'em Hell, Harry!",False,[]
1976,Peter Finch,Network,True,"['English', 'Scottish']"
1976,David Carradine,Bound for Glory,False,"['English', 'German', 'Scottish', 'Irish', 'Welsh', 'Dutch']"
1976,Robert De Niro,Taxi Driver,False,"['Italian', 'Irish', 'German', 'Dutch', 'English', 'French', 'Huguenot', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
1976,Dustin Hoffman,Marathon Man,False,"['Ashkenazi', 'Jewish']"
1976,Sylvester Stallone,Rocky,False,"['Italian25', 'French', 'Breton25', 'German', 'Ashkenazi', 'Jewish']"
1977,Richard Burton,Equus,True,['Welsh']
1977,Marcello Mastroianni,A Special Day,False,['Italian']
1977,Al Pacino,Bobby Deerfield,False,"['Italian', 'Sicilian', 'Neapolitan']"
1977,Gregory Peck,MacArthur,False,"['Irish', 'English', 'German', 'Welsh']"
1977,Henry Winkler,Heroes,False,"['Ashkenazi', 'Jewish']"
1978,Jon Voight,Coming Home,True,['German']
1978,Brad Davis,Midnight Express,False,[]
1978,Robert De Niro,The Deer Hunter,False,"['Italian', 'Irish', 'German', 'Dutch', 'English', 'French', 'Huguenot', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
1978,Anthony Hopkins,Magic,False,"['Welsh', 'English']"
1978,Gregory Peck,The Boys from Brazil,False,"['Irish', 'English', 'German', 'Welsh']"
1979,Dustin Hoffman,Kramer vs. Kramer,True,"['Ashkenazi', 'Jewish']"
1979,Jack Lemmon,The China Syndrome,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1979,Al Pacino,...And Justice for All,False,"['Italian', 'Sicilian', 'Neapolitan']"
1979,Jon Voight,The Champ,False,['German']
1979,James Woods,The Onion Field,False,"['Irish', 'English', 'German']"
1980,Robert De Niro,Raging Bull,True,"['Italian', 'Irish', 'German', 'Dutch', 'English', 'French', 'Huguenot', 'Scottish', 'ScotsIrishNorthern', 'Irish']"
1980,John Hurt,The Elephant Man,False,['English']
1980,Jack Lemmon,Tribute,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1980,Peter O'Toole,The Stunt Man,False,"['Irish', 'Scottish']"
1980,Donald Sutherland,Ordinary People,False,"['Scottish', 'English', 'German']"
1981,Henry Fonda,On Golden Pond,True,"['Dutch', 'English', 'Scottish', 'Norwegian', 'German', 'Italian']"
1981,Warren Beatty,Reds,False,"['English', 'Scottish', 'Irish', 'French', 'Danish', 'Dutch']"
1981,Timothy Hutton,Taps,False,"['English', 'Irish', 'Norwegian', 'German']"
1981,Burt Lancaster,Atlantic City,False,"['Northern', 'Irish', 'ScotsIrish']"
1981,Treat Williams,Prince of the City,False,"['English', 'Dutch', 'Irish', 'Scottish']"
