year,actor,movie,winner,ethnicity
2009,Morgan Freeman,Invictus,False,"['AfricanAmerican', 'English']"
2009,Tobey Maguire,Brothers,False,"['Irish', 'English', 'Austrian', 'Puerto', 'Rican', 'Danish', 'French', 'German']"
2010,Colin Firth,The King's Speech,True,"['English', 'Scottish', 'UlsterScotsNorthern', 'Irish']"
2010,Jesse Eisenberg,The Social Network,False,"['Ashkenazi', 'Jewish']"
2010,James Franco,127 Hours,False,"['Swedish', 'Ashkenazi', 'Jewish']"
2010,Ryan Gosling,Blue Valentine,False,"['FrenchCanadian', 'English', 'Scottish', 'Irish', 'German', 'AfricanAmerican']"
2010,Mark Wahlberg,The Fighter,False,"['Irish25', 'Swedish625', 'English625', 'FrenchCanadian3125', 'Scottish']"
2011,George Clooney,The Descendants,True,"['Irish', 'English', 'German', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'Welsh', 'French', 'Huguenot', 'Dutch']"
2011,Leonardo DiCaprio,J. Edgar,False,"['German', 'German', 'Russian']"
2011,Michael Fassbender,Shame,False,['Irish']
2011,Ryan Gosling,The Ides of March,False,"['FrenchCanadian', 'English', 'Scottish', 'Irish', 'German', 'AfricanAmerican']"
2011,Brad Pitt,Moneyball,False,"['English', 'ScotsIrishNorthern', 'Irish', 'German', 'Scottish', 'Welsh', 'Irish', 'Swedish', 'Dutch', 'French', 'Cornish', 'Channel', 'IslanderJersey']"
2012,Daniel Day-Lewis,Lincoln,True,"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
2012,Richard Gere,Arbitrage,False,"['English', 'ScotsIrishNorthern', 'Irish', 'Welsh', 'Dutch', 'Scottish', 'German', 'French']"
2012,John Hawkes,The Sessions,False,"['Norwegian', 'Swedish', 'Irish', 'English', 'Danish']"
2012,Joaquin Phoenix,The Master,False,"['English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'German', 'Irish', 'Welsh', 'French', 'Huguenot', 'Ashkenazi', 'Jewish']"
2012,Denzel Washington,Flight,False,['AfricanAmerican']
2013,Matthew McConaughey,Dallas Buyers Club,True,"['Irish', 'English', 'Scottish', 'German', 'Swedish', 'Welsh']"
2013,Chiwetel Ejiofor,12 Years a Slave,False,"['Igbo', 'Nigerian']"
2013,Idris Elba,Mandela: Long Walk to Freedom,False,"['Leonean', 'Ghanaian']"
2013,Tom Hanks,Captain Phillips,False,"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
2013,Robert Redford,All Is Lost,False,"['English', 'Irish', 'Scottish', 'Northern', 'IrishScotsIrish', 'Cornish']"
2014,Eddie Redmayne,The Theory of Everything,True,"['English', 'Irish', 'Scottish', 'Northern', 'Irish', 'Welsh']"
2014,Steve Carell,Foxcatcher,False,"['German', 'Polish']"
2014,Benedict Cumberbatch,The Imitation Game,False,"['English', 'Welsh', 'Scottish', 'Cornish', 'French', 'SwissFrench', 'Swedish', 'German', 'Dutch']"
2014,Jake Gyllenhaal,Nightcrawler,False,"['Swedish', 'English', 'SwissGerman', 'German', 'Scottish', 'Welsh', 'French', 'Ashkenazi', 'Jewish']"
2014,David Oyelowo,Selma,False,['Nigerian']
2015,Leonardo DiCaprio,The Revenant,True,"['German', 'German', 'Russian']"
2015,Bryan Cranston,Trumbo,False,"['German', 'SwissGerman25', 'IrishNorthern', 'Irish125', 'Ashkenazi', 'Jewish']"
2015,Michael Fassbender,Steve Jobs,False,['Irish']
2015,Eddie Redmayne,The Danish Girl,False,"['English', 'Irish', 'Scottish', 'Northern', 'Irish', 'Welsh']"
2015,Will Smith,Concussion,False,['AfricanAmerican']
2016,Casey Affleck,Manchester by the Sea,True,"['English', 'Irish', 'German', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'French', 'SwissGerman', 'Swedish', 'Welsh']"
2016,Joel Edgerton,Loving,False,['Dutch']
2016,Andrew Garfield,Hacksaw Ridge,False,"['Jewish', 'English']"
2016,Viggo Mortensen,Captain Fantastic,False,"['English', 'Scottish']"
2016,Denzel Washington,Fences,False,['AfricanAmerican']
2017,Gary Oldman,Darkest Hour,True,"['English', 'Irish']"
2017,Timothée Chalamet,Call Me by Your Name,False,[]
2017,Daniel Day-Lewis,Phantom Thread,False,"['English', 'Northern', 'Irish', 'Welsh', 'Ashkenazi', 'Jewish']"
2017,Tom Hanks,The Post,False,"['English', 'Cornish', 'German', 'Scottish', 'Welsh', 'Portuguese']"
2017,Denzel Washington,"Roman J. Israel, Esq.",False,['AfricanAmerican']
2018,Rami Malek,Bohemian Rhapsody,True,"['Egyptian125', 'Greek']"
2018,Bradley Cooper,A Star Is Born,False,['Italian']
2018,Willem Dafoe,At Eternity's Gate,False,"['German', 'English', 'Irish', 'Northern', 'Irish', 'Scottish', 'SwissFrench', 'French']"
2018,Lucas Hedges,Boy Erased,False,"['English', 'German', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'French', 'Welsh']"
2018,John David Washington,BlacKkKlansman,False,['AfricanAmerican']
2019,Joaquin Phoenix,Joker,True,"['English', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'German', 'Irish', 'Welsh', 'French', 'Huguenot', 'Ashkenazi', 'Jewish']"
2019,Christian Bale,Ford v. Ferrari,False,"['English', 'Channel', 'Islander', 'Guernsey', 'German']"
2019,Antonio Banderas,Pain and Glory,False,['Spanish']
2019,Adam Driver,Marriage Story,False,"['English', 'DutchFrisian', 'German', 'Irish', 'Scottish', 'ScotsIrishNorthern', 'Irish', 'Welsh', 'French', 'Swedish']"
2019,Jonathan Pryce,The Two Popes,False,['Welsh']
