5 Card Stud,"['Dean Martin', ' Robert Mitchum', ' Inger Stevens']","['Western', ' mystery']"
Jigsaw,"['Harry Guardino', ' Bradford Dillman', ' Hope Lange']",['Thriller']
Killers Three,"['Dick Clark', ' Robert Walker Jr.', ' Merle Haggard']",['Crime']
The Killing of Sister George,"['Beryl Reid', ' Coral Browne', ' Susannah York']",['Drama']
Kona Coast,"['Richard Boone', ' Vera Miles', ' Joan Blondell']",['Drama']
Lady in Cement,"['Frank Sinatra', ' Raquel Welch', ' Dan Blocker']",['Crime drama']
The Legend of Lylah Clare,"['Kim Novak', ' Peter Finch', ' Ernest Borgnine']",['Drama']
"Live a Little, Love a Little","['Elvis Presley', ' Michele Carey', ' Rudy Vallée']",['Comedy']
The Love Bug,"['Dean Jones', ' Michele Lee', ' David Tomlinson']",['Family']
A Lovely Way to Die,"['Kirk Douglas', ' Sylva Koscina', ' Eli Wallach']",['Drama']
Madigan,"['Richard Widmark', ' Henry Fonda', ' Inger Stevens', ' James Whitmore', ' Harry Guardino', ' Susan Clark']",['Crime drama']
Madigan's Millions,['Dustin Hoffman'],['Comedy']
The Magus,"['Michael Caine', ' Candice Bergen', ' Anthony Quinn']",['Drama']
A Man Called Dagger,"['Terry Moore', ' Sue Ane Langdon']",['Spy comedy']
The Mini-Skirt Mob,"['Diane McBain', ' Jeremy Slate', ' Sherry Jackson']",['Crime drama']
The Money Jungle,"['Lola Albright', ' John Ericson', ' Leslie Parrish']",['Crime drama']
Monterey Pop,"['Jimi Hendrix', ' Otis Redding', ' Simon & Garfunkel', ' The Mamas & the Papas', ' Jefferson Airplane', ' The Who']",['Documentary']
More Dead Than Alive,"['Clint Walker', ' Vincent Price', ' Anne Francis']",['Western']
The Movie Orgy,[''],['Documentary']
Never a Dull Moment,"['Dick Van Dyke', ' Dorothy Provine', ' Edward G. Robinson']",['Crime comedy']
The Night of the Following Day,"['Marlon Brando', ' Richard Boone', ' Rita Moreno']",['Crime drama']
Night of the Living Dead,"['Duane Jones', "" Judith O'Dea""]",['Horror']
The Night They Raided Minsky's,"['Jason Robards', ' Elliott Gould', ' Forrest Tucker']",['Comedy']
No Way to Treat a Lady,"['Rod Steiger', ' Lee Remick', ' George Segal']",['Thriller']
Nobody Runs Forever,"['Rod Taylor', ' Christopher Plummer']",['Drama']
Nobody's Perfect,"['Doug McClure', ' Nancy Kwan', ' James Whitmore']",['Comedy']
The Odd Couple,"['Jack Lemmon', ' Walter Matthau']",['Comedy']
"The One and Only, Genuine, Original Family Band","['Walter Brennan', ' Buddy Ebsen', ' Lesley Ann Warren', ' John Davidson', ' Kurt Russell']",['Family']
P.J.,"['George Peppard', ' Raymond Burr', ' Gayle Hunnicutt']",['Mystery']
Panic in the City,"['Howard Duff', ' Linda Cristal', ' Anne Jeffreys']",['Drama']
Paper Lion,"['Alan Alda', ' Lauren Hutton', ' Alex Karras']","['Biography', ' sports']"
The Party,"['Peter Sellers', ' Claudine Longet']",['Comedy']
Petulia,"['George C. Scott', ' Julie Christie']",['Drama']
The Pink Jungle,"['James Garner', ' George Kennedy']",['Adventure']
A Place for Lovers,"['Faye Dunaway', ' Marcello Mastroianni']",['Drama']
Planet of the Apes,"['Charlton Heston', ' Roddy McDowall', ' Maurice Evans', ' Kim Hunter']",['Science fiction']
The Power,"['Suzanne Pleshette', ' George Hamilton']",['Thriller']
Pretty Poison,"['Tuesday Weld', ' Anthony Perkins', ' Beverly Garland']",['Suspense']
The Private Navy of Sgt. O'Farrell,"['Bob Hope', ' Jeffrey Hunter', ' Phyllis Diller']",['War comedy']
The Producers,"['Zero Mostel', ' Gene Wilder', ' Kenneth Mars', ' Dick Shawn', ' Lee Meredith', ' Christopher Hewett']",['Comedy']
Psych-Out,"['Jack Nicholson', ' Susan Strasberg']",['Crime drama']
"Rachel, Rachel","['Joanne Woodward', ' James Olson']",['Drama']
Rogue's Gallery,"['Roger Smith', ' Dennis Morgan', ' Brian Donlevy']",['Mystery']
Rosemary's Baby,"['Mia Farrow', ' John Cassavetes', ' Charles Grodin', ' Ruth Gordon', ' Ralph Bellamy']",['Horror']
The Savage Seven,"['Robert Walker Jr.', ' Larry Bishop']",['Drama']
The Scalphunters,"['Burt Lancaster', ' Ossie Davis', ' Telly Savalas']",['Western']
The Sea Gull,"['Vanessa Redgrave', ' Simone Signoret', ' James Mason']",['Drama']
The Secret Life of an American Wife,"['Walter Matthau', ' Anne Jackson', "" Patrick O'Neal""]",['Comedy']
The Secret War of Harry Frigg,['Paul Newman'],['War comedy']
The Sergeant,"['Rod Steiger', ' John Phillip Law']",['Drama']
Sergeant Ryker,"['Lee Marvin', ' Bradford Dillman', ' Vera Miles']",['Drama']
The Shakiest Gun in the West,"['Don Knotts', ' Pat Morita', ' Jackie Coogan']",['Comedy']
Shalako,"['Sean Connery', ' Brigitte Bardot']",['Western']
She-Devils on Wheels,['Betty Connell'],['Biker film']
The Shoes of the Fisherman,"['Anthony Quinn', ' Laurence Olivier', ' David Janssen', ' Oskar Werner', ' Leo McKern', ' John Gielgud']",['Drama']
Single Room Furnished,['Jayne Mansfield'],['Drama']
Skidoo,"['Jackie Gleason', ' Carol Channing', ' Mickey Rooney', ' John Phillip Law', ' Groucho Marx']",['Comedy']
Sol Madrid,"['David McCallum', ' Stella Stevens', ' Telly Savalas']",['Crime']
Speedway,"['Elvis Presley', ' Nancy Sinatra']",['Musical']
Spirits of the Dead,"['Brigitte Bardot', ' Alain Delon', ' Jane Fonda', ' Peter Fonda']",['Anthology']
The Split,"['Jim Brown', ' Diahann Carroll', ' Gene Hackman', ' Julie Harris', ' Warren Oates', ' Donald Sutherland']",['Crime drama']
