The 49th Man,"['Richard Denning', ' John Ireland', ' Suzanne Dalbert']",['Suspense']
99 River Street,"['John Payne', ' Evelyn Keyes']",['Film noir']
"The 5,000 Fingers of Dr. T","['Tommy Rettig', ' Mary Healy']",['Musical fantasy']
Abbott and Costello Go to Mars,"['Abbott and Costello', ' Horace McMahon', ' Martha Hyer', ' Mari Blanchard']",['Comedy']
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,"['Abbott and Costello', ' Boris Karloff']",['Comedy']
Act of Love,"['Kirk Douglas', ' Dany Robin']",['Drama']
The Actress,"['Jean Simmons', ' Spencer Tracy', ' Teresa Wright']",['Drama']
The Affairs of Dobie Gillis,"['Debbie Reynolds', ' Bob Fosse']",['Musical comedy']
Affair with a Stranger,"['Jean Simmons', ' Victor Mature', ' Monica Lewis']",['Drama']
The All American,"['Tony Curtis', ' Lori Nelson', ' Mamie Van Doren']",['Sports drama']
All Ashore,"['Mickey Rooney', ' Dick Haymes']",['Musical']
All I Desire,"['Barbara Stanwyck', ' Richard Carlson', ' Lyle Bettger', ' Lori Nelson']",['Drama']
All the Brothers Were Valiant,"['Robert Taylor', ' Stewart Granger', ' Ann Blyth']",['Adventure']
Ambush at Tomahawk Gap,"['John Hodiak', ' John Derek']",['Western']
Angel Face,"['Robert Mitchum', ' Jean Simmons']",['Film noir']
Appointment in Honduras,"['Glenn Ford', ' Ann Sheridan', ' Zachary Scott']",['Adventure']
Arena,"['Gig Young', ' Jean Hagen', ' Polly Bergen']",['Drama']
Arrowhead,"['Charlton Heston', ' Jack Palance', ' Katy Jurado']",['Adventure']
Back to God's Country,"['Rock Hudson', ' Marcia Henderson', ' Steve Cochran']",['Adventure']
Bad for Each Other,"['Charlton Heston', ' Lizabeth Scott']",['Film Noir']
The Bandits of Corsica,"['Paula Raymond', ' Richard Greene', ' Raymond Burr']",['Adventure']
Bandits of the West,"['Allan Lane', ' Cathy Downs']",['Western']
The Band Wagon,"['Fred Astaire', ' Cyd Charisse', ' Oscar Levant', ' Jack Buchanan', ' Nanette Fabray']",['Musical']
Battle Circus,"['Humphrey Bogart', ' June Allyson', ' Robert Keith', ' Keenan Wynn']",['Drama']
"The Beast from 20,000 Fathoms","['Paula Raymond', ' Cecil Kellaway']",['Science fiction']
Beat the Devil,"['Humphrey Bogart', ' Jennifer Jones', ' Gina Lollobrigida', ' Peter Lorre']",['Comedy']
