200 Motels,"['Frank Zappa', ' Ringo Starr', ' Theodore Bikel']","['comedy', ' musical']"
The Anderson Tapes,"['Sean Connery', ' Dyan Cannon', ' Christopher Walken', ' Martin Balsam', ' Alan King']","['crime', ' drama']"
The Andromeda Strain,"['Arthur Hill', ' James Olson', ' Kate Reid', ' David Wayne', ' Paula Kelly']",['science fiction']
Bananas,"['Woody Allen', ' Louise Lasser', ' Carlos Montalbán']",['comedy']
The Barefoot Executive,"['Kurt Russell', ' Joe Flynn']","['comedy', ' family']"
The Battle of Love's Return,"['Lloyd Kaufman', ' Lynn Lowry', ' Oliver Stone']",['comedy']
Bedknobs and Broomsticks,"['Angela Lansbury', ' David Tomlinson']","['musical', ' fantasy']"
Been Down So Long It Looks Like Up to Me,"['Barry Primus', ' David Downing', ' Susan Tyrrell']",['Drama']
The Beguiled,"['Clint Eastwood', ' Geraldine Page', ' Elizabeth Hartman', ' Darlene Carr', ' Jo Ann Harris']",['drama']
Believe in Me,"['Michael Sarrazin', ' Jacqueline Bisset']",['Drama']
The Big Doll House,"['Roberta Collins', ' Pam Grier']",['sexploitation']
Big Jake,"['John Wayne', "" Maureen O'Hara"", ' Richard Boone']",['western']
Billy Jack,"['Tom Laughlin', ' Delores Taylor', ' Kenneth Tobey', ' Howard Hesseman']",['action']
Black Noon,"['Roy Thinnes', ' Yvette Mimieux']","['Horror', ' Western']"
Bless the Beasts and Children,"['Bill Mumy', ' Barry Robins', ' Miles Chapin']",['drama']
Blood and Lace,"['Gloria Grahame', ' Melody Patterson']",['horror']
Blood Thirst,"['Robert Winston', ' Yvonne Nielson', ' Judy Dennis']",['horror']
Born to Win,"['George Segal', ' Paula Prentiss', ' Karen Black']",['comedy']
Boys in the Sand,"['Casey Donovan', ' Peter Fisk', ' Danny Di Cioccio']",['Adult']
The Boy Friend,"['Twiggy', ' Christopher Gable', ' Max Adrian']",['comedy']
Brian's Song,"['James Caan', ' Billy Dee Williams', ' Shelley Fabares', ' Jack Warden']","['biography', ' drama']"
The Bridge in the Jungle,"['John Huston', ' Katy Jurado', ' Charles Robinson']",['Adventure']
Brother John,"['Sidney Poitier', ' Will Geer', ' Bradford Dillman']",['drama']
B.S. I Love You,"['Peter Kastner', ' Joanna Cameron', ' Louise Sorel']",['Comedy']
Bunny O'Hare,"['Bette Davis', ' Ernest Borgnine', ' Jack Cassidy']","['crime', ' comedy']"
Cain's Cutthroats,"['John Carradine', ' Scott Brady', ' Don Epperson']",['western']
Carnal Knowledge,"['Jack Nicholson', ' Ann-Margret', ' Art Garfunkel', ' Candice Bergen', ' Rita Moreno']",['drama']
Chandler,"['Warren Oates', ' Leslie Caron', ' Alex Dreier']",['Thriller']
Catlow,"['Yul Brynner', ' Richard Crenna', ' Leonard Nimoy']",['western']
The Christian Licorice Store,"['Beau Bridges', ' Maud Adams', ' Gilbert Roland']",['Drama']
Chrome and Hot Leather,"['William Smith', ' Kathrine Baumann', ' Marvin Gaye']",['biker film']
City Beneath the Sea,"['Stuart Whitman', ' Rosemary Forsyth', ' Robert Colbert']",['adventurescience fiction']
Clay Pigeon,"['Telly Savalas', ' Robert Vaughn', ' Burgess Meredith']",['action']
Cold Turkey,"['Dick Van Dyke', ' Bob Newhart', ' Pippa Scott']",['comedy']
