3 Women,"['Shelley Duvall', ' Sissy Spacek', ' Janice Rule']",['Drama']
Airport '77,"['Jack Lemmon', ' Brenda Vaccaro', ' James Stewart', ' Lee Grant', ' George Kennedy', ' Joseph Cotten', ' Olivia de Havilland', ' Christopher Lee', ' Darren McGavin']",['Disaster film; 2nd sequel to Airport']
Andy Warhol's Bad,"['Susan Tyrrell', ' Carroll Baker']",['Comedy']
Annie Hall,"['Woody Allen', ' Diane Keaton']",['Oscar for Best Picture']
Audrey Rose,"['Marsha Mason', ' Anthony Hopkins', ' John Beck']",['Horror']
The Bad News Bears in Breaking Training,"['William Devane', ' Jackie Earle Haley']",['Sequel to 1976 film']
Barbara Broadcast,"['Annette Haven', ' C. J. Laing', ' Jamie Gillis']",['Adult film']
Bare Knuckles,"['Robert Viharo', ' Sherry Jackson', ' Gloria Hendry']",['Action']
Between the Lines,"['John Heard', ' Lindsay Crouse']",['Drama']
Beyond Reason,"['Telly Savalas', ' Diana Muldaur']",['Drama']
The Billion Dollar Hobo,"['Tim Conway', ' Will Geer']",['Comedy']
Billy Jack Goes to Washington,"['Tom Laughlin', ' Lucie Arnaz', ' E. G. Marshall']",['4th of series']
Black Sunday,"['Robert Shaw', ' Bruce Dern', ' Marthe Keller']",['from novel by Thomas Harris']
Bobby Deerfield,"['Al Pacino', ' Marthe Keller']",['Drama']
Breaker! Breaker!,"['Chuck Norris', ' George Murdock']",['Action']
A Bridge Too Far,"['Dirk Bogarde', ' James Caan', ' Michael Caine', ' Sean Connery', ' Edward Fox', ' Elliott Gould', ' Gene Hackman', ' Anthony Hopkins', ' Hardy Krüger', ' Laurence Olivier', ' Robert Redford', ' Maximilian Schell']","['War', ' Action']"
Candleshoe,"['David Niven', ' Helen Hayes', ' Jodie Foster']",['Family']
The Car,"['James Brolin', ' Kathleen Lloyd', ' John Marley', ' Ronny Cox']",['Mystery']
The Choirboys,"['Charles Durning', ' Louis Gossett Jr.', ' Perry King', ' Don Stroud', ' Burt Young', ' Barbara Rhoades', ' Phyllis Davis']","['Crime drama', ' comedy']"
Cinderella,"['Cheryl Smith', ' Sy Richardson']",['Erotic Musical']
Citizen's Band,"['Paul Le Mat', ' Candy Clark', ' Roberts Blossom']",['Comedy']
Close Encounters of the Third Kind,"['Richard Dreyfuss', ' Teri Garr', ' Melinda Dillon', ' Francois Truffaut', ' Bob Balaban']",['Science fiction']
The Confessions of Amans,['William Bryan'],['Drama']
Contract on Cherry Street,"['Frank Sinatra', ' Martin Balsam']",['Crime drama']
Cross of Iron,"['James Coburn', ' James Mason', ' Maximilian Schell']","['War', ' Action']"
Crossed Swords,"['Oliver Reed', ' Raquel Welch', ' Mark Lester']",['Adventure']
Damnation Alley,"['George Peppard', ' Jan-Michael Vincent']",['Science fiction']
The Day of the Animals,"['Leslie Nielsen', ' Lynda Day George']",['Science fiction']
Death Bed: The Bed That Eats,['William Russ'],['Comedy']
The Deep,"['Jacqueline Bisset', ' Robert Shaw', ' Nick Nolte']",['Thriller']
Demon Seed,"['Julie Christie', ' Fritz Weaver', ' Robert Vaughn']",['Horror']
Desperate Living,"['Liz Renay', ' Mink Stole']",['Comedy']
The Domino Principle,"['Gene Hackman', ' Candice Bergen', ' Richard Widmark', ' Eli Wallach', ' Mickey Rooney', ' Edward Albert']",['Thriller']
Drive-In Massacre,[''],['Horror']
Eaten Alive,"['Carolyn Jones', ' Michael Berryman']",['Horror']
Empire of the Ants,"['Joan Collins', ' Albert Salmi']",['Horror']
Equus,"['Richard Burton', ' Peter Firth', ' Joan Plowright']",['Drama']
Eraserhead,"['Jack Nance', ' Charlotte Stewart']","['Horror', ' Fantasy']"
Exorcist II: The Heretic,"['Linda Blair', ' Richard Burton']",['Horror']
Fight for Your Life,"['Robert Judd', ' William Sanderson']",['Thriller']
First Love,"['William Katt', ' Susan Dey', "" Beverly D'Angelo""]",['Drama']
For the Love of Benji,"['Patsy Garrett', ' Ed Nelson']",['Family']
Fun with Dick and Jane,"['George Segal', ' Jane Fonda', ' Ed McMahon']",['Comedy']
The Gauntlet,"['Clint Eastwood', ' Pat Hingle', ' Sondra Locke']",['Thriller']
The Goodbye Girl,"['Richard Dreyfuss', ' Marsha Mason', ' Quinn Cummings']","['Comedy', ' Drama']"
Grand Theft Auto,"['Ron Howard', ' Marion Ross']","['Action', ' Comedy']"
The Grateful Dead Movie,"['Bob Weir', ' Jerry Garcia']",['Documentary']
Grayeagle,"['Ben Johnson', ' Lana Wood']",['Western']
Greased Lightning,"['Richard Pryor', ' Pam Grier', ' Cleavon Little']",['Biography']
The Greatest,"['Muhammad Ali', ' Ernest Borgnine']",['Biography']
The Great Smokey Roadblock,"['Henry Fonda', ' Eileen Brennan']",['Comedy']
Herbie Goes to Monte Carlo,"['Dean Jones', ' Don Knotts', ' Julie Sommars']",['Family']
Heroes,"['Henry Winkler', ' Sally Field', ' Harrison Ford']","['Comedy', ' Drama']"
High Anxiety,"['Mel Brooks', ' Madeline Kahn', ' Cloris Leachman', ' Harvey Korman', ' Howard Morris', ' Ron Carey']",['Comedy']
The Hills Have Eyes,"['Susan Lanier', ' Michael Berryman', ' Dee Wallace']",['Horror']
I Never Promised You a Rose Garden,"['Kathleen Quinlan', ' Bibi Andersson']",['Drama']
The Incredible Melting Man,"['Myron Healey', ' Janus Blythe']",['Sci-fi']
The Island of Dr. Moreau,"['Burt Lancaster', ' Michael York']",['Sci-fi']
Islands in the Stream,"['George C. Scott', ' David Hemmings', ' Gilbert Roland']",['Drama']
Joyride,"['Desi Arnaz Jr.', ' Melanie Griffith']",['Drama']
Julia,"['Vanessa Redgrave', ' Jane Fonda', ' Jason Robards', ' Meryl Streep', ' Rosemary Murphy', ' John Glover', ' Hal Holbrook']",['Drama']
The Kentucky Fried Movie,"['Donald Sutherland', ' Henry Gibson', ' Uschi Digard']",['Comedy']
Kingdom of the Spiders,"['William Shatner', ' Woody Strode', ' Tiffany Bolling']",['Sci-fi']
Last House on Dead End Street,"['Roger Watkins', ' Ken Fisher']",['Horror']
The Last Remake of Beau Geste,"['Marty Feldman', ' Michael York', ' Ann-Margret']",['Comedy']
The Late Show,"['Art Carney', ' Lily Tomlin', ' Eugene Roche', ' Bill Macy', ' Joanna Cassidy', ' Ruth Nelson']",['Drama']
The Lincoln Conspiracy,"['Bradford Dillman', ' John Anderson']",['Drama']
A Little Night Music,"['Elizabeth Taylor', ' Diana Rigg', ' Len Cariou']",['Musical']
Looking for Mr. Goodbar,"['Diane Keaton', ' Tuesday Weld', ' Richard Gere']",['Drama']
MacArthur,"['Gregory Peck', ' G. D. Spradlin']","['War', ' Biography']"
The Many Adventures of Winnie the Pooh,"['Sterling Holloway', ' John Fiedler', ' Paul Winchell']",['Animation']
March or Die,"['Gene Hackman', ' Catherine Deneuve']",['War']
Martin,"['John Amplas', ' Christine Forrest', ' Tom Savini']",['Horror']
The Mouse and His Child,"['Voices of Cloris Leachman', ' Peter Ustinov', ' Andy Devine']","['Animated', ' Family']"
Mr. Billion,"['Terence Hill', ' Valerie Perrine', ' Jackie Gleason']",['Action']
"New York, New York","['Liza Minnelli', ' Robert De Niro']",['Musical']
"Oh, God!","['George Burns', ' John Denver', ' Paul Sorvino', ' Teri Garr']",['Comedy']
One on One,"['Robby Benson', "" Annette O'Toole"", ' G. D. Spradlin']",['Drama']
Opening Night,"['Gena Rowlands', ' Ben Gazzara', ' John Cassavetes']",['Drama']
The Opening of Misty Beethoven,"['Constance Money', ' Jamie Gillis', ' Gloria Leonard']",['Adult film']
Orca,"['Richard Harris', ' Charlotte Rampling', ' Bo Derek']",['Adventure']
The Other Side of Midnight,"['Marie-France Pisier', ' Susan Sarandon', ' John Beck', ' Clu Gulager', ' Michael Lerner', ' Raf Vallone']",['Drama']
Outlaw Blues,"['Peter Fonda', ' Susan Saint James', ' John Crawford']",['Drama']
The People That Time Forgot,"['Doug McClure', ' Sarah Douglas']",['Science fiction']
Pete's Dragon,"['Sean Marshall', ' Helen Reddy', ' Mickey Rooney', ' Shelley Winters']",['Animated']
A Piece of the Action,"['Bill Cosby', ' Sidney Poitier', ' James Earl Jones']",['Comedy']
Pine Canyon is Burning,"['Kent McCord', ' Megan McCord', ' Shane Sinutko']",['Drama']
Planet of Dinosaurs,"['Max Thayer', ' Louie Lawless']",['Sci-fi']
Portrait of a Hitman,"['Rod Steiger', ' Jack Palance', ' Bo Svenson']",['Crime']
Pumping Iron,"['Arnold Schwarzenegger', ' Lou Ferrigno']",['Documentary']
Rabid,"['Marilyn Chambers', ' Joe Silver', ' Howard Ryshpan', '']",['Horror']
"Race for Your Life, Charlie Brown","['Duncan Watson', ' Bill Melendez', ' Gail Davis', ' Stuart Brotman']",['Animation']
Raggedy Ann & Andy: A Musical Adventure,[''],['Animation']
Raid on Entebbe,"['Peter Finch', ' Martin Balsam', ' Yaphet Kotto', ' Charles Bronson', ' John Saxon', ' Jack Warden']",['Drama']
The Rescuers,"['Voices of Eva Gabor', ' Bob Newhart', ' Geraldine Page']",['Animated']
Rollercoaster,"['George Segal', ' Richard Widmark', ' Henry Fonda']",['Thriller']
Rolling Thunder,"['William Devane', ' Tommy Lee Jones', ' James Best']",['Drama']
Roots,"['LeVar Burton', ' Louis Gossett Jr.', ' John Amos', ' Ben Vereen', ' Cicely Tyson', ' Georg Stanford Brown', ' Richard Roundtree', ' O. J. Simpson', ' Leslie Uggams', ' Madge Sinclair', ' Ed Asner', ' Chuck Connors', ' Lloyd Bridges', ' Sandy Duncan']","['Drama', ' television miniseries']"
Roseland,"['Teresa Wright', ' Geraldine Chaplin', ' Christopher Walken']",['Romance']
Ruby,"['Piper Laurie', ' Stuart Whitman']",['Horror']
Run for the Roses,"['Vera Miles', ' Stuart Whitman', ' Lisa Eilbacher']",['Drama']
Satan's Cheerleaders,"['Yvonne De Carlo', ' John Ireland']",['Comedy']
Saturday Night Fever,"['John Travolta', ' Karen Lynn Gorney', ' Donna Pescow']",['Drama']
Scott Joplin,"['Billy Dee Williams', ' Clifton Davis', ' Margaret Avery']",['Biopic']
Semi-Tough,"['Burt Reynolds', ' Kris Kristofferson', ' Jill Clayburgh', ' Robert Preston', ' Brian Dennehy', ' Carl Weathers', ' Bert Convy']",['Comedy']
The Sentinel,"['Chris Sarandon', ' Martin Balsam', ' Ava Gardner']",['Horror']
"September 30, 1955","['Richard Thomas', ' Susan Tyrell']",['Drama']
The Serpent's Egg,"['Liv Ullmann', ' David Carradine']",['Drama']
Short Eyes,"['Bruce Davison', ' Jose Perez']",['Crime drama']
Sinbad and the Eye of the Tiger,"['Jane Seymour', ' Taryn Power', ' Patrick Wayne']",['Action']
Slap Shot,"['Paul Newman', ' Strother Martin', ' Michael Ontkean', ' Lindsay Crouse', ' Jennifer Warren', ' M. Emmet Walsh']",['Comedy']
Smokey and the Bandit,"['Burt Reynolds', ' Jackie Gleason', ' Sally Field', ' Jerry Reed']",['Comedy']
Sorcerer,"['Roy Scheider', ' Francisco Rabal', ' Bruno Cremer']",['Thriller']
Speedtrap,"['Joe Don Baker', ' Tyne Daly', ' Richard Jaeckel']",['Action']
The Spy Who Loved Me,"['Roger Moore', ' Barbara Bach']",['Spy/action']
Star Wars Episode IV: A New Hope (aka Star Wars),"['Mark Hamill', ' Harrison Ford', ' Carrie Fisher', ' Alec Guinness']",['Science fiction']
Telefon,"['Charles Bronson', ' Lee Remick', ' Donald Pleasence']",['Spy film']
Tentacles,"['John Huston', ' Shelley Winters', ' Henry Fonda']",['Horror']
Thieves,"['Marlo Thomas', ' Héctor Elizondo']",['Comedy']
Thunder and Lightning,"['David Carradine', ' Kate Jackson']",['Action']
The Turning Point,"['Shirley MacLaine', ' Anne Bancroft', ' Mikhail Baryshnikov', ' Tom Skerritt']",['Drama']
Twilight's Last Gleaming,"['Burt Lancaster', ' Richard Widmark', ' Charles Durning', ' Paul Winfield', ' Burt Young', ' Joseph Cotten', ' William Marshall', ' Melvyn Douglas']",['Thriller']
Valentino,"['Rudolf Nureyev', ' Leslie Caron', ' Carol Kane']","['Drama', ' Biography']"
The Van,"['Danny DeVito', ' Deborah White']",['Comedy']
Viva Knievel!,"['Evel Knievel', ' Lauren Hutton', ' Gene Kelly']","['Action', ' Biography']"
Which Way Is Up?,"['Richard Pryor', ' Lonette McKee']",['Comedy']
The White Buffalo,"['Charles Bronson', ' Will Sampson', ' Jack Warden', ' Slim Pickens', ' Kim Novak']",['Western']
Wilma,"['Shirley Jo Finney', ' Cicely Tyson', ' Denzel Washington']","['Drama', ' Biography']"
Wizards,"['Voices of Mark Hamill', ' David Proval']","['Animated', ' Fantasy']"
Word Is Out,"['John Burnside', ' Elsa Gidlow']",['Documentary']
The World's Greatest Lover,"['Gene Wilder', ' Carol Kane', ' Dom DeLuise']",['Comedy']
You Light Up My Life,['Didi Conn'],['Romance']
