Abandoned,"[""Dennis O'Keefe"", ' Gale Storm', ' Jeff Chandler']",['Film noir']
"Abbott and Costello Meet the Killer, Boris Karloff","['Bud Abbott', ' Lou Costello', ' Boris Karloff']","['Comedy', ' Horror']"
The Accused,"['Loretta Young', ' Robert Cummings', ' Wendell Corey']",['Film noir']
Across the Rio Grande,"['Jimmy Wakely', ' Reno Browne']",['Western']
Act of Violence,"['Van Heflin', ' Robert Ryan', ' Janet Leigh', ' Mary Astor']",['Drama']
Adam's Rib,"['Spencer Tracy', ' Katharine Hepburn', ' David Wayne', ' Tom Ewell', ' Jean Hagen', ' Judy Holliday']",['Romantic comedy']
Adventure in Baltimore,"['Shirley Temple', ' Robert Young']",['Drama']
The Adventures of Ichabod and Mr. Toad,"['Bing Crosby', ' Eric Blore', ' Basil Rathbone']",['Animation']
Africa Screams,"['Bud Abbott', ' Lou Costello', ' Clyde Beatty', ' Frank Buck']",['Comedy']
Air Hostess,"['Gloria Henry', ' Audrey Long']",['Drama']
Alias the Champ,"['Audrey Long', ' Gorgeous George']",['Mystery']
Alias Nick Beal,"['Ray Milland', ' Audrey Totter', ' Thomas Mitchell']",['Drama']
Alimony,"['Martha Vickers', ' John Beal', ' Hillary Brooke']",['Film noir']
All the King's Men,"['Broderick Crawford', ' Mercedes McCambridge', ' John Ireland', ' Joanne Dru', ' John Derek']",['Drama']
Always Leave Them Laughing,"['Milton Berle', ' Virginia Mayo', ' Bert Lahr']",['Comedy']
And Baby Makes Three,"['Barbara Hale', ' Robert Young']",['Comedy']
Angels in Disguise,"['Leo Gorcey', ' Huntz Hall']",['Comedy']
Anna Lucasta,"['Paulette Goddard', ' Gale Page']",['Drama']
Any Number Can Play,"['Clark Gable', ' Alexis Smith', ' Wendell Corey', ' Mary Astor']",['Drama']
Arctic Manhunt,"['Mikel Conrad', ' Carol Thurston']",['Adventure']
"Arson, Inc.","['Robert Lowery', ' Anne Gwynne']",['Drama']
Bad Boy,"['Audie Murphy', ' Jane Wyatt']",['Drama']
Bad Men of Tombstone,"['Broderick Crawford', ' Barry Sullivan']",['Western']
Bagdad,"[""Maureen O'Hara"", ' Paul Christian', ' Vincent Price']",['Adventure']
Bandit King of Texas,"['Allan Lane', ' Helene Stanley']",['Western']
Bandits of El Dorado,"['Charles Starrett', ' Clayton Moore']",['Western']
Barbary Pirate,"['Donald Woods', ' Trudy Marshall', ' Lenore Aubert']",['Adventure']
The Barkleys of Broadway,"['Fred Astaire', ' Ginger Rogers', ' Billie Burke']",['Musical']
Battleground,"['Van Johnson', ' Ricardo Montalbán', ' George Murphy']",['War']
The Beautiful Blonde from Bashful Bend,"['Betty Grable', ' Cesar Romero', ' Rudy Vallée']",['Western']
Beyond the Forest,"['Bette Davis', ' Joseph Cotten', ' Ruth Roman']",['Drama']
The Big Cat,"['Lon McCallister', ' Peggy Ann Garner', ' Preston Foster']",['Adventure']
Big Jack,"['Wallace Beery', ' Richard Conte']",['Drama']
The Big Sombrero,"['Gene Autry', ' Elena Verdugo']",['Western']
The Big Steal,"['Robert Mitchum', ' Jane Greer']",['Drama']
The Big Wheel,"['Mickey Rooney', ' Thomas Mitchell']",['Drama']
Black Magic,"['Orson Welles', ' Nancy Guild']",['Drama']
Black Midnight,"['Roddy McDowall', "" Damian O'Flynn""]",['Western']
The Blazing Trail,"['Charles Starrett', ' Marjorie Stapp']",['Western']
Blondie's Big Deal,"['Penny Singleton', ' Arthur Lake']",['Comedy']
Blondie Hits the Jackpot,"['Penny Singleton', ' Arthur Lake']",['Comedy']
Bodyhold,"['Willard Parker', ' Lola Albright', ' Hillary Brooke']",['Action']
"Bomba, the Jungle Boy","['Johnny Sheffield', ' Peggy Ann Garner']",['Adventure']
Bomba on Panther Island,"['Johnny Sheffield', ' Allene Roberts']",['Adventure']
Border Incident,"['Ricardo Montalbán', ' Howard Da Silva']",['Drama']
Boston Blackie's Chinese Venture,"['Chester Morris', ' Maylia Fong']",['Mystery']
Brand of Fear,"['Jimmy Wakely', ' Gail Davis']",['Western']
The Bribe,"['Robert Taylor', ' Ava Gardner', ' Charles Laughton', ' Vincent Price']",['Film noir']
Bride for Sale,"['Claudette Colbert', ' Robert Young']",['Comedy']
Bride of Vengeance,"['Paulette Goddard', ' John Lund']",['Drama']
Brimstone,"['Rod Cameron', ' Walter Brennan', ' Lorna Gray']",['Western']
Brothers in the Saddle,"['Tim Holt', ' Richard Martin']",['Western']
Calamity Jane and Sam Bass,"['Yvonne De Carlo', ' Howard Duff', ' Dorothy Hart']",['Western']
Canadian Pacific,"['Randolph Scott', ' Jane Wyatt', ' J. Carrol Naish']",['Historic']
Caught,"['James Mason', ' Barbara Bel Geddes']",['Film noir']
Challenge of the Range,"['Charles Starrett', ' Paula Raymond']",['Western']
Challenge to Lassie,"['Donald Crisp', ' Edmund Gwenn', ' Geraldine Brook', ' Reginald Owen']",['Drama']
Champion,"['Kirk Douglas', ' Arthur Kennedy', ' Marilyn Maxwell']",['Film noir']
Chicago Deadline,"['Alan Ladd', ' Donna Reed', ' June Havoc']",['Film Noir']
Chicken Every Sunday,"['Dan Dailey', ' Celeste Holm', ' Colleen Townsend']",['Comedy']
Chinatown at Midnight,"['Hurd Hatfield', ' Jean Willes']",['Crime drama']
City Across the River,"['Stephen McNally', ' Thelma Ritter', ' Sue England', ' Jeff Corey', ' Barbara Whiting', ' Tony Curtis']",['Film noir']
The Clay Pigeon,"['Barbara Hale', ' Bill Williams']",['Crime drama']
C-Man,"['Dean Jagger', ' John Carradine']",['Film noir']
Colorado Territory,"['Joel McCrea', ' Virginia Mayo']",['Western']
Come to the Stable,"['Loretta Young', ' Celeste Holm', ' Hugh Marlowe']",['Drama']
A Connecticut Yankee in King Arthur's Court,"['Bing Crosby', ' Rhonda Fleming', ' Cedric Hardwicke', ' William Bendix']",['Musical comedy']
Cover Up,"['William Bendix', "" Dennis O'Keefe""]",['Film noir']
The Cowboy and the Indians,"['Gene Autry', ' Sheila Ryan']",['Western']
The Crime Doctor's Diary,"['Warner Baxter', ' Lois Maxwell']",['Mystery']
Criss Cross,"['Burt Lancaster', ' Yvonne De Carlo']",['Film noir']
The Crooked Way,"['John Payne', ' Ellen Drew', ' Sonny Tufts']",['Film noir']
Dancing in the Dark,"['William Powell', ' Betsy Drake']",['Musical']
A Dangerous Profession,"['George Raft', ' Ella Raines', "" Pat O'Brien""]",['Film noir']
The Daring Caballero,"['Duncan Renaldo', ' Leo Carrillo']",['Western']
Daughter of the Jungle,"['Lois Hall', ' Sheldon Leonard']",['Adventure']
Daughter of the West,"['Martha Vickers', ' Phillip Reed', ' Donald Woods']",['Western']
Dear Wife,"['William Holden', ' Joan Caulfield']",['Comedy']
Death Valley Gunfighter,"['Allan Lane', ' Gail Davis']",['Western']
Desert Vigilante,"['Charles Starrett', ' Peggy Stewart']",['Western']
The Devil's Henchman,"['Warner Baxter', ' Mary Beth Hughes']",['Drama']
The Doctor and the Girl,"['Glenn Ford', ' Gloria DeHaven']",['Drama']
The Doolins of Oklahoma,"['Randolph Scott', ' George Macready', ' Louise Allbritton']",['Western']
Down Dakota Way,"['Roy Rogers', ' Dale Evans']",['Western']
