The 3rd Voice,"[""Edmond O'Brien"", ' Laraine Day', ' Julie London']",['Mystery']
5 Branded Women,"['Silvana Mangano', ' Jeanne Moreau', ' Vera Miles', ' Barbara Bel Geddes', ' Carla Gravina']",['War drama']
12 to the Moon,"['Ken Clark', ' Tom Conway']",['Science fiction']
13 Fighting Men,"['Grant Williams', ' Carole Matthews']",['War']
13 Ghosts,"['Charles Herbert', ' Jo Morrow']",['Horror']
The Adventures of Huckleberry Finn,"['Tony Randall', ' Patty McCormack', ' Eddie Hodges', ' Archie Moore']",['Family']
The Alamo,"['John Wayne', ' Richard Widmark', ' Laurence Harvey', ' Chill Wills', ' Frankie Avalon', ' Richard Boone']","['Biography', ' Western']"
All the Fine Young Cannibals,"['Natalie Wood', ' Robert Wagner', ' George Hamilton']",['Drama']
All the Young Men,"['Alan Ladd', ' Sidney Poitier', ' James Darren']",['War']
The Amazing Transparent Man,"['Marguerite Chapman', ' Douglas Kennedy']",['Science fiction']
The Angel Wore Red,"['Ava Gardner', ' Dirk Bogarde', ' Joseph Cotten']",['War']
The Apartment,"['Jack Lemmon', ' Shirley MacLaine', ' Fred MacMurray', ' Ray Walston', ' Jack Kruschen', ' Edie Adams']","['Drama', ' Comedy']"
Butterfield 8,"['Elizabeth Taylor', ' Laurence Harvey', ' Eddie Fisher', ' Dina Merrill']",['Drama']
Because They're Young,"['Dick Clark', ' Tuesday Weld']",['Drama']
The Bellboy,"['Jerry Lewis', ' Bob Clayton', ' Milton Berle']",['Comedy']
Bells Are Ringing,"['Judy Holliday', ' Dean Martin']",['Musical comedy']
Beyond the Time Barrier,"['Darlene Tompkins', ' Robert Clarke']",['Sci-fi']
The Big Night,"['Venetia Stevenson', ' Randy Sparks', ' Dick Contino']",['Drama']
The Boy and the Pirates,"['Charles Herbert', ' Susan Gordon', ' Murvyn Vye']",['Adventure']
The Bramble Bush,"['Richard Burton', ' Angie Dickinson', ' Barbara Rush']",['Drama']
A Breath of Scandal,"['Sophia Loren', ' Maurice Chevalier', ' John Gavin']",['Drama']
Cage of Evil,"['Ron Foster', ' Pat Blair']",['Crime']
Can-Can,"['Frank Sinatra', ' Shirley MacLaine', ' Maurice Chevalier', ' Louis Jourdan', ' Juliet Prowse']",['Musical']
The Cape Canaveral Monsters,"['Scott Peters', ' Jason Johnson']",['Science-fiction']
Cash McCall,"['James Garner', ' Natalie Wood', ' Nina Foch', ' E. G. Marshall']",['Drama']
Chartroose Caboose,"['Molly Bee', ' Ben Cooper']",['Comedy']
Cimarron,"['Glenn Ford', ' Maria Schell', ' Anne Baxter']",['Western']
Cinderfella,"['Jerry Lewis', ' Ed Wynn', ' Anna Maria Alberghetti']",['Musical comedy']
A Circle of Deception,"['Bradford Dillman', ' Suzy Parker']",['Drama']
College Confidential,"['Steve Allen', ' Mamie Van Doren', ' Herbert Marshall', ' Jayne Meadows']",['Teen']
Comanche Station,"['Randolph Scott', ' Nancy Gates', ' Claude Akins']",['Western']
Crack in the Mirror,"['Orson Welles', ' Juliette Gréco', ' Bradford Dillman']",['Drama']
The Crowded Sky,"['Dana Andrews', ' Rhonda Fleming']",['Drama']
The Dark at the Top of the Stairs,"['Robert Preston', ' Dorothy McGuire', ' Eve Arden', ' Shirley Knight', ' Angela Lansbury']",['Drama']
Desire in the Dust,"['Raymond Burr', ' Martha Hyer', ' Joan Bennett']",['Drama']
