The Crystal Ball,"['Paulette Goddard', ' Ray Milland']",['Comedy']
The Dancing Masters,"['Laurel and Hardy', ' Trudy Marshall']",['Comedy']
Danger! Women at Work,"['Patsy Kelly', ' Mary Brian', ' Isabel Jewell']",['Comedy']
Dangerous Blondes,"['Evelyn Keyes', ' Anita Louise']",['Mystery']
Days of Old Cheyenne,"['Don ""Red"" Barry', ' Lynn Merrick']",['Western']
Dead Man's Gulch,"['Don ""Red"" Barry', ' Lynn Merrick']",['Western']
Dead Men Walk,"['George Zucco', ' Mary Carlisle']",['Horror']
Death Rides the Plains,"['Robert Livingston', ' Al St. John']",['Western']
Death Valley Manhunt,"['Wild Bill Elliott', ' Anne Jeffreys']",['Western']
Death Valley Rangers,"['Ken Maynard', ' Hoot Gibson', ' Bob Steele']",['Western']
Deerslayer,"['Jean Parker', ' Larry Parks', ' Yvonne DeCarlo']",['Western']
The Desert Song,"['Dennis Morgan', ' Irene Manning']",['Musical']
The Desperadoes,"['Randolph Scott', ' Claire Trevor', ' Glenn Ford']",['Western']
Destination Tokyo,"['Cary Grant', ' John Garfield']",['War']
Destroyer,"['Glenn Ford', ' Edward G. Robinson']",['War']
Devil Riders,"['Buster Crabbe', ' Patti McCarty']",['Western']
Dixie,"['Bing Crosby', ' Dorothy Lamour']",['Musical Bio-pic']
Dixie Dugan,"['Lois Andrews', ' James Ellison', ' Charlotte Greenwood']",['Comedy']
Doughboys in Ireland,"['Kenny Baker', ' Jeff Donnell', ' Lynn Merrick']",['War Musical']
Dr. Gillespie's Criminal Case,"['Lionel Barrymore', ' Van Johnson', "" Margaret O'Brien""]",['Drama']
DuBarry Was a Lady,"['Red Skelton', ' Lucille Ball', ' Gene Kelly']",['Musical']
Edge of Darkness,"['Errol Flynn', ' Ann Sheridan', ' Walter Huston']",['War']
The Falcon and the Co-eds,"['Tom Conway', ' Amelita Ward']",['Mystery']
The Falcon in Danger,"['Tom Conway', ' Jean Brooks']",['Mystery']
The Falcon Strikes Back,"['Tom Conway', ' Harriet Hilliard']",['Mystery']
The Fallen Sparrow,"[""Maureen O'Hara"", ' John Garfield', ' Walter Slezak', ' Patricia Morison']",['Drama']
False Colors,"['William Boyd', ' Andy Clyde']",['Western']
False Faces,"['Stanley Ridges', ' Veda Ann Borg']",['Mystery']
The Fighting Buckaroo,"['Charles Starrett', ' Arthur Hunnicutt']",['Western']
Fighting Frontier,"['Tim Holt', ' Cliff Edwards']",['Western']
Fighting Valley,"[""Dave O'Brien"", ' Guy Wilkerson']",['Western']
Find the Blackmailer,"['Faye Emerson', ' Gene Lockhart']",['Mystery']
Fired Wife,"['Diana Barrymore', ' Louise Allbritton']",['Comedy']
First Comes Courage,"['Merle Oberon', ' Brian Aherne']",['Drama']
Five Graves to Cairo,"['Franchot Tone', ' Anne Baxter']",['War']
Flesh and Fantasy,"['Edward G. Robinson', ' Charles Boyer', ' Barbara Stanwyck', ' Betty Field']",['Drama anthology']
Flight for Freedom,"['Rosalind Russell', ' Fred MacMurray', ' Herbert Marshall']",['Drama']
Follies Girl,"['Doris Nolan', ' Wendy Barrie']",['Musical']
Follow the Band,"['Mary Beth Hughes', ' Eddie Quillan']",['Musical']
Footlight Glamour,"['Penny Singleton', ' Arthur Lake', ' Ann Savage']",['Comedy']
For Whom the Bell Tolls,"['Gary Cooper', ' Ingrid Bergman', ' Arturo de Córdova']",['War Drama']
Forever and a Day,"['Brian Aherne', ' Robert Cummings', ' Charles Laughton', ' Ida Lupino']",['Drama']
Frankenstein Meets the Wolf Man,"['Lon Chaney Jr.', ' Bela Lugosi']",['Horror']
Frontier Badmen,"['Diana Barrymore', ' Noah Beery Jr.']",['Western']
Frontier Fury,"['Charles Starrett', ' Arthur Hunnicutt']",['Western']
Frontier Law,"['Russell Hayden', ' Jennifer Holt']",['Western']
Fugitive from Sonora,"['Don ""Red"" Barry', ' Lynn Merrick']",['Western']
Fugitive of the Plains,"['Buster Crabbe', ' Kermit Maynard']",['Western']
"Gals, Incorporated","['Leon Errol', ' Harriet Nelson', ' Grace McDonald']",['Musical comedy']
The Gang's All Here,"['Alice Faye', ' Carmen Miranda']",['Musical']
Gangway for Tomorrow,"['John Carradine', ' Robert Ryan', ' Margo Albert']",['Drama']
A Gentle Gangster,"['Molly Lamont', ' Barton MacLane']",['Drama']
Get Going,"['Robert Paige', ' Grace McDonald', ' Barbara Jo Allen']",['Comedy']
Government Girl,"['Olivia de Havilland', ' Sonny Tufts']",['Comedy']
The Ghost and the Guest,"['Florence Rice', ' James Dunn']",['Comedy']
The Ghost Rider,"['Johnny Mack Brown', ' Raymond Hatton']",['Western']
The Ghost Ship,"['Richard Dix', ' Edith Barrett']",['Drama']
Ghosts on the Loose,"['East Side Kids', ' Bela Lugosi', ' Ava Gardner']",['Horror comedy']
Gildersleeve's Bad Day,"['Harold Peary', ' Nancy Gates']",['Comedy']
Gildersleeve on Broadway,"['Harold Peary', ' Billie Burke']",['Comedy']
Girl Crazy,"['Mickey Rooney', ' Judy Garland']",['Musical']
The Girl from Monterrey,"['Armida Vendrell', ' Veda Ann Borg']",['Comedy']
Girls in Chains,"['Arline Judge', ' Roger Clark']",['Drama']
The Good Fellows,"['Cecil Kellaway', ' Mabel Paige']",['Comedy']
"Good Luck, Mr. Yates","['Claire Trevor', ' Jess Barker']",['War drama']
"Good Morning, Judge","[""Dennis O'Keefe"", ' Mary Beth Hughes']",['Comedy']
The Gorilla Man,"['Ruth Ford', ' John Loder']",['Drama']
Government Girl,"['Olivia de Havilland', ' Sonny Tufts', ' Anne Shirley']",['Comedy']
Guadalcanal Diary,"['William Bendix', ' Richard Conte', ' Anthony Quinn']",['War']
Gung Ho!,"['Randolph Scott', ' Robert Mitchum']",['War']
A Guy Named Joe,"['Spencer Tracy', ' Irene Dunne', ' Van Johnson']",['Romantic Fantasy']
Hail to the Rangers,"['Charles Starrett', ' Arthur Hunnicutt']",['Western']
Hangmen Also Die!,"['Hans Heinrich von Twardowski', ' Brian Donlevy', ' Walter Brennan']",['War']
Happy Go Lucky,"['Mary Martin', ' Betty Hutton']",['Comedy']
Happy Land,"['Don Ameche', ' Frances Dee']",['Drama']
The Hard Way,"['Ida Lupino', ' Joan Leslie']",['Drama']
Harrigan's Kid,"['Frank Craven', ' William Gargan']",['Comedy']
Harvest Melody,"['Rosemary Lane', ' Johnny Downs', ' Charlotte Wynters']",['Musical']
Haunted Ranch,"[""John 'Dusty' King"", ' Dave Sharpe']",['Western']
Headin' for God's Country,"['William Lundigan', ' Virginia Dale']",['Action']
The Heat's On,"['Mae West', ' Victor Moore']",['Musical comedy']
Heaven Can Wait,"['Don Ameche', ' Gene Tierney']",['Comedy']
