7th Cavalry,"['Randolph Scott', ' Barbara Hale']",['Western']
23 Paces to Baker Street,"['Van Johnson', ' Vera Miles']",['Thriller']
Accused of Murder,"['David Brian', ' Vera Ralston', ' Sidney Blackmer', ' Lee Van Cleef']",['Film noir']
Alexander the Great,"['Richard Burton', ' Claire Bloom', ' Fredric March', ' Danielle Darrieux']",['Drama']
The Ambassador's Daughter,"['Olivia de Havilland', ' John Forsythe', ' Adolphe Menjou', ' Myrna Loy']",['Romantic comedy']
Anastasia,"['Ingrid Bergman', ' Yul Brynner', ' Helen Hayes']",['Drama']
Anything Goes,"['Bing Crosby', "" Donald O'Connor"", ' Phil Harris', ' Mitzi Gaynor']",['Musical']
Around the World in 80 Days,"['David Niven', ' Cantinflas', ' Shirley MacLaine', ' Robert Newton']",['Adventure']
At Gunpoint,"['Fred MacMurray', ' Dorothy Malone']",['Western']
Attack,"['Jack Palance', ' Eddie Albert', ' Lee Marvin']",['War']
Autumn Leaves,"['Joan Crawford', ' Cliff Robertson']",['Drama']
Away All Boats,"['Jeff Chandler', ' George Nader', ' Julie Adams']",['War']
Baby Doll,"['Carroll Baker', ' Karl Malden', ' Eli Wallach', ' Mildred Dunnock']",['Drama']
Back from Eternity,"['Robert Ryan', ' Anita Ekberg', ' Rod Steiger', ' Gene Barry']",['Drama']
Backlash,"['Richard Widmark', ' Donna Reed']",['Western']
The Bad Seed,"['Nancy Kelly', ' Patty McCormack']",['Suspense']
Bandido,"['Robert Mitchum', ' Ursula Thiess', ' Gilbert Roland']",['Western']
Barbecue Brawl,['Tom and Jerry'],['Animation']
Battle Stations,"['John Lund', ' William Bendix', ' Richard Boone']",['War']
The Beast of Hollow Mountain,"['Guy Madison', ' Patricia Medina']",['Horror']
Behind the High Wall,"['Tom Tully', ' John Gavin']",['Film noir']
The Benny Goodman Story,"['Steve Allen', ' Donna Reed']","['Biography', ' Musical']"
The Best Things in Life Are Free,"['Gordon MacRae', ' Ernest Borgnine', ' Dan Duryea', ' Sheree North']",['Musical']
Between Heaven and Hell,"['Robert Wagner', ' Buddy Ebsen', ' Broderick Crawford']",['War']
Beyond Mombasa,"['Cornel Wilde', ' Donna Reed']",['Adventure']
Beyond a Reasonable Doubt,"['Dana Andrews', ' Joan Fontaine', ' Sidney Blackmer']",['Film noir']
Bhowani Junction,"['Ava Gardner', ' Stewart Granger', ' Bill Travers']",['Drama']
Bigger Than Life,"['James Mason', ' Barbara Rush', ' Walter Matthau']",['Drama']
The Birds and the Bees,"['George Gobel', ' Mitzi Gaynor', ' David Niven']",['Musical']
The Black Sleep,"['Basil Rathbone', ' Lon Chaney']",['Horror']
The Black Whip,"['Hugh Marlowe', ' Coleen Gray', ' Adele Mara', ' Angie Dickinson']",['Western']
"Blackjack Ketchum, Desperado","['Howard Duff', ' Margaret Field']",['Western']
Blazing the Overland Trail,['Lee Roberts'],['Serial']
Blue Cat Blues,['Tom and Jerry'],['Animation']
The Bold and the Brave,"['Mickey Rooney', ' Wendell Corey']",['War']
The Boss,['John Payne'],['Film Noir']
The Bottom of the Bottle,"['Joseph Cotten', ' Van Johnson', ' Ruth Roman']",['Drama']
The Brass Legend,"[""Hugh O'Brian"", ' Nancy Gates', ' Raymond Burr']",['Western']
The Brave One,"['Michel Ray', ' Elsa Cárdenas']",['Drama']
The Broken Star,"['Howard Duff', ' Lita Baron']",['Western']
Broom-Stick Bunny,['Looney Tunes'],['Animation']
Bundle of Joy,"['Debbie Reynolds', ' Eddie Fisher']",['Comedy']
The Burning Hills,"['Tab Hunter', ' Natalie Wood', ' Skip Homeier', ' Claude Akins']",['Western']
Bus Stop,"['Marilyn Monroe', ' Don Murray']",['Drama']
Busy Buddies,['Tom and Jerry'],['Animation']
Calling Homicide,"['Bill Elliott', ' Kathleen Case']",['Crime']
Canyon River,"['George Montgomery', ' Marcia Henderson']",['Western']
Carousel,"['Shirley Jones', ' Gordon MacRae']",['Musical']
The Catered Affair,"['Bette Davis', ' Debbie Reynolds', ' Ernest Borgnine']",['Drama']
Cha-Cha-Cha Boom!,"['Stephen Dunne', ' Helen Grayco']",['Musical']
Comanche,"['Dana Andrews', ' Kent Smith', ' Nestor Paiva']",['Western']
Come Next Spring,"['Ann Sheridan', ' Steve Cochran', ' Walter Brennan']",['Drama']
The Come On,"['Anne Baxter', ' Sterling Hayden']",['Drama']
Commotion on the Ocean,['The Three Stooges'],['Short']
Congo Crossing,"['Virginia Mayo', ' George Nader', ' Peter Lorre']",['Film noir']
The Conqueror,"['John Wayne', ' Susan Hayward', ' Pedro Armendáriz']",['Adventure']
The Court Jester,"['Danny Kaye', ' Basil Rathbone', ' Angela Lansbury']",['Comedy']
Crashing Las Vegas,"['Leo Gorcey', ' Huntz Hall', ' Mary Castle']",['Comedy']
The Creature Walks Among Us,"['Jeff Morrow', ' Rex Reason', ' Leigh Snowden']",['Science fiction']
Creeps,['The Three Stooges'],['Short']
Crime Against Joe,"['Julie London', ' John Bromfield']",['Crime drama']
Crime in the Streets,"['James Whitmore', ' John Cassavetes']",['Crime drama']
Crowded Paradise,"['Hume Cronyn', ' Nancy Kelly']",['Drama']
A Cry in the Night,"['Natalie Wood', "" Edmond O'Brien"", ' Raymond Burr']",['Thriller']
"Curucu, Beast of the Amazon","['John Bromfield', ' Beverly Garland']",['Adventure']
A Day of Fury,"['Dale Robertson', ' Mara Corday', ' Jock Mahoney']",['Western']
D-Day the Sixth of June,"['Robert Taylor', ' Richard Todd']",['War']
Dakota Incident,"['Dale Robertson', ' Linda Darnell', ' John Lund']",['Western']
"Dance with Me, Henry",['Bud Abbott and Lou Costello'],['Comedy']
