Abbott and Costello Meet Frankenstein,"['Bud Abbott', ' Lou Costello', ' Lon Chaney Jr.', ' Bela Lugosi', ' Glenn Strange']","['Comedy', ' Horror']"
Heart of Virginia,"['Janet Martin', ' Robert Lowery']",['Drama']
Here Comes Trouble,"['Joe Sawyer', ' William Tracy', ' Joan Woodbury']",['Comedy']
He Walked by Night,"['Richard Basehart', ' Jack Webb']",['Film noir']
Hidden Danger,"['Johnny Mack Brown', ' Raymond Hatton']",['Western']
Highway 13,"['Robert Lowery', ' Pamela Blake']",['Drama']
Hills of Home,"['Edmund Gwenn', ' Janet Leigh']",['Family']
Hollow Triumph,"['Paul Henreid', ' Joan Bennett']",['Film noir']
Homecoming,"['Clark Gable', ' Lana Turner', ' Anne Baxter']",['Romance']
Homicide for Three,"['Audrey Long', ' Grant Withers']",['Mystery']
The Hunted,"['Preston Foster', ' Belita']",['Crime drama']
"I, Jane Doe","['Vera Ralston', ' Ruth Hussey']",['Suspense']
I Love Trouble,"['Franchot Tone', ' Janet Blair', ' Janis Carter', ' Adele Jergens', ' Glenda Farrell']",['Film Noir']
I Remember Mama,"['Irene Dunne', ' Barbara Bel Geddes']","['Drama', ' Comedy']"
I Surrender Dear,"['Gloria Jean', ' David Street']",['Musical']
I Walk Alone,"['Burt Lancaster', ' Lizabeth Scott', ' Kirk Douglas']",['Film noir']
I Wouldn't Be in Your Shoes,"['Don Castle', ' Elyse Knox']",['Mystery']
If You Knew Susie,"['Eddie Cantor', ' Joan Davis']",['Comedy']
In This Corner,"['Scott Brady', ' Anabel Shaw']",['Drama']
Indian Agent,"['Tim Holt', ' Richard Martin', ' Nan Leslie']",['Western']
Inner Sanctum,"['Charles Russell', ' Mary Beth Hughes']",['Film noir']
An Innocent Affair,"['Fred MacMurray', ' Madeleine Carroll']",['Comedy']
The Inside Story,"['Marsha Hunt', ' William Lundigan', ' Charles Winninger']",['Comedy']
The Iron Curtain,"['Dana Andrews', ' Gene Tierney', ' June Havoc']",['Thriller']
Isn't It Romantic?,"['Veronica Lake', ' Billy De Wolfe', ' Pearl Bailey']",['Romantic comedy']
Jiggs and Maggie in Court,"['Joe Yule', ' Renie Riano']",['Comedy']
Jinx Money,"['Leo Gorcey', ' Huntz Hall']",['Comedy']
Joan of Arc,"['Ingrid Bergman', ' José Ferrer']",['Drama']
Joe Palooka in Fighting Mad,"['Joe Kirkwood Jr.', ' Leon Errol', ' Elyse Knox']",['Sports']
Joe Palooka in Winner Take All,"['Joe Kirkwood Jr.', ' Elyse Knox']",['Sports']
Johnny Belinda,"['Jane Wyman', ' Lew Ayres', ' Agnes Moorehead']",['Drama']
Julia Misbehaves,"['Greer Garson', ' Walter Pidgeon', ' Peter Lawford', ' Elizabeth Taylor']",['Romantic comedy']
June Bride,"['Bette Davis', ' Robert Montgomery']",['Comedy']
Jungle Goddess,"['George Reeves', ' Wanda McKay']",['Adventure']
Jungle Jim,"['Johnny Weissmuller', ' Virginia Grey']",['Adventure']
Jungle Patrol,"['Kristine Miller', ' Arthur Franz']",['Adventure']
Lady at Midnight,"['Richard Denning', ' Frances Rafferty']",['Mystery']
Larceny,"['John Payne', ' Joan Caulfield', ' Dan Duryea', ' Shelley Winters']",['Film noir']
Last of the Wild Horses,"['James Ellison', ' Mary Beth Hughes']",['Western']
Leather Gloves,"['Cameron Mitchell', ' Virginia Grey', ' Jane Nigh']",['Sports drama']
Let's Live Again,"['Hillary Brooke', ' Diana Douglas']",['Comedy']
Let's Live a Little,"['Hedy Lamarr', ' Robert Cummings']",['Comedy']
Letter from an Unknown Woman,"['Joan Fontaine', ' Louis Jourdan']",['Drama']
Lightnin' in the Forest,"['Lynne Roberts', ' Warren Douglas', ' Lorna Gray']",['Comedy']
Loaded Pistols,"['Gene Autry', ' Barbara Britton']",['Western']
The Loves of Carmen,"['Rita Hayworth', ' Glenn Ford']",['Drama']
The Luck of the Irish ,"['Tyrone Power', ' Anne Baxter', ' Lee J. Cobb']",['Fantasy']
Lulu Belle,"['Dorothy Lamour', ' George Montgomery']",['Comedy']
Luxury Liner,"['Jane Powell', ' George Brent']",['Comedy']
Macbeth,"['Orson Welles', ' Jeanette Nolan', "" Dan O'Herlihy""]",['Drama']
Madonna of the Desert,"['Lynne Roberts', ' Don Castle']",['Crime']
The Main Street Kid,"['Al Pearce', ' Alan Mowbray', ' Adele Mara']",['Comedy']
The Man from Texas,"['James Craig', ' Lynn Bari']",['Western']
Man-Eater of Kumaon,"['Wendell Corey', ' Sabu', ' Joy Page']",['Adventure']
Mark of the Lash,"['Lash La Rue', ' Al St. John']",['Western']
Marshal of Amarillo,"['Allan Lane', ' Mildred Coles']",['Western']
Mary Lou,"['Robert Lowery', ' Glenda Farrell']",['Comedy']
The Mating of Millie,"['Evelyn Keyes', ' Glenn Ford']",['Comedy']
Mexican Hayride,['Abbott and Costello'],['Musical']
Michael O'Halloran,"['Allene Roberts', ' Scotty Beckett']",['Drama']
Mickey,"['Irene Hervey', ' Hattie McDaniel']",['Drama']
Million Dollar Weekend,"['Osa Massen', ' Gene Raymond']",['Crime drama']
Miracle in Harlem,['Sheila Guyse'],['Thriller']
The Miracle of the Bells,"['Alida Valli', ' Fred MacMurray', ' Frank Sinatra']",['Drama']
Miraculous Journey,"['Rory Calhoun', ' Virginia Grey']",['Drama']
Miss Tatlock's Millions,"['John Lund', ' Wanda Hendrix', ' Barry Fitzgerald']",['Comedy']
Money Madness,"['Hugh Beaumont', ' Frances Rafferty']",['Drama']
Moonrise,"['Gail Russell', ' Dane Clark']",['Film noir']
Music Man,"['Freddie Stewart', ' June Preisser', ' Noel Neill']",['Comedy']
Mr. Blandings Builds His Dream House,"['Cary Grant', ' Myrna Loy']",['Comedy']
Mr. Peabody and the Mermaid,"['William Powell', ' Ann Blyth', ' Andrea King']",['Comedy']
Mr. Reckless,"['William Eythe', ' Barbara Britton']",['Drama']
My Dear Secretary,"['Laraine Day', ' Kirk Douglas']",['Comedy']
My Dog Rusty,"['John Litel', ' Ann Doran']",['Drama']
My Girl Tisa,"['Lilli Palmer', ' Sam Wanamaker']",['Drama']
Mystery in Mexico,"['William Lundigan', ' Jacqueline White', ' Ricardo Cortez']",['Thriller']
Oklahoma Badlands,"['Allan Lane', ' Eddy Waller']",['Western']
Oklahoma Blues,"['Jimmy Wakely', ' Dub Taylor', ' Virginia Belmont']",['Western']
Old Los Angeles,"['Wild Bill Elliott', ' Catherine McLeod']",['Western']
On an Island with You,"['Esther Williams', ' Peter Lawford', ' Ricardo Montalbán']",['Comedy']
One Sunday Afternoon,"['Dennis Morgan', ' Janis Paige']",['Musical']
One Touch of Venus,"['Robert Walker', ' Ava Gardner']",['Comedy']
On Our Merry Way,"['Paulette Goddard', ' Burgess Meredith']",['Comedy']
Open Secret,"['John Ireland', ' Jane Randolph']",['Drama']
Out of the Storm,"['Jimmy Lydon', ' Lois Collier']",['Crime']
Outlaw Brand,"['Jimmy Wakely', ' Dub Taylor', ' Kay Morley']",['Western']
Overland Trails,"['Johnny Mack Brown', ' Raymond Hatton', ' Virginia Belmont']",['Western']
The Paleface,"['Bob Hope', ' Jane Russell']","['Comedy', ' Western']"
Panhandle,"['Rod Cameron', ' Cathy Downs']",['Western']
"Parole, Inc.","[""Michael O'Shea"", ' Turhan Bey', ' Evelyn Ankers']",['Film Noir']
Partners of the Sunset,"['Jimmy Wakely', ' Dub Taylor']",['Western']
Perilous Waters,"['Don Castle', ' Audrey Long', ' Peggy Knudsen']",['Drama']
Phantom Valley,"['Charles Starrett', ' Smiley Burnette']",['Western']
The Pirate,"['Gene Kelly', ' Judy Garland']",['Musical']
Pitfall,"['Dick Powell', ' Lizabeth Scott']",['Film noir']
The Plunderers,"['Rod Cameron', ' Ilona Massey']",['Western']
Port Said,"['Gloria Henry', ' Steven Geray']",['Thriller']
Portrait of Jennie,"['Jennifer Jones', ' Joseph Cotten']",['Romance']
The Prince of Thieves,"['Patricia Morison', ' Jon Hall']",['Adventure']
Quick on the Trigger,"['Charles Starrett', ' Smiley Burnette', ' Lyle Talbot']",['Western']
Race Street,"['George Raft', ' Marilyn Maxwell', ' William Bendix']",['Film noir']
Rachel and the Stranger,"['William Holden', ' Loretta Young']",['Western']
Racing Luck,"['Gloria Henry', ' Stanley Clements', ' Paula Raymond']",['Drama']
Range Renegades,"['Jimmy Wakely', ' Dub Taylor', ' Jennifer Holt']",['Western']
The Rangers Ride,"['Jimmy Wakely', ' Dub Taylor', ' Virginia Belmont']",['Western']
Raw Deal,"[""Dennis O'Keefe"", ' Claire Trevor', ' Marsha Hunt']",['Film noir']
Red River,"['John Wayne', ' Montgomery Clift', ' Walter Brennan', ' Joanne Dru', ' John Ireland']",['Western']
Relentless,"['Robert Young', ' Marguerite Chapman']",['Western']
Renegades of Sonora,"['Allan Lane', ' Eddy Waller']",['Western']
Return of the Bad Men,"['Randolph Scott', ' Robert Ryan']",['Western']
The Return of October,"['Glenn Ford', ' Terry Moore']",['Comedy']
The Return of the Whistler,"['Lenore Aubert', ' Dick Lane']",['Mystery']
The Return of Wildfire,"['Richard Arlen', ' Patricia Morison', ' Mary Beth Hughes']",['Western']
River Lady,"['Yvonne De Carlo', ' Dan Duryea']",['Western']
Road House,"['Ida Lupino', ' Cornel Wilde']",['Film noir']
Rocky,"['Roddy McDowall', ' Gale Sherwood']",['Drama']
Rogues' Regiment,"['Dick Powell', ' Märta Torén', ' Vincent Price']",['Film noir']
Romance on the High Seas,"['Jack Carson', ' Janis Paige', ' Doris Day']",['Musical']
Rope,"['James Stewart', ' Farley Granger', ' John Dall']",['Film noir']
Rusty Leads the Way,"['John Litel', ' Ann Doran']",['Drama']
Ruthless,"['Zachary Scott', ' Martha Vickers']",['Drama']
Saigon,"['Alan Ladd', ' Veronica Lake']",['Film noir']
The Sainted Sisters,"['Veronica Lake', ' Joan Caulfield', ' George Reeves']",['Comedy']
The Saxon Charm,"['Robert Montgomery', ' Susan Hayward']",['Film noir']
Scudda Hoo! Scudda Hay!,"['June Haver', ' Lon McCallister']",['Comedy']
Sealed Verdict,"['Ray Milland', ' Florence Marly', ' Broderick Crawford']",['Drama']
The Search,"['Montgomery Clift', ' Aline MacMahon']",['Drama']
Secret Beyond the Door...,"['Joan Bennett', ' Michael Redgrave']",['Thriller']
Secret Service Investigator,"['Lloyd Bridges', ' Lynne Roberts']",['Crime']
Shaggy,"['Brenda Joyce', ' Robert Shayne']",['Drama']
Shanghai Chest,"['Roland Winters', ' Mantan Moreland']",['Mystery']
Shed No Tears,"['June Vincent', ' Wallace Ford']",['Drama']
Shep Comes Home,"['Robert Lowery', ' Margia Dean']",['Drama']
The Sheriff of Medicine Bow,"['Johnny Mack Brown', ' Raymond Hatton']",['Western']
The Sign of the Ram,"['Susan Peters', ' Alexander Knox']",['Drama']
Silent Conflict,"['William Boyd', ' Virginia Belmont']",['Western']
Silver River,"['Errol Flynn', ' Ann Sheridan', ' Thomas Mitchell']",['Western']
Silver Trails,"['Jimmy Wakely', ' Dub Taylor']",['Western']
Singin' Spurs,"['Kirby Grant', ' Patricia Barry', ' Lee Patrick']",['Musical western']
Sinister Journey,"['William Boyd', ' Elaine Riley']",['Western']
Sitting Pretty,"['Robert Young', "" Maureen O'Hara""]",['Comedy']
