The Absent-Minded Professor,"['Fred MacMurray', ' Nancy Olson', ' Keenan Wynn', ' Tommy Kirk']",['Comedy']
Ada,"['Susan Hayward', ' Dean Martin']",['Political drama']
All in a Night's Work,"['Dean Martin', ' Shirley MacLaine', ' Cliff Robertson']",['Romantic comedy']
All Hands on Deck,"['Pat Boone', ' Barbara Eden', ' Buddy Hackett']",['Musical comedy']
Angel Baby,"['George Hamilton', ' Mercedes McCambridge', ' Joan Blondell']",['Drama']
Atlas,"['Michael Forest', ' Barboura Morris']",['Adventure']
Aquamania,[''],['Animated']
Armored Command,"['Howard Keel', ' Tina Louise', ' Earl Holliman']",['War']
"Atlantis, the Lost Continent","['John Dall', ' Edward Platt']",['Sci-fi']
Babes in Toyland,"['Tommy Sands', ' Annette Funicello', ' Ray Bolger', ' Ed Wynn']",['Musical']
Bachelor Flat,"['Tuesday Weld', ' Richard Beymer', ' Terry-Thomas']",['Comedy']
Bachelor in Paradise,"['Bob Hope', ' Lana Turner', ' Paula Prentiss', ' Janis Paige']",['Comedy']
Back Street,"['Susan Hayward', ' John Gavin', ' Vera Miles']",['Drama']
Battle at Bloody Beach,"['Audie Murphy', ' Dolores Michaels']",['War']
The Beast of Yucca Flats,['Tor Johnson'],['Sci-fi']
Beep Prepared,['voice of Paul Julian'],['Animated']
The Big Bankroll,"['David Janssen', ' Dianne Foster', ' Diana Dors']",['Crime']
The Big Gamble,"['Stephen Boyd', ' Juliette Gréco', ' David Wayne']",['Adventure']
The Big Show,"['Esther Williams', ' Cliff Robertson', ' Robert Vaughn']",['Drama']
Blast of Silence,"['Allen Baron', ' Larry Tucker']",['Thriller']
Bloodlust!,"['Robert Reed', ' June Kenney']",['Horror']
Blue Hawaii,"['Elvis Presley', ' Joan Blackman', ' Angela Lansbury']",['Musical']
Blueprint for Robbery,"[""J. Pat O'Malley"", ' Robert Gist']",['Crime']
Boy Who Caught a Crook,"['Wanda Hendrix', ' Roger Mobley']",['Adventure']
Boys Beware,[''],['Documentary']
Breakfast at Tiffany's,"['Audrey Hepburn', ' George Peppard', ' Buddy Ebsen', ' Patricia Neal', ' Martin Balsam', ' Mickey Rooney']",['Drama']
Bridge to the Sun,"['Carroll Baker', ' James Shigeta']",['Drama']
Buffalo Gun,"['Webb Pierce', ' Wayne Morris', ' Mary Ellen Kay']",['Western']
By Love Possessed,"['Lana Turner', ' Efrem Zimbalist', ' Jr.', ' Jason Robards']",['Drama']
The Cat Burglar,"['Jack Hogan', ' June Kenney']",['Thriller']
The Children's Hour,"['Audrey Hepburn', ' Shirley MacLaine', ' James Garner']",['Drama']
Claudelle Inglish,"['Diane McBain', ' Arthur Kennedy', ' Chad Everett']",['Drama']
The Clown and the Kid,"['John Lupton', ' Michael McGreevey', ' Mary Webster']",['Drama']
A Cold Wind in August,"['Lola Albright', ' Scott Marlowe']",['Drama']
The Comancheros,"['John Wayne', ' Stuart Whitman', ' Ina Balin']",['Western']
Come September,"['Rock Hudson', ' Gina Lollobrigida', ' Bobby Darin', ' Sandra Dee']",['Comedy']
The Continental Twist,"['Louis Prima', ' June Wilkinson', ' Gertrude Michael']",['Comedy']
Creature from the Haunted Sea,"['Antony Carbone', ' Betsy Jones-Moreland']",['Science fiction']
Cry for Happy,"['Glenn Ford', "" Donald O'Connor"", ' James Shigeta']",['Comedy']
Daffy's Inn Trouble,['voice of Mel Blanc'],['Animated']
The Deadly Companions,"[""Maureen O'Hara"", ' Brian Keith', ' Chill Wills']",['Western']
The Devil at 4 O'Clock,"['Spencer Tracy', ' Frank Sinatra', ' Grégoire Aslan']",['Disaster']
The Devil's Hand,"['Robert Alda', ' Linda Christian', ' Ariadna Welter']",['Horror']
Devil's Partner,"['Ed Nelson', ' Edgar Buchanan']",['Horror']
Diary of a Nudist,"['Davee Decker', ' Norman Casserly']",['Comedy']
Dondi,"['David Janssen', ' Patti Page', ' Walter Winchell']",['Comedy']
Down and Outing,['voice of Allen Swift'],['Animated']
El Cid,"['Charlton Heston', ' Sophia Loren', ' Raf Vallone', ' Geneviève Page', ' Herbert Lom']",['Historical epic']
The Errand Boy,"['Jerry Lewis', ' Brian Donlevy']",['Comedy']
Everything's Ducky,"['Buddy Hackett', ' Mickey Rooney', ' Jackie Cooper']",['Comedy']
The Exiles,[''],['Documentary']
The Explosive Generation,"['William Shatner', ' Patty McCormack']",['Drama']
Fanny,"['Leslie Caron', ' Charles Boyer']",['Drama']
Fear No More,"['Mala Powers', ' Jacques Bergerac', ' Anna Lee Carroll']",['Thriller']
A Fever in the Blood,"['Efrem Zimbalist Jr.', ' Angie Dickinson', ' Don Ameche']",['Crime drama']
The Fiercest Heart,"['Stuart Whitman', ' Juliet Prowse', ' Geraldine Fitzgerald']",['Drama']
Five Minutes to Live,"['Johnny Cash', ' Cay Forrester']",['Crime drama']
Flight of the Lost Balloon,"['Mala Powers', ' Marshall Thompson']",['Sci-fi']
The Flight That Disappeared,"['Craig Hill', ' Paula Raymond']",['Drama']
Flower Drum Song,"['Nancy Kwan', ' James Shigeta', ' Jack Soo', ' Miyoshi Umeki']",['Musical']
Force of Impulse,"['Robert Alda', ' Jeff Donnell', ' J. Carrol Naish']",['Drama']
Francis of Assisi,"['Bradford Dillman', ' Dolores Hart', ' Stuart Whitman']",['Drama']
Frontier Uprising,"['Jim Davis', ' Nestor Paiva']",['Western']
The Gambler Wore a Gun,"['Jim Davis', ' Merry Anders']",['Western']
The George Raft Story,"['Ray Danton', ' Jayne Mansfield', ' Julie London']",['Biography']
Gidget Goes Hawaiian,"['Deborah Walley', ' James Darren']",['Comedy']
Go Naked in the World,"['Gina Lollobrigida', ' Anthony Franciosa', ' Ernest Borgnine']",['Drama']
Gold of the Seven Saints,"['Clint Walker', ' Roger Moore']",['Adventure']
Goodbye Again,"['Ingrid Bergman', ' Anthony Perkins']",['Drama']
The Great Impostor,"['Tony Curtis', "" Edmond O'Brien"", ' Karl Malden']",['Biography']
Greyfriars Bobby,"['Donald Crisp', ' Laurence Naismith']",['Drama']
Gun Fight,"['James Brown', ' Joan Staley']",['Western']
Gun Street,"['James Brown', ' Jean Willes', ' John Clarke']",['Western']
The Happy Thieves,"['Rex Harrison', ' Rita Hayworth']",['Comedy']
Havoc in Heaven,[''],['Animated']
Hercules in the Haunted World,"['Reg Park', ' Christopher Lee']",['Adventure']
"Hey, Let's Twist!","['Joey Dee', ' Jo Ann Campbell']",['Musical']
Homicidal,"['Glenn Corbett', ' Patricia Breslin', ' Eugenie Leontovich']",['Suspense']
The Honeymoon Machine,"['Steve McQueen', ' Jim Hutton', ' Paula Prentiss']",['Comedy']
Hoodlum Priest,"['Don Murray', ' Keir Dullea']",['Biography']
The Hustler,"['Paul Newman', ' Jackie Gleason', ' Piper Laurie', ' George C. Scott', ' Myron McCormick']",['Drama']
Judgment at Nuremberg,"['Spencer Tracy', ' Marlene Dietrich', ' Richard Widmark', ' Maximilian Schell', ' Burt Lancaster', ' William Shatner', ' Montgomery Clift', ' Judy Garland']",['Drama']
King of Kings,"['Jeffrey Hunter', ' Robert Ryan', ' Hurd Hatfield', ' Rip Torn', ' Siobhán McKenna', ' Ron Randell', ' Rita Gam']",['Biblical drama']
The Ladies Man,"['Jerry Lewis', ' Lillian Briggs', ' Helen Traubel']",['Comedy']
The Last Sunset,"['Rock Hudson', ' Kirk Douglas', ' Dorothy Malone']",['Western']
The Last Time I Saw Archie,"['Robert Mitchum', ' Jack Webb', ' Martha Hyer']",['Comedy']
The Lawbreakers,"['Jack Warden', ' Vera Miles']",['Crime drama']
The Little Shepherd of Kingdom Come,"['Jimmie Rodgers', ' Luana Patten']",['Drama']
The Long Rope,"['Hugh Marlowe. Alan Hale', ' Jr.']",['Western']
Look in Any Window,"['Paul Anka', ' Gigi Perreau']",['Drama']
Love in a Goldfish Bowl,"['Tommy Sands', ' Fabian']",['Comedy']
Lover Come Back,"['Doris Day', ' Rock Hudson', ' Tony Randall', ' Edie Adams']",['Romantic comedy']
Mad Dog Coll,"['John Davis Chandler', ' Brooke Hayward', ' Jerry Orbach']",['Crime drama']
Madison Avenue,"['Dana Andrews', ' Eleanor Parker', ' Jeanne Crain']",['Drama']
A Majority of One,"['Rosalind Russell', ' Alec Guinness']",['Comedy']
Man-Trap,"['Jeffrey Hunter', ' David Janssen', ' Stella Stevens']",['Crime drama']
"Marines, Let's Go","['Tom Tryon', ' David Hedison']",['War']
The Mark,"['Stuart Whitman', ' Rod Steiger']",['Drama']
The Marriage-Go-Round,"['Julie Newmar', ' James Mason', ' Susan Hayward']",['Comedy']
