3:15,"['Adam Baldwin', ' Jesse Aragon', ' René Auberjonois']",['Crime drama']
8 Million Ways to Die,"['Jeff Bridges', ' Rosanna Arquette', ' Andy García']","['Thriller', ' Crime']"
9½ Weeks,"['Mickey Rourke', ' Kim Basinger']",['Drama']
52 Pick-Up,"['Roy Scheider', ' Ann-Margret', ' John Glover']","['Thriller', ' Crime']"
About Last Night...,"['Rob Lowe', ' Demi Moore', ' James Belushi', ' Elizabeth Perkins']",['Romantic comedy']
The Adventures of the American Rabbit,['Barry Gordon'],['Animated film']
Aliens,"['Sigourney Weaver', ' Michael Biehn', ' Lance Henriksen', ' Carrie Henn', ' Bill Paxton', ' Paul Reiser', ' Jenette Goldstein']",['Science fiction']
Amazons,"['Penelope Reed', ' Joseph Whipp']",['Science fiction']
American Anthem,"['Mitchell Gaylord', ' Janet Jones']",['Drama']
April Fool's Day,"['Deborah Foreman', ' Jay Baker']",['Horror']
Armed and Dangerous,"['John Candy', ' Eugene Levy', ' Meg Ryan']",['Comedy']
Armed Response,"['David Carradine', ' Lee Van Cleef', ' Mako']",['Action']
Artie Shaw: Time Is All You've Got,"['Archive footage of Artie Shaw', ' Billie Holiday']",['Documentary']
As Is,"['Colleen Dewhurst', ' Robert Carradine']",['Drama']
At Close Range,"['Christopher Walken', ' Sean Penn', ' Chris Penn', ' Mary Stuart Masterson']",['Crime drama']
Avenging Force,"['Michael Dudikoff', ' Steve James']",['Action']
Back to School,"['Rodney Dangerfield', ' Sally Kellerman', ' Keith Gordon', ' Ned Beatty', ' Adrienne Barbeau', ' Burt Young', ' Robert Downey Jr.']",['Comedy']
Band of the Hand,"['Stephen Lang', ' Lauren Holly', ' Leon']",['Action']
Behind Enemy Lines,"['David Carradine', ' Mako Iwamatsu', ' Steve James']",['Action']
The Best of Times,"['Robin Williams', ' Kurt Russell', ' Pamela Reed']",['Comedy']
Big Trouble,"['Peter Falk', ' Alan Arkin', "" Beverly D'Angelo"", ' Valerie Curtin']",['Comedy']
Big Trouble in Little China,"['Kurt Russell', ' Kim Cattrall', ' Victor Wong']",['Action']
Black Moon Rising,"['Tommy Lee Jones', ' Linda Hamilton', ' Robert Vaughn']",['Action']
Blue City,"['Judd Nelson', ' Ally Sheedy', ' Scott Wilson', ' David Caruso']",['Drama']
Blue Velvet,"['Isabella Rossellini', ' Kyle MacLachlan', ' Laura Dern', ' Dennis Hopper', ' Hope Lange']",['Suspense']
The Boy Who Could Fly,"['Bonnie Bedelia', ' Lucy Deakins', ' Jay Underwood', ' Fred Savage', ' Fred Gwynne', ' Mindy Cohn', ' Colleen Dewhurst']",['Fantasy']
