20 Dates,"['Myles Berkowitz', ' Elisabeth Wagner', ' Tia Carrere']",['Mockumentary']
Vampires,"['James Woods', ' Daniel Baldwin', ' Sheryl Lee']",['Horror']
Very Bad Things,"['Christian Slater', ' Cameron Diaz', ' Jon Favreau', ' Daniel Stern', ' Jeremy Piven', ' Jeanne Tripplehorn']",['Comedy']
The Waterboy,"['Adam Sandler', ' Henry Winkler', ' Kathy Bates', ' Fairuza Balk']",['Comedy']
The Wedding Singer,"['Adam Sandler', ' Drew Barrymore', ' Christine Taylor', ' Steve Buscemi', ' Alexis Arquette']",['Comedy']
What Dreams May Come,"['Robin Williams', ' Cuba Gooding', ' Jr.', ' Annabella Sciorra']",['Drama']
Why Do Fools Fall in Love,"['Halle Berry', ' Vivica A. Fox', ' Lela Rochon']",['Romance']
Wide Awake,"['Joseph Cross', ' Timothy Reifsnyder', ' Dana Delany', ' Denis Leary']",['Comedy drama']
Wild Things,"['Kevin Bacon', ' Matt Dillon', ' Neve Campbell', ' Denise Richards', ' Bill Murray']",['Thriller']
Without Limits,"['Billy Crudup', ' Donald Sutherland', ' Monica Potter']",['Biography']
Woo,"['Jada Pinkett', ' Tommy Davidson', ' LL Cool J']",['Comedy']
Wrongfully Accused,"['Leslie Nielsen', ' Richard Crenna', ' Melinda McGraw', ' Kelly Le Brock']",['Comedy']
The X-Files,"['Gillian Anderson', ' David Duchovny', ' Martin Landau']",['Science fiction']
Your Friends & Neighbors,"['Amy Brenneman', ' Aaron Eckhart', ' Nastassja Kinski', ' Jason Patric', ' Catherine Keener', ' Ben Stiller']",['Drama']
You've Got Mail,"['Tom Hanks', ' Meg Ryan', ' Parker Posey', ' Jean Stapleton']",['Rom com']
Zero Effect,"['Bill Pullman', "" Ryan O'Neal"", ' Ben Stiller']",['Drama']
