20 Dates,"['Myles Berkowitz', ' Elisabeth Wagner', ' Tia Carrere']",['Mockumentary']
Casper Meets Wendy,"['Hilary Duff', ' Cathy Moriarty-Gentile', ' Shelley Duvall', ' Teri Garr']",['Comedy']
Caught Up,"['Bokeem Woodbine', ' Cynda Williams', ' Snoop Dogg']",['Crime drama']
Celebrity,"['Kenneth Branagh', ' Judy Davis', ' Bebe Neuwirth', ' Charlize Theron', ' Leonardo DiCaprio']",['Comedy']
Chairman of the Board,"['Carrot Top', ' Courtney Thorne-Smith']",['Comedy']
City of Angels,"['Nicolas Cage', ' Meg Ryan', ' Andre Braugher', ' Dennis Franz']",['Fantasy']
A Civil Action,"['John Travolta', ' Robert Duvall', ' William H. Macy', ' Tony Shalhoub', ' Kathleen Quinlan', ' John Lithgow', ' Dan Hedaya', ' Sydney Pollack', ' James Gandolfini']",['Drama']
Clay Pigeons,"['Joaquin Phoenix', ' Janeane Garofalo', ' Georgina Cates', ' Vince Vaughn']",['Drama']
Cousin Bette,"['Jessica Lange', ' Elisabeth Shue', ' Hugh Laurie', ' Bob Hoskins']",['Period drama']
Curse of the Puppet Master,"['George Peck', ' Emily Harrison', ' Josh Green']",['Horror']
The Curve,"['Matthew Lillard', ' Michael Vartan', ' Randall Batinkoff', ' Keri Russell']",['Thriller']
Dance with Me,"['Vanessa L. Williams', ' Chayanne', ' Kris Kristofferson', ' Joan Plowright']",['Romance']
"Dancer, Texas Pop. 81","['Ethan Embry', ' Patricia Wettig', ' Ashley Johnson']",['Comedy']
Dancing at Lughnasa,"['Meryl Streep', ' Catherine McCormack', ' Kathy Burke']",['Comedy']
Dangerous Beauty,"['Catherine McCormack', ' Oliver Platt', ' Fred Ward']",['Drama']
Dark City,"['Jennifer Connelly', ' William Hurt', ' Rufus Sewell', ' Kiefer Sutherland']",['Science fiction']
Dead Man on Campus,"['Mark-Paul Gosselaar', ' Tom Everett Scott']",['Comedy']
Deep Impact,"['Robert Duvall', ' Téa Leoni', ' Morgan Freeman', ' Elijah Wood', ' Vanessa Redgrave', ' Maximilian Schell', ' Leelee Sobieski']",['Disaster']
Deep Rising,"['Treat Williams', ' Famke Janssen', ' Wes Studi', "" Kevin J. O'Connor"", ' Anthony Heald', ' Jason Flemyng', ' Djimon Hounsou', ' Clifton Powell', "" Derrick O'Connor""]",['Horror']
Dennis the Menace Strikes Again,"['Justin Cooper', ' Don Rickles', ' Betty White', ' George Kennedy', ' Brian Doyle-Murray', "" Scott 'Carrot Top' Thompson""]",['Family']
The Dentist 2,"['Corbin Bernsen', ' Jillian McWhirter']",['Horror']
Desert Blue,"['Brendan Sexton III', ' Kate Hudson', ' Casey Affleck', ' Christina Ricci']",['Comedy drama']
Desperate Measures,"['Michael Keaton', ' Andy García', ' Marcia Gay Harden', ' Brian Cox']",['Drama']
Digging to China,"['Evan Rachel Wood', ' Kevin Bacon', ' Mary Stuart Masterson']",['Drama']
Dirty Work,"['Norm Macdonald', ' Jack Warden', ' Don Rickles', ' Chevy Chase', ' Chris Farley']",['Comedy']
Disturbing Behavior,"['James Marsden', ' Katie Holmes', ' Nick Stahl', ' William Sadler']",['Thriller']
Dr. Dolittle,"['Eddie Murphy', ' Ossie Davis', ' Richard Schiff']",['Comedy']
Down in the Delta,"['Alfre Woodard', ' Loretta Devine', ' Esther Rolle']",['Drama']
Drive,"['Mark Dacascos', ' Tracey Walter', ' Brittany Murphy']",['Action']
Edge of Seventeen,"['Chris Stafford', ' Lea DeLaria', ' Tina Holmes']",['Comedy']
