A.D.,[''],['']
The Adventures of Mark Twain,['James Whitmore'],['Animation']
After Hours,"['Griffin Dunne', ' Rosanna Arquette', ' Verna Bloom', ' Linda Fiorentino', "" Catherine O'Hara"", ' Teri Garr', ' John Heard']","['Comedy', ' thriller']"
Agnes of God,"['Jane Fonda', ' Anne Bancroft', ' Meg Tilly']",['Drama']
Alamo Bay,"['Amy Madigan', ' Ed Harris', ' Ho Nguyen']",['Drama']
Alice in Wonderland,"['Natalie Gregory', ' Red Buttons', ' Roddy McDowall', ' Jayne Meadows', ' Scott Baio', ' Robert Morley', ' Anthony Newley', ' Imogene Coca', ' Telly Savalas', ' Ringo Starr', ' Shelley Winters']",['Fantasy']
American Flyers,"['Kevin Costner', ' David Marshall Grant', ' Rae Dawn Chong', ' Alexandra Paul', ' Janice Rule', ' John Amos']",['Drama']
American Ninja,"['Michael Dudikoff', ' Steve James', ' Judie Aronson']",['Action']
Anna Karenina,"['Jacqueline Bisset', ' Christopher Reeve', ' Paul Scofield', ' Ian Ogilvy']",['Drama']
Appointment with Fear,"['Michele Little', ' Douglas Rowe', ' Garrick Dowhen', ' Kerry Remsen']",['Horror']
Avenging Angel,"['Betsy Russell', ' Ossie Davis', ' Rory Calhoun']",['Drama']
"Aviator, The","['Rosanna Arquette', ' Christopher Reeve', ' Tyne Daly']",['Adventure']
Baby: Secret of the Lost Legend,"['William Katt', ' Sean Young', ' Patrick McGoohan', ' Julian Fellowes']",['Fantasy']
Back to the Future,"['Michael J. Fox', ' Christopher Lloyd', ' Lea Thompson', ' Crispin Glover', ' Thomas F. Wilson']",['Science fiction']
Bad Medicine,"['Steve Guttenberg', ' Alan Arkin', ' Julie Hagerty', ' Curtis Armstrong']",['Comedy']
"Bad Seed, The","['Blair Brown', ' Lynn Redgrave', ' David Carradine']",['Thriller']
Barbarian Queen,['Lana Clarkson'],['Sci-fi']
Beer,"['Rip Torn', ' Loretta Swit', ' David Alan Grier']",['Comedy']
Better Off Dead,"['John Cusack', ' Diane Franklin', ' David Ogden Stiers', ' Kim Darby']",['Comedy']
Black Arrow,"['Oliver Reed', ' Fernando Rey', ' Donald Pleasence']",['Adventure']
"Black Cauldron, The","['Grant Bardsley', ' Susan Sheridan', ' Freddie Jones', ' Nigel Hawthorne']",['Animated']
"Boys Next Door, The","['Charlie Sheen', ' Maxwell Caulfield', "" Patti D'Arbanville""]",['Drama']
Brazil,"['Jonathan Pryce', ' Kim Greist', ' Michael Palin', ' Robert De Niro', ' Katherine Helmond']",['Science fiction']
The Breakfast Club,"['Emilio Estevez', ' Anthony Michael Hall', ' Judd Nelson', ' Molly Ringwald', ' Ally Sheedy', ' Paul Gleason', ' John Kapelos']",['Drama']
Brewster's Millions,"['Richard Pryor', ' John Candy', ' Lonette McKee']",['Comedy']
The Bride,"['Sting', ' Jennifer Beals', ' Anthony Higgins', ' Clancy Brown']",['Horror']
Bridge to Terabithia,"['Julian Coutts', ' Julie Beaulieu', "" Annette O'Toole"", ' Tom Heaton']",['Drama']
Bring on the Night,"['Sting', ' Branford Marsalis']",['Documentary']
Cat's Eye,"['Drew Barrymore', ' James Woods', ' Robert Hays', ' Alan King']","['Horror', ' Comedy']"
Certain Fury,"[""Tatum O'Neal"", ' Irene Cara', ' Peter Fonda']",['Action']
"Chorus Line, A","['Michael Douglas', ' Audrey Landers', ' Janet Jones']",['Musical']
Clue,"['Tim Curry', ' Madeline Kahn', ' Lesley Ann Warren', ' Martin Mull', ' Eileen Brennan', ' Christopher Lloyd', ' Michael McKean', ' Colleen Camp']",['Comedy']
The Coca-Cola Kid,"['Eric Roberts', ' Greta Scacchi']",['Comedy']
Cocoon,"['Don Ameche', ' Wilford Brimley', ' Hume Cronyn', ' Jessica Tandy', ' Maureen Stapleton', ' Steve Guttenberg', ' Brian Dennehy']",['Science fiction']
Code of Silence,"['Chuck Norris', ' Molly Hagan', ' Henry Silva', ' Mike Genovese']",['Action']
"Color Purple, The","['Whoopi Goldberg', ' Danny Glover', ' Oprah Winfrey', ' Margaret Avery', ' Laurence Fishburne', ' Adolph Caesar', ' Rae Dawn Chong']",['Drama']
Commando,"['Arnold Schwarzenegger', ' Rae Dawn Chong', ' Dan Hedaya', ' Vernon Wells', ' Bill Duke', ' David Patrick Kelly']",['Action']
Compromising Positions,"['Susan Sarandon', ' Raúl Juliá', ' Mary Beth Hurt', ' Joe Mantegna']",['Comedy']
Creator,"[""Peter O'Toole"", ' Mariel Hemingway', ' Vincent Spano', ' Virginia Madsen']","['Sci-fi', ' Comedy']"
Creature,"['Stan Iver', ' Diane Salinger', ' Klaus Kinski']",['Sci-fi']
Crimewave,"['Louise Lasser', ' Bruce Campbell']",['Comedy']
D.A.R.Y.L.,"['Barret Oliver', ' Michael McKean', ' Mary Beth Hurt', ' Colleen Camp']",['Sci-fi']
Day of the Dead,"['Lori Cardille', ' Sherman Howard']",['Horror']
Death Wish 3,"['Charles Bronson', ' Martin Balsam']",['Action']
Def-Con 4,"['Lenore Zann', ' Maury Chaykin', ' Kate Lynch']",['Sci-fi']
Desert Hearts,"['Helen Shaver', ' Audra Lindley', ' Patricia Charbonneau']",['Drama']
Desperately Seeking Susan,"['Rosanna Arquette', ' Aidan Quinn', ' Madonna']",['Romance']
Dim Sum: A Little Bit of Heart,"['Laureen Chew', ' Kim Chew', ' Victor Wong']",['Comedy']
"Dungeonmaster, The","['Jeffrey Byron', ' Richard Moll']",['Sci-fi']
Eleni,"['Kate Nelligan', ' John Malkovich', ' Linda Hunt']",['Drama']
"Emerald Forest, The","['Powers Boothe', ' Charley Boorman', ' Meg Foster']",['Adventure']
Enemy Mine,"['Dennis Quaid', ' Louis Gossett', ' Jr.']",['Sci-fi']
Ewoks: The Battle for Endor,"['Wilford Brimley', ' Warwick Davis', ' Aubree Miller']",['Fantasy']
Explorers,"['River Phoenix', ' Ethan Hawke', ' Jason Presson']",['Sci-fi']
"Falcon and the Snowman, The","['Timothy Hutton', ' Sean Penn']",['Drama']
Fandango,"['Kevin Costner', ' Judd Nelson', ' Sam Robards', ' Suzy Amis']",['Comedy']
Fast Forward,"['Tamara Mark', ' Monique Cintron']",['Musical']
Fever Pitch,"[""Ryan O'Neal"", ' Giancarlo Giannini', ' Catherine Hicks', ' Chad Everett']",['Drama']
Final Justice,"['Joe Don Baker', ' Rossano Brazzi', ' Venantino Venantini']",['Crime']
Flesh and Blood,"['Rutger Hauer', ' Jennifer Jason Leigh', ' Ronald Lacey']",['Adventure']
Flesh and Bullets,"['Glenn McKay', ' Susan Silvers', ' Cornel Wilde']",['Crime']
Fletch,"['Chevy Chase', ' Joe Don Baker', ' Dana Wheeler-Nicholson', ' Geena Davis']",['Comedy']
Fool for Love,"['Sam Shepard', ' Kim Basinger', ' Randy Quaid']",['Drama']
Fraternity Vacation,"['Sheree J. Wilson', ' Tim Robbins', ' John Vernon']",['Comedy']
Friday the 13th: A New Beginning,"['Suzanne Bateman', ' Corey Feldman']",['Horror']
Fright Night,"['Chris Sarandon', ' Roddy McDowall', ' William Ragsdale', ' Amanda Bearse']","['Comedy', ' Horror']"
Ghoulies,"['Mariska Hargitay', ' Peter Liapis']",['Horror']
Girls Just Want to Have Fun,"['Sarah Jessica Parker', ' Helen Hunt']",['Comedy']
"Goodbye, New York","['Julie Hagerty', ' Amos Kollek']",['Comedy']
"Goonies, The","['Sean Astin', ' Josh Brolin', ' Jeff Cohen', ' Corey Feldman', ' Kerri Green', ' Martha Plimpton', ' Jonathan Ke Quan', ' Anne Ramsey', ' Robert Davi', ' Joe Pantoliano']","['Adventure', ' Family']"
Gotcha!,"['Anthony Edwards', ' Linda Fiorentino']",['Comedy']
Gymkata,"['Kurt Thomas', ' Tetchie Agbayani', ' Richard Norton']",['Action']
Head Office,"['Judge Reinhold', ' Eddie Albert', ' Danny DeVito']",['Comedy']
Heaven Help Us,"['Kevin Dillon', ' Andrew McCarthy', ' Mary Stuart Masterson', ' Donald Sutherland', ' John Heard', ' Patrick Dempsey']",['Comedy']
