365 Nights in Hollywood,"['Alice Faye', ' Grant Mitchell', ' James Dunn']",['Musical']
6 Day Bike Rider,"['Joe E. Brown', ' Maxine Doyle', ' Frank McHugh']",['Comedy']
Adventures of Texas Jack,"['Hal Taliaferro', ' Jay Wilsey', ' Victoria Vinton']",['Western']
The Affairs of Cellini,"['Constance Bennett', ' Fredric March', ' Fay Wray']",['Historical comedy']
Affairs of a Gentleman,"['Paul Lukas', ' Leila Hyams', ' Patricia Ellis']",['Drama']
Against the Law,"['Johnny Mack Brown', ' Sally Blane']",['Crime']
The Age of Innocence,"['Irene Dunne', ' John Boles', ' Helen Westley']",['Drama']
All Men Are Enemies,"['Helen Twelvetrees', ' Mona Barrie', ' Hugh Williams']",['Drama']
All of Me,"['Fredric March', ' George Raft', ' Miriam Hopkins']","['Comedy', ' Drama']"
Among the Missing,"['Richard Cromwell', ' Billie Seward']",['Drama']
Anne of Green Gables,"['Anne Shirley', ' Helen Westley', ' O. P. Heggie']","['Comedy', ' Drama']"
Are We Civilized?,"['Frank McGlynn', ' William Farnum', ' Anita Louise']",['Drama']
As Husbands Go,"['Warner Baxter', ' Helen Vinson']",['Comedy']
As the Earth Turns,"['Donald Woods', ' Jean Muir', ' Dorothy Peterson']",['Drama']
Babbitt,"['Aline MacMahon', ' Guy Kibbee']",['Drama']
Babes in Toyland,"['Stan Laurel', ' Oliver Hardy', ' Charlotte Henry']","['Comedy', ' Fantasy']"
Baby Take a Bow,"['Shirley Temple', ' Claire Trevor', ' James Dunn']","['Comedy', ' Drama']"
Bachelor Bait,"['Stuart Erwin', ' Rochelle Hudson', ' Grady Sutton']",['Comedy']
Bachelor of Arts,"['Anita Louise', ' Mae Marsh']",['Drama']
The Band Plays On,"['Robert Young', ' Stuart Erwin']",['Drama']
The Barrets of Wimpole Street,"['Norma Shearer', ' Fredric March', ' Charles Laughton']",['Historical']
The Beast of Borneo,"['Eugene Sigaloff', ' Mae Stuart', '']","['Drama', ' Horror']"
Bedside,"['Warren William', ' Jean Muir', ' Allen Jenkins']",['Drama']
Beggars in Ermine,"['Lionel Atwill', ' Jameson Thomas', ' Betty Furness']",['Drama']
Behold My Wife!,"['Sylvia Sidney', ' Ann Sheridan', ' H. B. Warner']","['Comedy', ' Drama']"
