3 Ring Circus,"['Dean Martin', ' Jerry Lewis', ' Zsa Zsa Gabor', ' Joanne Dru']",['Musical comedy']
Black Tuesday,"['Edward G. Robinson', ' Peter Graves']",['Crime drama']
Black Widow,"['Ginger Rogers', ' Van Heflin', ' Gene Tierney', ' George Raft']",['Mystery']
The Bob Mathias Story,"['Bob Mathias', ' Ward Bond', ' Diane Jergens']",['Biography']
Border River,"['Joel McCrea', ' Yvonne De Carlo']",['Western']
The Bounty Hunter,"['Randolph Scott', ' Marie Windsor']",['Western']
The Bowery Boys Meet the Monsters,"['Leo Gorcey', ' Huntz Hall']",['Comedy']
The Boy from Oklahoma,"['Will Rogers Jr.', ' Nancy Olson']",['Western']
The Bridges at Toko-Ri,"['William Holden', ' Grace Kelly', ' Fredric March', ' Mickey Rooney', ' Earl Holliman']",['War']
Brigadoon,"['Gene Kelly', ' Van Johnson', ' Cyd Charisse']",['Musical']
Bright Road,"['Dorothy Dandridge', ' Harry Belafonte']",['Drama']
Broken Lance,"['Spencer Tracy', ' Robert Wagner', ' Richard Widmark', ' Katy Jurado']",['Western']
Bugs and Thugs,['Mel Blanc'],['Animated']
A Bullet Is Waiting,"['Jean Simmons', ' Rory Calhoun']",['Film noir']
The Caine Mutiny,"['Humphrey Bogart', ' José Ferrer', ' Van Johnson', ' Fred MacMurray', ' Robert Francis', ' E. G. Marshall', ' Tom Tully', ' Jerry Paris', ' May Wynn', ' Lee Marvin']","['War', ' Drama']"
Cannibal Attack,"['Johnny Weissmuller', ' Judy Walsh']",['Adventure']
Captain Kidd and the Slave Girl,"['Anthony Dexter', ' Eva Gabor']",['Adventure']
Carmen Jones,"['Harry Belafonte', ' Dorothy Dandridge']",['Musical']
Carnival Story,"['Anne Baxter', ' Steve Cochran']",['Drama']
Casanova's Big Night,"['Bob Hope', ' Joan Fontaine', ' Basil Rathbone']",['Comedy']
Cattle Queen of Montana,"['Barbara Stanwyck', ' Ronald Reagan']",['Western']
Charge of the Lancers,"['Paulette Goddard', ' Jean-Pierre Aumont']",['Adventure']
The Command,"['Guy Madison', ' James Whitmore', ' Joan Weldon']",['Western']
The Country Girl,"['Bing Crosby', ' Grace Kelly', ' William Holden']",['Drama']
Creature from the Black Lagoon,"['Richard Carlson', ' Julie Adams', ' Richard Denning']",['Science fiction']
Crime Wave,"['Sterling Hayden', ' Gene Nelson', ' Ted de Corsia', ' Phyllis Kirk']",['Crime drama']
Crossed Swords,"['Errol Flynn', ' Gina Lollobrigida']",['Swashbuckler']
Cry Vengeance,"['Mark Stevens', ' Skip Homeier', ' Martha Hyer']",['Crime']
Dangerous Mission,"['Victor Mature', ' Piper Laurie']",['Thriller']
Dawn at Socorro,"['Rory Calhoun', ' Piper Laurie', ' David Brian', ' Kathleen Hughes', ' Alex Nicol']",['Western']
Deep in My Heart,"['José Ferrer', ' Merle Oberon', ' Walter Pidgeon']","['Musical', ' Biography']"
Demetrius and the Gladiators,"['Victor Mature', ' Susan Hayward', ' Michael Rennie', ' Debra Paget', ' Anne Bancroft']",['Adventure']
Désirée,"['Marlon Brando', ' Jean Simmons', ' Merle Oberon']",['Historical']
The Desperado,"['Wayne Morris', ' Beverly Garland']",['Western']
