10:30 P.M. Summer,"['Melina Mercouri', ' Romy Schneider', ' Peter Finch']",['Drama']
7 Women,"['Anne Bancroft', ' Sue Lyon', ' Margaret Leighton', ' Betty Field', ' Flora Robson', ' Mildred Dunnock', ' Eddie Albert']",['Drama']
Agent for H.A.R.M.,"['Peter Mark Richman', ' Barbara Bouchet', ' Wendell Corey']",['Spy film']
Alvarez Kelly,"['William Holden', ' Richard Widmark', ' Janice Rule']",['Western']
Ambush Bay,"[""Hugh O'Brian"", ' Mickey Rooney']",['War']
Any Wednesday,"['Jane Fonda', ' Jason Robards']",['Comedy']
The Appaloosa,"['Marlon Brando', ' John Saxon', ' Anjanette Comer']",['Western']
Arabesque,"['Gregory Peck', ' Sophia Loren']",['Spy film']
Around the World Under the Sea,"['Lloyd Bridges', ' Keenan Wynn', ' Gary Merrill', ' Shirley Eaton', ' David McCallum']",['Sci-fi']
Assault on a Queen,"['Frank Sinatra', ' Virna Lisi', ' Tony Franciosa', ' Richard Conte']",['Crime drama']
Batman,"['Adam West', ' Burt Ward', ' Lee Meriwether', ' Cesar Romero', ' Burgess Meredith', ' Frank Gorshin']","['Comedy', ' action']"
The Bible: In the Beginning,"['George C. Scott', ' Ava Gardner', "" Peter O'Toole"", ' John Huston', ' Richard Harris', ' Stephen Boyd', ' Franco Nero']",['Biblical drama']
A Big Hand for the Little Lady,"['Henry Fonda', ' Joanne Woodward', ' Jason Robards', ' Kevin McCarthy', ' Burgess Meredith', ' Paul Ford']","['Western', ' comedy']"
Billy the Kid vs. Dracula,"['John Carradine', ' Chuck Courtney']","['Western', ' horror']"
Birds Do It,"['Soupy Sales', ' Tab Hunter', ' Doris Dowling']",['Comedy']
Blindfold,"['Rock Hudson', ' Claudia Cardinale', ' Jack Warden']",['Suspense']
Blood Bath,"['Lori Saunders', ' Karl Schanzer', ' Sid Haig']",['Horror']
"Boy, Did I Get a Wrong Number!","['Bob Hope', ' Elke Sommer', ' Phyllis Diller']",['Comedy']
Cast a Giant Shadow,"['Kirk Douglas', ' Senta Berger', ' Yul Brynner', ' Frank Sinatra', ' Angie Dickinson', ' John Wayne']",['Action']
Castle of Evil,"['Virginia Mayo', ' Scott Brady', ' Lisa Gaye']",['Horror']
Chamber of Horrors,"[""Patrick O'Neal"", ' Wilfrid Hyde-White']",['Horror']
Chappaqua,"['Jean-Louis Barrault', ' William S. Burroughs']",['Drama']
The Chase,"['Marlon Brando', ' Jane Fonda', ' Robert Redford', ' Angie Dickinson', ' E.G. Marshall', ' Janice Rule', ' James Fox', ' Robert Duvall']",['Drama']
