1492: Conquest of Paradise,"['Gérard Depardieu', ' Armand Assante', ' Sigourney Weaver']","['Drama', ' Biography']"
1991: The Year Punk Broke,[''],['Documentary']
3 Ninjas,['Max Elliott Slade'],['Comedy']
Aladdin,"['voices of Robin Williams', ' Gilbert Gottfried']","['Animated', ' Comedy']"
Alien 3,"['Sigourney Weaver', ' Charles S. Dutton', ' Charles Dance']",['Sci-fi']
American Me,"['Edward James Olmos', ' William Forsythe']",['Crime drama']
Article 99,"['Ray Liotta', ' Kiefer Sutherland', ' Forest Whitaker']",['Drama']
The Babe,"['John Goodman', ' Kelly McGillis', ' Trini Alvarado']",['Biography']
Bad Lieutenant,"['Harvey Keitel', ' Victor Argo']",['Crime drama']
Basic Instinct,"['Michael Douglas', ' Sharon Stone', ' George Dzundza', ' Jeanne Tripplehorn']",['Erotic Thriller']
Batman Returns,"['Michael Keaton', ' Danny DeVito', ' Michelle Pfeiffer']",['Superhero']
Beauty and the Beast,[''],['Animated']
Bébé's Kids,"['Faizon Love', ' Vanessa Bell Calloway']",['']
Beethoven,"['Charles Grodin', ' Bonnie Hunt']",['Family']
Blame It on the Bellboy,"['Dudley Moore', ' Bryan Brown', ' Patsy Kensit']",['Comedy']
Blown Away,"['Corey Haim', ' Nicole Eggert', ' Corey Feldman']",['Drama']
Bob Roberts,"['Tim Robbins', ' Giancarlo Esposito', ' Fred Ward']",['Comedy']
The Bodyguard,"['Kevin Costner', ' Whitney Houston']","['Crime', ' Romance']"
Boomerang,"['Eddie Murphy', ' Robin Givens', ' Halle Berry']",['Comedy']
Brain Donors,"['John Turturro', ' Mel Smith', ' Nancy Marchand']",['Comedy']
Bram Stoker's Dracula,"['Gary Oldman', ' Winona Ryder', ' Keanu Reeves', ' Anthony Hopkins']",['Horror']
Buffy the Vampire Slayer,"['Kristy Swanson', ' Donald Sutherland', ' Luke Perry', ' Rutger Hauer', ' Paul Reubens']",['Comedy']
Candyman,"['Virginia Madsen', ' Tony Todd']",['Slasher']
Captain Ron,"['Kurt Russell', ' Martin Short', ' Mary Kay Place']",['Comedy']
Chain of Desire,"['Malcolm McDowell', ' Linda Fiorentino', ' Elias Koteas']",['Romance']
Chaplin,"['Robert Downey', ' Jr.', ' Dan Aykroyd', ' Kevin Kline', ' Anthony Hopkins']",['Biography']
Child of Rage,"['Mel Harris', ' Mariette Hartley']",['Drama']
Children of the Corn II: The Final Sacrifice,['Terence Knox'],['Horror']
Christopher Columbus: The Discovery,"['Georges Corraface', ' Rachel Ward', ' Tom Selleck', ' Marlon Brando']","['Adventure', ' Biography']"
Claire of the Moon,[''],['']
Class Act,"[""Kid 'n Play""]",['Comedy']
Consenting Adults,"['Kevin Kline', ' Mary Elizabeth Mastrantonio', ' Kevin Spacey', ' Rebecca Miller', ' Forest Whitaker']",['Thriller']
Cool World,"['Kim Basinger', ' Gabriel Byrne', ' Brad Pitt']",['Fantasy']
CrissCross,"['Goldie Hawn', ' Arliss Howard']",['Drama']
