Abe Lincoln in Illinois,"['Raymond Massey', ' Gene Lockhart', ' Ruth Gordon']","['Drama', ' Biography']"
Stage to Chino,"[""George O'Brien"", ' Virginia Vale']",['Western']
Star Dust,"['Linda Darnell', ' John Payne']",['Drama']
Strange Cargo,"['Clark Gable', ' Joan Crawford', ' Ian Hunter']","['Drama', ' Romance']"
Stranger on the Third Floor,"['Peter Lorre', ' Charles Waldron']",['Film noir']
Strike Up the Band,"['Mickey Rooney', ' Judy Garland', ' Paul Whiteman and his Orchestra']",['Musical Comedy']
Susan and God,"['Joan Crawford', ' Fredric March']",['Comedy']
Swiss Family Robinson,"['Thomas Mitchell', ' Edna Best', ' Freddie Bartholomew']",['Adventure']
Tacoma Narrows Bridge Collapse (Galloping Gertie),[''],['Newsreel']
'Taint Legal,"['Edgar Kennedy', ' Vivien Oakland', ' Billy Franey']",['Short Comedy']
Tear Gas Squad,"['John Payne', ' Dennis Morgan']",['Crime']
Teddy the Rough Rider,"['Sidney Blackmer', ' Pierre Watkin', ' Arthur Loft']",['Short Drama']
Terry and the Pirates,"['William Tracy', ' Sheila Darcy']",['Serial']
Texas Rangers Ride Again,"['Ellen Drew', ' John Howard']",['Western']
Texas Terrors,"['Don ""Red"" Barry', ' Julie Duncan']",['Western']
That Gang of Mine,['Leo Gorcey'],['Comedy']
They Drive by Night,"['George Raft', ' Humphrey Bogart', ' Ida Lupino', ' Ann Sheridan']",['Drama']
They Knew What They Wanted,"['Carole Lombard', ' Charles Laughton', ' William Gargan']",['Drama']
"Third Finger, Left Hand","['Myrna Loy', ' Melvyn Douglas']",['Romantic comedy']
This Thing Called Love,"['Rosalind Russell', ' Melvyn Douglas']",['Romantic comedy']
Those Were the Days!,"['William Holden', ' Bonita Granville', ' Judith Barrett']",['Comedy']
Three Cheers for the Irish,"['Priscilla Lane', ' Dennis Morgan']",['Comedy']
Three Faces West,"['John Wayne', ' Sigrid Gurie']",['Drama']
'Til We Meet Again,"['Merle Oberon', "" Pat O'Brien"", ' Geraldine Fitzgerald']",['Drama']
Tin Pan Alley,"['Alice Faye', ' Betty Grable', ' Jack Oakie']",['Musical']
Tom Brown's School Days,"['Cedric Hardwicke', ' Freddy Bartholomew']",['Drama']
Too Many Girls,"['Lucille Ball', ' Frances Langford', ' Desi Arnaz']",['Musical']
Too Many Husbands,"['Jean Arthur', ' Fred MacMurray', ' Melvyn Douglas']",['Romantic comedy']
Torrid Zone,"['James Cagney', ' Ann Sheridan', "" Pat O'Brien""]",['Adventure']
Trail of the Vigilantes,"['Franchot Tone', ' Warren William', ' Broderick Crawford']",['Western']
Triple Justice,"[""George O'Brien"", ' Virginia Vale']",['Drama']
Tugboat Annie Sails Again,"['Marjorie Rambeau', ' Jane Wyman', ' Ronald Reagan']",['Comedy']
The Tulsa Kid,"['Don ""Red"" Barry', ' Luana Walters']",['Western']
Turnabout,"['Adolphe Menjou', ' Carole Landis']",['Comedy']
Two Girls on Broadway,"['Lana Turner', ' Joan Blondell']",['Comedy']
Typhoon,"['Dorothy Lamour', ' Robert Preston', ' Lynne Overman']",['Adventure']
Untamed,"['Ray Milland', ' Patricia Morison', ' Akim Tamiroff']",['Drama']
Up in the Air,"['Marjorie Reynolds', ' Frankie Darrow']",['Comedy']
Victory,"['Fredric March', ' Cedric Hardwicke', ' Betty Field']",['Adventure']
Vigil in the Night,"['Carole Lombard', ' Brian Aherne']",['Romantic Drama']
The Villain Still Pursued Her,"['Buster Keaton', ' Billy Gilbert']",['Comedy']
Virginia City,"['Errol Flynn', ' Miriam Hopkins', ' Randolph Scott', ' Humphrey Bogart']",['Western']
Viva Cisco Kid,"['Cesar Romero', ' Jean Rogers']",['Western']
Wagons Westward,"['Anita Louise', ' Chester Morris']",['Western']
Waterloo Bridge,"['Vivien Leigh', ' Robert Taylor', ' Lucile Watson']",['War drama']
The Way of All Flesh,"['Akim Tamiroff', ' Gladys George']",['']
The Westerner,"['Gary Cooper', ' Walter Brennan', ' Doris Davenport']",['Western']
We Who Are Young,"['Lana Turner', ' Gene Lockhart']",['Drama']
When the Daltons Rode,"['Randolph Scott', ' Kay Francis']",['Western']
Who Killed Aunt Maggie?,"['Wendy Barrie', ' Mona Barrie', ' John Hubbard']",['Mystery']
Wildcat Bus,"['Fay Wray', ' Charles Lang']",['Drama']
A Wild Hare,"['Mel Blanc', ' Arthur Q. Bryan']",['Animated Short']
Winners of the West,"['Dick Foran', ' Anne Nagel']",['Western Serial']
Women in War,"['Elsie Janis', ' Wendy Barrie', ' Patric Knowles']",['War drama']
Women Without Names,"['Ellen Drew', ' Fay Helm', ' Judith Barrett']",['Drama']
Wyoming,"['Wallace Beery', ' Leo Carrillo', ' Ann Rutherford']",['Western']
You Can't Fool Your Wife,"['Lucille Ball', ' James Ellison']",['Comedy']
You Ought to Be in Pictures,['Looney Tunes'],['Animated Short']
You'll Find Out,"['Kay Kyser', ' Helen Parrish', ' Ginny Simms', ' Peter Lorre', ' Boris Karloff']",['Comedy']
Young Bill Hickok,"['Roy Rogers', ' Sally Payne']",['Western']
Young Buffalo Bill,"['Roy Rogers', ' Pauline Moore']",['Western']
Young People,"['Shirley Temple', ' Jack Oakie', ' Charlotte Greenwood']",['Drama']
Young Tom Edison,"['Mickey Rooney', ' Fay Bainter', ' George Bancroft']",['Biography']
Young as You Feel,"['Jed Prouty', ' Spring Byington']",['Family']
You're Not So Tough,"['Billy Halop', ' Huntz Hall', ' Bobby Jordan']",['Drama']
Yukon Flight,"['Louise Stanley', ' James Newill']",['Western']
