Abe Lincoln in Illinois,"['Raymond Massey', ' Gene Lockhart', ' Ruth Gordon']","['Drama', ' Biography']"
Charlie Chan's Murder Cruise,"['Sidney Toler', ' Marjorie Weaver', ' Lionel Atwill']",['Mystery']
Charter Pilot,"['Lloyd Nolan', ' Lynn Bari', ' Arleen Whelan']",['Adventure']
Chasing Trouble,"['Frankie Darro', ' Marjorie Reynolds', ' Mantan Moreland']","['Comedy', ' drama']"
Cherokee Strip,"['Richard Dix', ' Florence Rice', ' William Henry']",['Western']
Christmas in July,"['Dick Powell', ' Ellen Drew', ' Raymond Walburn']",['Screwball comedy']
A Chump at Oxford,"['Stan Laurel', ' Oliver Hardy', ' Forrester Harvey']",['Comedy']
City for Conquest,"['James Cagney', ' Ann Sheridan', ' Frank Craven']",['Drama']
City of Chance,"['Lynn Bari', ' C. Aubrey Smith', ' Amanda Duff']",['Film noir']
City of Lost Men,"['William ""Stage"" Boyd', ' Kane Richmond', ' Claudia Dell']",['Science fiction']
Colorado,"['Roy Rogers', ' George ""Gabby"" Hayes', ' Pauline Moore']",['Western']
Comes Midnight,"['James Baskett', ' Eddie Green', ' Amanda Randolph']",['Horror comedy']
Comin' Round the Mountain,"['Bob Burns', ' Una Merkel', ' Jerry Colonna']",['Comedy']
Comrade X,"['Clark Gable', ' Hedy Lamarr', ' Oskar Homolka']",['Comedy Spy']
Congo Maisie,"['Ann Sothern', ' John Carroll', ' Rita Johnson']",['Comedy']
Convicted Woman,"['Rochelle Hudson', ' Frieda Inescort', ' June Lang', ' Glenn Ford']",['Crime']
Covered Wagon Days,"['Robert Livingston', ' Raymond Hatton', ' Duncan Renaldo']",['Western']
Covered Wagon Trails,"['Jack Randall', ' Sally Cairns', ' David Sharpe']",['Western']
The Crooked Road,"['Edmund Lowe', ' Irene Hervey', ' Henry Wilcoxon']",['Crime drama']
Cross-Country Romance,"['Gene Raymond', ' Wendy Barrie', ' Hedda Hopper']",['Romantic comedy']
Curtain Call,"['Barbara Read', ' Alan Mowbray', ' Helen Vinson']",['Romantic comedy']
"Dance, Girl, Dance","[""Maureen O'Hara"", ' Louis Hayward', ' Lucille Ball']",['Musical']
Dancing on a Dime,"['Robert Paige', ' Peter Lind Hayes', ' Eddie Quillan']",['Musical']
Danger Ahead,"['James Newill', ' Dorothea Kent', ' Guy Usher']",['Adventure']
Danger on Wheels,"['Richard Arlen', ' Andy Devine', ' Peggy Moran']",['Sport thriller']
Dark Command,"['Claire Trevor', ' John Wayne', ' Walter Pidgeon']",['Western']
Dark Streets of Cairo,"['Sigrid Gurie', ' Ralph Byrd', ' Eddie Quillan']",['Mystery']
Deadwood Dick,"['Don Douglas', ' Lorna Gray', ' Harry Harvey', ' Marin Sais']",['Western']
Diamond Frontier,"['Victor McLaglen', ' John Loder', ' Anne Nagel']",['Adventure']
A Dispatch from Reuter's,"['Edward G. Robinson', ' Edna Best', ' Eddie Albert']",['Biography']
The Doctor Takes a Wife,"['Loretta Young', ' Ray Milland']",['Romantic comedy']
Doomed to Die,"['Boris Karloff', ' Marjorie Reynolds', ' Grant Withers']",['Mystery']
Double Alibi,"['Wayne Morris', ' Margaret Lindsay', ' William Gargan']",['Mystery']
Down Argentine Way,"['Don Ameche', ' Betty Grable', ' Carmen Miranda']",['Musical']
Dr. Christian Meets the Women,"['Jean Hersholt', ' Veda Ann Borg']",['Mystery']
Dr. Cyclops,"['Albert Dekker', ' Thomas Coley', ' Janice Logan']",['Science Fiction Horror']
