48 Hrs.,"['Nick Nolte', ' Eddie Murphy', "" Annette O'Toole"", ' James Remar', ' David Patrick Kelly']",['Crime comedy']
Hammett,"['Frederic Forrest', ' Marilu Henner', ' Peter Boyle']",['Mystery']
Hanky Panky,"['Gene Wilder', ' Gilda Radner', ' Richard Widmark']",['Comedy']
Harry Tracy,"['Bruce Dern', ' Helen Shaver']",['Western']
Heidi's Song,"['Lorne Greene', ' Margery Gray', ' Sammy Davis', ' Jr.']","['Animation', ' Family']"
Hey Good Lookin',"['Voices of David Proval', ' Tina Bowman']","['Animation', ' Adult']"
Honkytonk Man,"['Clint Eastwood', ' Kyle Eastwood', ' Verna Bloom']",['Drama']
Hospital Massacre,"['Jon Van Ness', ' Barbi Benton']",['Horror']
Human Highway,"['Neil Young', ' Russ Tamblyn', ' Devo']",['Comedy']
I Ought to Be in Pictures,"['Walter Matthau', ' Ann-Margret', ' Dinah Manoff']",['Drama']
"I, the Jury","['Armand Assante', ' Paul Sorvino', ' Barbara Carrera']",['Action']
I'm Dancing as Fast as I Can,"['Jill Clayburgh', ' Nicol Williamson', ' Dianne Wiest']","['Drama', ' Biography']"
Inchon,"['Laurence Olivier', ' Toshirō Mifune', ' Ben Gazzara', ' Jacqueline Bisset', ' Richard Roundtree']",['War']
It Came from Hollywood,"['Archive footage of Bela Lugosi', ' Mamie Van Doren']",['Documentary']
Ivanhoe,"['James Mason', ' Anthony Andrews', ' Sam Neill', ' Michael Hordern', ' Olivia Hussey']",['Adventure']
Jekyll and Hyde... Together Again,"['Bess Armstrong', ' Mark Blankfield', ' Tim Thomerson']",['Comedy']
Jinxed!,"['Bette Midler', ' Rip Torn', ' Ken Wahl']",['Comedy']
Kill Squad,"['Cameron Mitchell', ' Jean Glaudé']",['Martial arts']
Kiss Me Goodbye,"['Sally Field', ' James Caan', ' Jeff Bridges']",['Romantic comedy']
Koyaanisqatsi,['Musical score by Philip Glass'],['Documentary']
The Last American Virgin,"['Lawrence Monoson', ' Diane Franklin', ' Steve Antin']",['Comedy']
The Last Horror Film,"['Caroline Munro', ' Joe Spinell']",['Comedy horror']
The Last Unicorn,"['Mia Farrow', ' Alan Arkin', ' Jeff Bridges']",['Animation']
Let's Spend the Night Together,['The Rolling Stones'],['Concert']
Liquid Sky,"['Anne Carlisle', ' Susan Doukas']",['Sci-fi']
Lookin' to Get Out,"['Jon Voight', ' Ann-Margret', ' Burt Young']",['Comedy']
Love Child,"['Amy Madigan', ' Beau Bridges', ' Mackenzie Phillips']",['Biography']
Love and Money,"['Ray Sharkey', ' Ornella Muti', ' Klaus Kinski']",['Drama']
Madman,"['Gaylen Ross', ' Harriet Bass']",['Horror']
Making Love,"['Harry Hamlin', ' Kate Jackson', ' Michael Ontkean']",['Drama']
Megaforce,"['Barry Bostwick', ' Persis Khambatta', ' Michael Beck']",['Action']
