,cover_id,title,author,year,genre,genre_alts
10,8242957,"Histoire naturelle, générale et particulière","Georges-Louis Leclerc, comte de Buffon",,Science,"['Sciences naturelle', 'Science', 'Accessible book', 'Zoology', 'Early works to 1800', 'Natural history']"
11,None,Pathways Through Science (Nuffield Modular Science),Nuffield-Chelsea Curriculum Trust,,Science,"['Study and teaching (Secondary)', 'Science', 'Activity programs', 'Physical fitness', 'Health education (Secondary)']"
12,8982907,The advancement of learning,Francis Bacon,,Science,"['Learning and scholarship', 'Philosophy', 'Méthodologie', 'Sciences', 'Utopias', 'Science', 'Accessible book', 'Induction (Logic)', 'Early works to 1800', 'Ouvrages avant 1800', 'Methodology', 'Learning', 'Logic', 'Theory of Knowledge', 'Logique']"
13,8242805,Cosmos,Alexander von Humboldt,,Science,"['History', 'Histoire', 'Cosmographie', 'Physical geography', 'Science', 'Accessible book', 'Geology', 'HISTORIA', 'ASTRONOMIA', 'Cosmology', 'Nature', 'GEOGRAFIA FISICA', 'COSMOLOGIA', 'Earth', 'Astronomy', 'CIENCIA', 'Cosmography']"
14,None,"[Gasoline motor-boat for customs service at Corpus Christi, Texas.]",United States. Congress. House. Committee on Appropriations,,Science,"['Executive advisory bodies', 'International agencies', 'Military bases', 'Officers', 'Cold storage', 'Docks', 'United States. Congress', 'United States. President', 'Naval and marine Hospitals', 'United States Capitol (Washington, D.C.)', 'Public Expenditures', 'Electric power', 'Topographical surveying', 'Treaties', 'United States. Dept. of Justice', 'United States. Dept. of the Treasury', 'Hospitals', 'Steamboats', 'Cavalry', 'Boats and boating', 'Drug abuse', 'Narcotics', 'Circuit courts', 'Private Bills', 'United States. Dept. of the Interior', 'Public lands', 'Postal service', 'Water use', 'Navy-yards and naval stations', 'Courts', 'United States. Dept. of Agriculture', 'Committees', 'Appropriations and expenditures', 'National Home for Disabled Volunteer Soldiers', 'Budget', 'District courts', 'United States', 'Militia', 'Machinery', 'Isthmian Canal Commission (U.S.)', 'Memorials', 'Hospitals, Naval and marine', 'Indians of North America', 'Revenue', 'Rivers', 'District of Columbia', 'Roads', 'Expenditures, Public', 'International cooperation', 'United States. National Bureau of Standards', 'United States. Interstate Commerce Commission', 'Ships', 'Merchant marine', 'Public buildings', 'Emigration and immigration', 'Armies', 'Lease and rental services', 'International economic relations', 'Customs administration', 'Civil procedure', 'Women', 'Science', 'Government property', 'Elections', 'Officials and employees', 'Claims', 'Armed Forces', 'United States. Navy Dept', 'Surgeons', 'United States. Assay Office, New York City', 'United States. Post Office Dept', 'Bills, Private', 'Military pensions', 'Clerks', 'United States. Navy', 'United States. Dept. of State', 'Industrial relations', 'Columbia Hospital for Women (Washington, D.C.)', 'United States. Congress. Senate', 'Printing', 'United States. Dept. of Commerce and Labor', 'Safety measures', 'Exhibitions', 'United States. Government Printing Office', 'Accounting', 'Resolutions']"
15,5635073,"A system of logic, ratiocinative and inductive",John Stuart Mill,,Science,"['Science', 'Methodology', 'Theory of Knowledge', 'Accessible book', 'Logic']"
16,5584499,Novum organum,Francis Bacon,,Science,"['Philosophy', 'Heat', 'Science', 'Accessible book', 'Induction (Logic)', 'Early works to 1800', 'Motion', 'Methodology', 'English Philosophy', 'Logic', 'Winds', 'Physics', 'Social sciences', 'Methology']"
17,8235208,The works of Francis Bacon,Francis Bacon,,Science,"['Philosophers', 'Science', 'Accessible book', 'Philosophy', 'Biography']"
18,7139836,Literary works of Leonardo da Vinci,Leonardo da Vinci,,Science,"['Science', 'Notebooks, sketchbooks', 'Accessible book']"
19,6056658,Sitzungsberichte der Philosophisch-historischen Classe,"Kaiserl. Akademie der Wissenschaften in Wien, Mathematisch-Naturwissenschaftliche Klasse",,Science,"['Science', 'Accessible book', 'Philology', 'Periodicals', 'Mathematics', 'Chemistry', 'Technology', 'History']"
